plot outline - wendy ( samantha press ) , a jazz singer , loves mack ( hugo race ) a criminal and wanna be rock singer who's planning a bank heist . 	Translation	Positive	Negative	EmotionRationale
mack is also being tailed by a couple of cops , one an inexperienced rookie ( dominic sweeney ) , the other ( john flaus ) a worn out veteran who frequents wendy's jazz club . 	mack is also being tailed by a couple of cops , one an inexperienced rookie ( dominic sweeney ) , the other ( john flaus ) a worn out veteran who frequents wendy's jaz club .	1	-2	 mack[0] is[0] also[0] being[0] tailed[0] by[0] a[0] couple[0] of[0] cops[0] one[0] an[0] inexperienced[0] rookie[0] dominic[0] sweeney[0] the[0] other[0] john[0] flaus[0] a[0] worn[-1] out[0] veteran[0] who[0] frequents[0] wendy's[0] jazz/jaz[0] club[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they're tailing mack , because he has an audiotape that may show evidence of governmental corruption . 	they're tailing mack , because he has an audiotape that may show evidence of governmental corruption .	1	-3	 they're[0] tailing[0] mack[0] because[0] he[0] has[0] an[0] audiotape[0] that[0] may[0] show[0] evidence[0] of[0] governmental[0] corruption[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile wendy's sexually awakener , fifteen year old sister ( rebecca elmaloglou ) has moved in with her , and is secretly watching mack and wendy's late night love trysts ? much zaniness ensues 	meanwhile wendy's sexually awakener , fifteen year old sister ( rebecca elmaloglou ) has moved in with her , and is secretly watching mack and wendy's late night love trysts ?<br> much zaniness ensues	3	-1	 meanwhile[0] wendy's[0] sexually[0] awakener[0] fifteen[0] year[0] old[0] sister[0] rebecca[0] elmaloglou[0] has[0] moved[0] in[0] with[0] her[0] and[0] is[0] secretly[0] watching[0] mack[0] and[0] wendy's[0] late[0] night[0] love[2] trysts[0] [[Sentence=-1,3=word max, 1-5]] much[0] zaniness[0] ensues[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the review : main problem first - about 2% of rood rock star to actor conversions in filmdom ever really work . 	the review : main problem first - about 2% of rod rock star to actor conversions in filmdom ever really work .	2	-2	 the[0] review[0] main[0] problem[-1] first[0] about[0] 2%[0] of[0] rood/rod[0] rock[1] star[0] to[0] actor[0] conversions[0] in[0] filmdom[0] ever[0] really[0] work[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , trying to cast hugo race as a violent , sexy criminal falls into the " what the hell where they thinking " category that takes up 98% of the rest . 	unfortunately , trying to cast hugo race as a violent , sexy criminal falls into the " what the hell where they thinking " category that takes up 98% of the rest .	3	-3	 unfortunately[-1] trying[0] to[0] cast[0] hugo[0] race[0] as[0] a[0] violent[-2] sexy[2] criminal[-1] falls[0] into[0] the[0] what[0] the[0] hell[-1] where[0] they[0] thinking[0] category[0] that[0] takes[0] up[0] 98%[0] of[0] the[0] rest[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but , hell , it's not as if he's the only problem in this well-intentioned but ultimately below average aussie thriller . 	but , hell , it's not as if he's the only problem in this well-intentioned but ultimately below average aussie thriller .	2	-2	 but[0] hell[-1] it's[0] not[0] as[0] if[0] he's[0] the[0] only[0] problem[-1] in[0] this[0] well[0] intentioned[0] but[0] ultimately[0] below[0] average[0] aussie[0] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
leads , race and samantha press are wooden and dull , hampered by some unfortunate attempts at sexy dialogue early on . 	leads , race and samantha press are wooden and dull , hampered by some unfortunate attempts at sexy dialogue early on .	3	-2	 leads[0] race[0] and[0] samantha[0] press[0] are[0] wooden[0] and[0] dull[-1] hampered[0] by[0] some[0] unfortunate[-1][--1 LastWordBoosterStrength] attempts[0] at[0] sexy[2] dialogue[0] early[0] on[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
though they do manage some heat later in their love scenes , helped , no doubt by them keeping their mouths shut . 	though they do manage some heat later in their love scenes , helped , no doubt by them keeping their mouths shut .	3	-2	 though[0] they[0] do[0] manage[0] some[0] heat[0] later[0] in[0] their[0] love[2] scenes[0] helped[0] no[0] doubt[-1] by[0] them[0] keeping[0] their[0] mouths[0] shut[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film suffers every time the story shifts back to these two . 	the film suffers every time the story shifts back to these two .	1	-4	 the[0] film[0] suffers[-3] every[0] time[0] the[0] story[0] shifts[0] back[0] to[0] these[0] two[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
which is unfortunately , the other main story isn't any great shakes either . 	which is unfortunately , the other main story isn't any great shakes either .	1	-3	 which[0] is[0] unfortunately[-1] the[0] other[0] main[0] story[0] isn't[0] any[0] great[2][NegatedDueToPreviousWord] shakes[-1] either[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the second part , concerning two cops , political corruption and that elusive tape is incredibly muddled . 	the second part , concerning two cops , political corruption and that elusive tape is incredibly muddled .	1	-4	 the[0] second[0] part[0] concerning[-1] two[0] cops[0] political[0] corruption[-2] and[0] that[0] elusive[0] tape[0] is[0] incredibly[0] muddled[-1][-2 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at many points during the movie i had no idea what was going on , a situation that didn't improve on repeated viewing . 	at many points during the movie i had no idea what was going on , a situation that didn't improve on repeated viewing .	2	-1	 at[0] many[0] points[0] during[0] the[0] movie[0] i[0] had[0] no[0] idea[0] what[0] was[0] going[0] on[0] a[0] situation[0] that[0] didn't[0] improve[1] on[0] repeated[0] viewing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is no doubt that this film's achilles heel is its script . 	there is no doubt that this film's achilles heel is its script .	1	-2	 there[0] is[0] no[0] doubt[-1] that[0] this[0] film's[0] achilles[0] heel[0] is[0] its[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
