sylvester stallone has made some crap films in his lifetime , but this has got to be one of the worst . 	Translation	Positive	Negative	EmotionRationale
a totally dull story that thinks it can use various explosions to make it interesting , " the specialist " is about as exciting as an episode of " dragnet , " and about as well acted . 	a totally dull story that thinks it can use various explosions to make it interesting , " the specialist " is about as exciting as an episode of " dragnet , " and about as well acted .	3	-3	 a[0] totally[0] dull[-1][-1 LastWordBoosterStrength] story[0] that[0] thinks[0] it[0] can[0] use[0] various[0] explosions[-1] to[0] make[0] it[0] interesting[1] the[0] specialist[1] is[0] about[0] as[0] exciting[2] as[0] an[0] episode[0] of[0] dragnet[0] and[0] about[0] as[0] well[0] acted[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even some attempts at film noir mood are destroyed by a sappy script , stupid and unlikable characters , and just plain nothingness . 	even some attempts at film noir mood are destroyed by a sappy script , stupid and unlikable characters , and just plain nothingness .	1	-3	 even[0] some[0] attempts[0] at[0] film[0] noir[0] mood[0] are[0] destroyed[-2] by[0] a[0] sappy[0] script[0] stupid[-1] and[0] unlikable[0] characters[0] and[0] just[0] plain[0] nothingness[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
who knew a big explosion could be so boring and anti-climactic ? 	who knew a big explosion could be so boring and anti-climactic ?	1	-2	 who[0] knew[0] a[0] big[0] explosion[-1] could[0] be[0] so[0] boring[-1] and[0] anti[0] climactic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unless you saw " blown away " . . . 	unless you saw " blown away " .<br> .<br> .	1	-1	 unless[0] you[0] saw[0] blown[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the specliast " of the title is none other than action star sylvester stallone ( in comeback #19 , i think ) , who plays a quiet , hermit-like bomber who was once a bomb expert with the army or something , but who suffered a change of heart when he and his assistant ( james woods , who shows us exactly what over-the-top is , other than another bad sly film ) accidentally killed some innocent people during a job . 	 " the specliast " of the title is none other than action star sylvester stallone ( in comeback #19 , i think ) , who plays a quiet , hermit-like bomber who was once a bomb expert with the army or something , but who suffered a change of heart when he and his assistant ( james woods , who shows us exactly what over-the-top is , other than another bad sly film ) accidentally killed some innocent people during a job .	2	-4	 the[0] specliast[0] of[0] the[0] title[0] is[0] none[0] other[0] than[0] action[0] star[0] sylvester[0] stallone[0] in[0] comeback[0] #19[0] i[0] think[0] who[0] plays[1] a[0] quiet[0] hermit[0] like[1] bomber[-1] who[0] was[0] once[0] a[0] bomb[-1] expert[0] with[0] the[0] army[0] or[0] something[0] but[0] who[0] suffered[-3] a[0] change[0] of[0] heart[0] when[0] he[0] and[0] his[0] assistant[0] james[0] woods[0] who[0] shows[0] us[0] exactly[0] what[0] over[0] the[0] top[0] is[0] other[0] than[0] another[0] bad[-1] sly[-1] film[0] accidentally[-1] killed[-3] some[0] innocent[1][-1 LastWordBoosterStrength] people[0] during[0] a[0] job[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
his credo is killing bad people , not innocents . 	his credo is killing bad people , not innocents .	1	-2	 his[0] credo[0] is[0] killing[-1] bad[-1] people[0] not[0] innocents[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that's why he makes big bombs . 	and that's why he makes big bombs .	1	-2	 and[0] that's[0] why[0] he[0] makes[0] big[0] bombs[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so anyway , into his life steps the seductive sharon stone , who is basically the girlfriend/moll of the stupid son ( eric roberts ) of a cuban/miami kingpin ( rod steiger , in an indecipherable accent , which is sometimes cuban , sometimes brando , sometimes scottish , etc ) . 	so anyway , into his life steps the seductive sharon stone , who is basically the girlfriend/moll of the stupid son ( eric roberts ) of a cuban/miami kingpin ( rod steiger , in an indecipherable accent , which is sometimes cuban , sometimes brando , sometimes scottish , etc ) .	1	-2	 so[0] anyway[0] into[0] his[0] life[0] steps[0] the[0] seductive[0] sharon[0] stone[0] who[0] is[0] basically[0] the[0] girlfriend/moll[0] of[0] the[0] stupid[-1] son[0] eric[0] roberts[0] of[0] a[0] cuban/miami[0] kingpin[0] rod[0] steiger[0] in[0] an[0] indecipherable[0] accent[0] which[0] is[0] sometimes[0] cuban[0] sometimes[0] brando[0] sometimes[0] scottish[0] etc[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
turns out sharon is actually using her boyfriend so she can kill him , since he killed her parents when she was young . 	turns out sharon is actually using her boyfriend so she can kill him , since he killed her parents when she was young .	1	-4	 turns[0] out[0] sharon[0] is[0] actually[0] using[0] her[0] boyfriend[0] so[0] she[0] can[0] kill[-1] him[0] since[0] he[0] killed[-3] her[0] parents[0] when[0] she[0] was[0] young[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so she calls sly , leaves messages with him , sends him e-mail , etc , about planting a bomb to kill roberts , which sly listens to obsessively , and while he works out naked . 	so she calls sly , leaves messages with him , sends him e-mail , etc , about planting a bomb to kill roberts , which sly listens to obsessively , and while he works out naked .	1	-3	 so[0] she[0] calls[0] sly[-1] leaves[0] messages[0] with[0] him[0] sends[0] him[0] e[0] mail[0] etc[0] about[0] planting[0] a[0] bomb[-1] to[0] kill[-1] roberts[0] which[0] sly[-1] listens[0] to[0] obsessively[-2] and[0] while[0] he[0] works[0] out[0] naked[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yea . 	yea .	1	-1	 yea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also into his life , though again , comes woods , who has been tipped off by stone to catch sly . 	also into his life , though again , comes woods , who has been tipped off by stone to catch sly .	1	-2	 also[0] into[0] his[0] life[0] though[0] again[0] comes[0] woods[0] who[0] has[0] been[0] tipped[0] off[0] by[0] stone[0] to[0] catch[0] sly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
