as we see the terrible events that unfold before our eyes in the middle east at the moment , hollywood doesn't loose the oppertunity to get involved , by telling stories and expressing opinions . 	Translation	Positive	Negative	EmotionRationale
this film centers on a relationship forged throughout the adult lifetimes of two marine colonels , hays hodges ( tommy lee jones ) and terry childers ( samuel l . jackson ) . 	this film centers on a relationship forged throughout the adult lifetimes of two marine colonels , hays hodges ( tommy lee jones ) and terry childers ( samuel l .<br> jackson ) .	1	-1	 this[0] film[0] centers[0] on[0] a[0] relationship[0] forged[0] throughout[0] the[0] adult[0] lifetimes[0] of[0] two[0] marine[0] colonels[0] hays[0] hodges[0] tommy[0] lee[0] jones[0] and[0] terry[0] childers[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they fought side by side in vietnam , where childers saved hodges' life by shooting an unarmed pow . 	they fought side by side in vietnam , where childers saved hodges' life by shooting an unarmed pow .	2	-3	 they[0] fought[-2] side[0] by[0] side[0] in[0] vietnam[0] where[0] childers[0] saved[1] hodges'[0] life[0] by[0] shooting[-1] an[0] unarmed[0] pow[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's against the rules of war but understandable , in this story anyway , under the specific circumstances . 	that's against the rules of war but understandable , in this story anyway , under the specific circumstances .	1	-3	 that's[0] against[-1] the[0] rules[0] of[0] war[-2] but[0] understandable[0] in[0] this[0] story[0] anyway[0] under[0] the[0] specific[0] circumstances[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
certainly hodges is not complaining . 	certainly hodges is not complaining .	2	-1	 certainly[0] hodges[0] is[0] not[0] complaining[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
years pass . 	years pass .	1	-1	 years[0] pass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hodges , whose wounds make him unfit for action , gets a law degree and becomes a marine lawyer . 	hodges , whose wounds make him unfit for action , gets a law degree and becomes a marine lawyer .	1	-2	 hodges[0] whose[0] wounds[-1] make[0] him[0] unfit[-1] for[0] action[0] gets[0] a[0] law[0] degree[0] and[0] becomes[0] a[0] marine[0] lawyer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
childers , is now a respected and much-decorated hero that has served his country with his life and sould . 	childers , is now a respected and much-decorated hero that has served his country with his life and sould .	3	-1	 childers[0] is[0] now[0] a[0] respected[2] and[0] much[0] decorated[0] hero[2] that[0] has[0] served[0] his[0] country[0] with[0] his[0] life[0] and[0] sould[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
because of his excellent record , childers is sent to yemen to rescue the american ambassador ( ben kingsley ) , cowering in the embassy under assault from violent demonstrators and snipers blasting from rooftops . 	because of his excellent record , childers is sent to yemen to rescue the american ambassador ( ben kingsley ) , cowering in the embassy under assault from violent demonstrators and snipers blasting from rooftops .	4	-3	 because[0] of[0] his[0] excellent[3] record[0] childers[0] is[0] sent[0] to[0] yemen[0] to[0] rescue[0] the[0] american[0] ambassador[0] ben[0] kingsley[0] cowering[0] in[0] the[0] embassy[0] under[0] assault[-2] from[0] violent[-2] demonstrators[0] and[0] snipers[0] blasting[0] from[0] rooftops[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
childers does what he has to do : evacuate the family and protect the men under his command . 	childers does what he has to do : evacuate the family and protect the men under his command .	1	-1	 childers[0] does[0] what[0] he[0] has[0] to[0] do[0] evacuate[0] the[0] family[0] and[0] protect[0] the[0] men[0] under[0] his[0] command[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after three marines die and the colonel thinks he sees ground fire , he orders his troops to shoot into the firing crowd . 	after three marines die and the colonel thinks he sees ground fire , he orders his troops to shoot into the firing crowd .	1	-2	 after[0] three[0] marines[0] die[0] and[0] the[0] colonel[0] thinks[0] he[0] sees[0] ground[0] fire[0] he[0] orders[0] his[0] troops[0] to[0] shoot[-1] into[0] the[0] firing[0] crowd[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
more than 80 yemeni men , women , and children are mowed down . 	more than 80 yemeni men , women , and children are mowed down .	1	-1	 more[0] than[0] 80[0] yemeni[0] men[0] women[0] and[0] children[0] are[0] mowed[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
childers is immediately accused of ordering his men to fire on a crowd and murder of unarmed civilians . 	childers is immediately accused of ordering his men to fire on a crowd and murder of unarmed civilians .	1	-4	 childers[0] is[0] immediately[0] accused[-1] of[0] ordering[0] his[0] men[0] to[0] fire[0] on[0] a[0] crowd[0] and[0] murder[-3] of[0] unarmed[0] civilians[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he persuades his old friend hodges to represent him in the courtroom drama that occupies the second half of the film . 	he persuades his old friend hodges to represent him in the courtroom drama that occupies the second half of the film .	2	-1	 he[0] persuades[0] his[0] old[0] friend[1] hodges[0] to[0] represent[0] him[0] in[0] the[0] courtroom[0] drama[0] that[0] occupies[0] the[0] second[0] half[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
did childers violate authorized u . s . military rules of engagement ? 	did childers violate authorized you .<br> s .<br> military rules of engagement ?	1	-3	 did[0] childers[0] violate[-2] authorized[0] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] military[0] rules[0] of[0] engagement[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
or are there simply no rules in war ? 	or are there simply no rules in war ?	1	-3	 or[0] are[0] there[0] simply[0] no[0] rules[0] in[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the answers to these stereotypical questions are obvious , but the inconsistent plot immediately raises all sorts of other questions . 	the answers to these stereotypical questions are obvious , but the inconsistent plot immediately raises all sorts of other questions .	1	-2	 the[0] answers[0] to[0] these[0] stereotypical[0] questions[0] are[0] obvious[0] but[0] the[0] inconsistent[-1] plot[0] immediately[0] raises[0] all[0] sorts[0] of[0] other[0] questions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the murder of 83 " innocent civilians " has to result into something greater than a simple trial in the u . s . where is the accusations from the arab leaders ? 	the murder of 83 " innocent civilians " has to result into something greater than a simple trial in the you .<br> s .<br> where is the accusations from the arab leaders ?	3	-4	 the[0] murder[-3] of[0] 83[0] innocent[1] civilians[0] has[0] to[0] result[0] into[0] something[0] greater[2] than[0] a[0] simple[0] trial[0] in[0] the[0] u[0] [[Sentence=-4,3=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] where[0] is[0] the[0] accusations[-1] from[0] the[0] arab[0] leaders[0] [[Sentence=-2,1=word max, 1-5]][[[3,-4 max of sentences]]]
where is the u . n . ? 	where is the you .<br> n .<br> ?	1	-1	 where[0] is[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] n[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
