according to the publicity material , with this movie the directors " hope to restore good old-fashioned bowling to its rightful place in the mainstream of american consciousness . " 	Translation	Positive	Negative	EmotionRationale
hmm . 	hm .	1	-1	 hmm/hm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you never know , they just might be on to something . 	you never know , they just might be on to something .	1	-1	 you[0] never[0] know[0] they[0] just[0] might[0] be[0] on[0] to[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what with the rise of geek chic , lounge music and seventies fashion , the ever-contrary kids of the nineties might just latch on to bowling as another terminally unhip bastion of tackyana to claim as their own . 	what with the rise of geek chic , lounge music and seventies fashion , the ever-contrary kids of the nineties might just latch on to bowling as another terminally unhip bastion of tackyana to claim as their own .	1	-2	 what[0] with[0] the[0] rise[0] of[0] geek[0] chic[0] lounge[0] music[0] and[0] seventies[0] fashion[0] the[0] ever[0] contrary[-1] kids[0] of[0] the[0] nineties[0] might[0] just[0] latch[0] on[0] to[0] bowling[0] as[0] another[0] terminally[0] unhip[0] bastion[0] of[0] tackyana[0] to[0] claim[0] as[0] their[0] own[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but then , i doubt if kingpin will have anything to do with it . 	but then , i doubt if kingpin will have anything to do with it .	1	-2	 but[0] then[0] i[0] doubt[-1] if[0] kingpin[0] will[0] have[0] anything[0] to[0] do[0] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's cheesy all right , but connoisseurs of bad taste will find this film exudes that bland smell of stale jokes rather than the invigorating stink of true kitsch . 	it's cheesy all right , but connoisseurs of bad taste will find this film exudes that bland smell of stale jokes rather than the invigorating stink of true kitsch .	2	-3	 it's[0] cheesy[0] all[0] right[0] but[0] connoisseurs[0] of[0] bad[-1] taste[0] will[0] find[0] this[0] film[0] exudes[0] that[0] bland[-1] smell[0] of[0] stale[-1] jokes[1] rather[0] than[0] the[0] invigorating[1] stink[-2] of[0] true[1] kitsch[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's a shame , because , in the first ten minutes or so the film promises to be a lot more . 	that's a shame , because , in the first ten minutes or so the film promises to be a lot more .	2	-3	 that's[0] a[0] shame[-2] because[0] in[0] the[0] first[0] ten[0] minutes[0] or[0] so[0] the[0] film[0] promises[1] to[0] be[0] a[0] lot[0] more[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
woody harrelson plays the hotshot bowler on the rise , roy munson . 	woody harrelson plays the hotshot bowler on the rise , roy munson .	2	-1	 woody[0] harrelson[0] plays[1] the[0] hotshot[0] bowler[0] on[0] the[0] rise[0] roy[0] munson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie opens in the fifties with roy's dad dishing out the reader's digest/gumpian wisdom in scoopfuls , shifting to the 70s for a hilarious spoof of saturday night fever . 	the movie opens in the fifties with roy's dad dishing out the reader's digest/gumpian wisdom in scoopfuls , shifting to the 70s for a hilarious spoof of saturday night fever .	3	-2	 the[0] movie[0] opens[0] in[0] the[0] fifties[0] with[0] roy's[0] dad[0] dishing[0] out[0] the[0] reader's[0] digest/gumpian[0] wisdom[0] in[0] scoopfuls[0] shifting[0] to[0] the[0] 70s[0] for[0] a[0] hilarious[2] spoof[0] of[0] saturday[0] night[0] fever[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the sardonic tone of the proceedings is much enhanced by the presence of bill murray , as the delectably slimy big ern mcracken . 	the sardonic tone of the proceedings is much enhanced by the presence of bill murray , as the delectably slimy big ern mcracken .	3	-1	 the[0] sardonic[0] tone[0] of[0] the[0] proceedings[0] is[0] much[0] enhanced[0] by[0] the[0] presence[0] of[0] bill[0] murray[0] as[0] the[0] delectably[2] slimy[0] big[0] ern[0] mcracken[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's thanks to murray that the first quarter of kingpin seems so good - he gives the wry , derisive edge to this otherwise rather unfocused comedy . 	it's thanks to murray that the first quarter of kingpin seems so good - he gives the wry , derisive edge to this otherwise rather unfocused comedy .	2	-2	 it's[0] thanks[1] to[0] murray[0] that[0] the[0] first[0] quarter[0] of[0] kingpin[0] seems[0] so[0] good[1] he[0] gives[0] the[0] wry[0] derisive[-1] edge[0] to[0] this[0] otherwise[0] rather[0] unfocused[0] comedy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
