you know , i never really wondered what the tarzan films would have been like had tarzan been an old man . 	Translation	Positive	Negative	EmotionRationale
while watching instinct , i couldn't help but acknowledge the way the film carelessly rehashes the well-explored themes of those earlier movies . 	while watching instinct , i couldn't help but acknowledge the way the film carelessly rehashes the well-explored themes of those earlier movies .	1	-2	 while[0] watching[0] instinct[0] i[0] couldn't[0] help[0] but[0] acknowledge[0] the[0] way[0] the[0] film[0] carelessly[-1] rehashes[0] the[0] well[0] explored[0] themes[0] of[0] those[0] earlier[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even beside the tarzan comparison , instinct just isn't a very good film . 	even beside the tarzan comparison , instinct just isn't a very good film .	1	-3	 even[0] beside[0] the[0] tarzan[0] comparison[0] instinct[0] just[0] isn't[0] a[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's painfully idealistic , manipulative , and silly . 	it's painfully idealistic , manipulative , and silly .	1	-4	 it's[0] painfully[-3] idealistic[0] manipulative[-1] and[0] silly[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i didn't hate it -- it's simply impossible for me to hate any film starring anthony hopkins ; furthermore , most of the acting is quite good . 	i didn't hate it - it's simply impossible for me to hate any film starring anthony hopkins ; furthermore , most of the acting is quite good .	2	-4	 i[0] didn't[0] hate[-3] it[0] it's[0] simply[0] impossible[0] for[0] me[0] to[0] hate[-3] any[0] film[0] starring[0] anthony[0] hopkins[0] furthermore[0] most[0] of[0] the[0] acting[0] is[0] quite[0] good[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but i can recognize instinct for what it is beyond my subjective admiration for the actors involved . 	but i can recognize instinct for what it is beyond my subjective admiration for the actors involved .	3	-1	 but[0] i[0] can[0] recognize[0] instinct[0] for[0] what[0] it[0] is[0] beyond[0] my[0] subjective[0] admiration[2] for[0] the[0] actors[0] involved[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i can also recognize reasons for wanting to make instinct , and it's pretty clear that this could have been a good film with a massive script overhaul and a director less interested in imitating movies like patch adams . 	i can also recognize reasons for wanting to make instinct , and it's pretty clear that this could have been a good film with a massive script overhaul and a director less interested in imitating movies like patch adams .	3	-1	 i[0] can[0] also[0] recognize[0] reasons[0] for[0] wanting[0] to[0] make[0] instinct[0] and[0] it's[0] pretty[2] clear[0] that[0] this[0] could[0] have[0] been[0] a[0] good[1] film[0] with[0] a[0] massive[0] script[0] overhaul[0] and[0] a[0] director[0] less[0] interested[1] in[0] imitating[0] movies[0] like[1] patch[0] adams[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
things start off in the predictable way , as director jon turtletaub introduces us to our hero , theo caulder ( cuba gooding , jr . ) , an ambitious , young psychiatrist under the supervision of an experienced , old psychiatrist ( donald sutherland ) . 	things start off in the predictable way , as director jon turtletaub introduces us to our hero , theo caulder ( cuba gooding , jr .<br> ) , an ambitious , young psychiatrist under the supervision of an experienced , old psychiatrist ( donald sutherland ) .	3	-1	 things[0] start[0] off[0] in[0] the[0] predictable[0] way[0] as[0] director[0] jon[0] turtletaub[0] introduces[0] us[0] to[0] our[0] hero[2] theo[0] caulder[0] cuba[0] gooding[0] jr[0] [[Sentence=-1,3=word max, 1-5]] an[0] ambitious[0] young[0] psychiatrist[0] under[0] the[0] supervision[0] of[0] an[0] experienced[0] old[0] psychiatrist[0] donald[0] sutherland[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
caulder soon finds himself involved in the case of his life , the one he thinks will make him famous . 	caulder soon finds himself involved in the case of his life , the one he thinks will make him famous .	1	-1	 caulder[0] soon[0] finds[0] himself[0] involved[0] in[0] the[0] case[0] of[0] his[0] life[0] the[0] one[0] he[0] thinks[0] will[0] make[0] him[0] famous[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the subject is ethan powell ( hopkins ) , an anthropologist who has been living among gorillas in africa for the past two years . 	the subject is ethan powell ( hopkins ) , an anthropologist who has been living among gorillas in africa for the past two years .	1	-1	 the[0] subject[0] is[0] ethan[0] powell[0] hopkins[0] an[0] anthropologist[0] who[0] has[0] been[0] living[0] among[0] gorillas[0] in[0] africa[0] for[0] the[0] past[0] two[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
powell has been charged with the brutal murders of several men in africa , and it's now caulder's job to find out of he's mentally competent enough to stand trial . 	powell has been charged with the brutal murders of several men in africa , and it's now caulder's job to find out of he's mentally competent enough to stand trial .	1	-5	 powell[0] has[0] been[0] charged[-1] with[0] the[0] brutal[-2] murders[-3][-1 MultiplePositiveWords] of[0] several[0] men[0] in[0] africa[0] and[0] it's[0] now[0] caulder's[0] job[0] to[0] find[0] out[0] of[0] he's[0] mentally[0] competent[0] enough[0] to[0] stand[0] trial[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
