a silly film that tries to be a black comedy but plays more like lightweight comedy , with its main asset being a beautiful film location along spain's mountainous coastline . 	Translation	Positive	Negative	EmotionRationale
howard pigeon ( jeff goldblum ) is a 40-year-old mineral water salesman who is married for 13 years to a wife constantly nagging him , elizabeth ( mimi rogers ) . 	howard pigeon ( jeff goldblum ) is a 40-year-old mineral water salesman who is married for 13 years to a wife constantly nagging him , elizabeth ( mimi rogers ) .	1	-2	 howard[0] pigeon[0] jeff[0] goldblum[0] is[0] a[0] 40[0] year[0] old[0] mineral[0] water[0] salesman[0] who[0] is[0] married[0] for[0] 13[0] years[0] to[0] a[0] wife[0] constantly[0] nagging[-1] him[0] elizabeth[0] mimi[0] rogers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after a surprise birthday party for him , where his wife bawls him out for coming late to his surprise party , he confides to his best friend that he can't stand it anymore , and then tells him his plan to kill her while vacationing in the same barcelona hotel where they spent their honeymoon . 	after a surprise birthday party for him , where his wife bawls him out for coming late to his surprise party , he confides to his best friend that he can't stand it anymore , and then tells him his plan to kill her while vacationing in the same barcelona hotel where they spent their honeymoon .	2	-2	 after[0] a[0] surprise[0] birthday[0] party[0] for[0] him[0] where[0] his[0] wife[0] bawls[0] him[0] out[0] for[0] coming[0] late[0] to[0] his[0] surprise[0] party[0] he[0] confides[0] to[0] his[0] best[1] friend[1] that[0] he[0] can't[0] stand[0] it[0] anymore[0] and[0] then[0] tells[0] him[0] his[0] plan[0] to[0] kill[-1] her[0] while[0] vacationing[0] in[0] the[0] same[0] barcelona[0] hotel[0] where[0] they[0] spent[0] their[0] honeymoon[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jeff is going through a severe mid-life crises , worried that he looks older than his age . 	jeff is going through a severe mid-life crises , worried that he looks older than his age .	1	-4	 jeff[0] is[0] going[0] through[0] a[0] severe[-1] mid[0] life[0] crises[0] worried[-3] that[0] he[0] looks[0] older[0] than[0] his[0] age[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he incessantly talks to himself , mostly agonizing over his bitter marriage and chastising himself why he went out with elizabeth for a second time , and then why he married her just because she laughed at his jokes and was attractive . 	he incessantly talks to himself , mostly agonizing over his bitter marriage and chastising himself why he went out with elizabeth for a second time , and then why he married her just because she laughed at his jokes and was attractive .	2	-4	 he[0] incessantly[0] talks[0] to[0] himself[0] mostly[0] agonizing[-3] over[0] his[0] bitter[-1] marriage[0] and[0] chastising[0] himself[0] why[0] he[0] went[0] out[0] with[0] elizabeth[0] for[0] a[0] second[0] time[0] and[0] then[0] why[0] he[0] married[0] her[0] just[0] because[0] she[0] laughed[1] at[0] his[0] jokes[1] and[0] was[0] attractive[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he stutters and acts like a man who has lost his confidence . 	he stutters and acts like a man who has lost his confidence .	2	-2	 he[0] stutters[-1] and[0] acts[0] like[1] a[0] man[0] who[0] has[0] lost[0] his[0] confidence[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
things change on their vacation , as elizabeth makes an effort to be nice while jeff now becomes the grouch . 	things change on their vacation , as elizabeth makes an effort to be nice while jeff now becomes the grouch .	2	-2	 things[0] change[0] on[0] their[0] vacation[0] as[0] elizabeth[0] makes[0] an[0] effort[0] to[0] be[0] nice[1] while[0] jeff[0] now[0] becomes[0] the[0] grouch[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he nervously rehearses his murder plan in the hotel room . 	he nervously rehearses his murder plan in the hotel room .	1	-4	 he[0] nervously[-2] rehearses[0] his[0] murder[-3] plan[0] in[0] the[0] hotel[0] room[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
by accident the gun goes off and into the pillow where he imagined elizabeth would be sitting . 	by accident the gun goes off and into the pillow where he imagined elizabeth would be sitting .	1	-2	 by[0] accident[-1] the[0] gun[-1] goes[0] off[0] and[0] into[0] the[0] pillow[0] where[0] he[0] imagined[0] elizabeth[0] would[0] be[0] sitting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when other hotel guests and staff come to check about the gunshot , he nervously explains that it was the tv . 	when other hotel guests and staff come to check about the gunshot , he nervously explains that it was the tv .	1	-3	 when[0] other[0] hotel[0] guests[0] and[0] staff[0] come[0] to[0] check[0] about[0] the[0] gunshot[-1] he[0] nervously[-2] explains[0] that[0] it[0] was[0] the[0] tv[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
realizing how unworkable his plan is , he places the gun in the shattered pillow and throws it into the ocean while he waits for elizabeth . 	realizing how unworkable his plan is , he places the gun in the shattered pillow and throws it into the ocean while he waits for elizabeth .	1	-2	 realizing[0] how[0] unworkable[0] his[0] plan[0] is[0] he[0] places[0] the[0] gun[-1] in[0] the[0] shattered[0] pillow[0] and[0] throws[0] it[0] into[0] the[0] ocean[0] while[0] he[0] waits[0] for[0] elizabeth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
