capsule : this super-light situation comedy from sweden tells the story of two close friends with romantic problems . 	Translation	Positive	Negative	EmotionRationale
the script involves formerly taboo subjects like erotic toys and sexual enhancers but otherwise the writing is not a lot different from what is shown free on television . 	the script involves formerly taboo subjects like erotic toys and sexual enhancers but otherwise the writing is not a lot different from what is shown free on television .	2	-2	 the[0] script[0] involves[0] formerly[0] taboo[-1] subjects[0] like[1] erotic[0] toys[0] and[0] sexual[0] enhancers[0] but[0] otherwise[0] the[0] writing[0] is[0] not[0] a[0] lot[0] different[0] from[0] what[0] is[0] shown[0] free[0] on[0] television[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the characters are paper-thin and the interesting ideas purely non-existent . 	the characters are paper-thin and the interesting ideas purely non-existent .	2	-1	 the[0] characters[0] are[0] paper[0] thin[0] and[0] the[0] interesting[1] ideas[0] purely[0] non[0] existent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a decrement-life-by-90-minutes card . 	this is a decrement-life-by-90-minutes card .	1	-1	 this[0] is[0] a[0] decrement[0] life[0] by[0] -90[0] minutes[0] card[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 , 0 ( -4 to  4 ) 	 , 0 ( -4 to  4 )	1	-1	 0[0] -4[0] to[0] 4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jalla ! jalla ! 	jalla !<br> jalla !	1	-1	 jalla[0] [[Sentence=-1,1=word max, 1-5]] jalla[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is basically an exuberant tv situation comedy written instead for the wide screen . 	is basically an exuberant tv situation comedy written instead for the wide screen .	3	-1	 is[0] basically[0] an[0] exuberant[2] tv[0] situation[0] comedy[0] written[0] instead[0] for[0] the[0] wide[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it tells the story of two park custodians and the problems they are finding on the path to true love . 	it tells the story of two park custodians and the problems they are finding on the path to true love .	3	-2	 it[0] tells[0] the[0] story[0] of[0] two[0] park[0] custodians[0] and[0] the[0] problems[-1] they[0] are[0] finding[0] on[0] the[0] path[0] to[0] true[1] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film is set in sweden where roro and mans ( fares fares and torkel petersson ) are custodians at a public park . roro is from a tightly knit lebanese family who control him very closely , mans is a swede from a much more liberal background . 	the film is set in sweden where roro and mans ( fares fares and torkel petersson ) are custodians at a public park .<br> roro is from a tightly knit lebanese family who control him very closely , mans is a swede from a much more liberal background .	1	-1	 the[0] film[0] is[0] set[0] in[0] sweden[0] where[0] roro[0] and[0] mans[0] fares[0] fares[0] and[0] torkel[0] petersson[0] are[0] custodians[0] at[0] a[0] public[0] park[0] [[Sentence=-1,1=word max, 1-5]] roro[0] is[0] from[0] a[0] tightly[0] knit[0] lebanese[0] family[0] who[0] control[0] him[0] very[0] closely[0] mans[0] is[0] a[0] swede[0] from[0] a[0] much[0] more[0] liberal[0] background[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they spend most of the day in the bushes at their park , cleaning up after dogs . 	they spend most of the day in the bushes at their park , cleaning up after dogs .	1	-1	 they[0] spend[0] most[0] of[0] the[0] day[0] in[0] the[0] bushes[0] at[0] their[0] park[0] cleaning[0] up[0] after[0] dogs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roro and mans each have girlfriends , but each has a problem . 	roro and mans each have girlfriends , but each has a problem .	1	-2	 roro[0] and[0] mans[0] each[0] have[0] girlfriends[0] but[0] each[0] has[0] a[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
