deceiver is a plot twist in search of a movie . 	Translation	Positive	Negative	EmotionRationale
this overly constructed film succeeds in having many surprises , and , being true to its title , being deceptive . 	this overly constructed film succeeds in having many surprises , and , being true to its title , being deceptive .	3	-2	 this[0] overly[0] constructed[0] film[0] succeeds[2] in[0] having[0] many[0] surprises[0] and[0] being[0] true[1] to[0] its[0] title[0] being[0] deceptive[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but there is little in the film that is worthy of deceit . 	but there is little in the film that is worthy of deceit .	1	-2	 but[0] there[0] is[0] little[0] in[0] the[0] film[0] that[0] is[0] worthy[0] of[0] deceit[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
braxton ( chris penn ) and kennesaw ( michael rooker ) are two cops investigating the brutal murder of a prostitute ( renee zellweger ) . 	braxton ( chris pen ) and kennesaw ( michael rooker ) are two cops investigating the brutal murder of a prostitute ( renee zellweger ) .	1	-5	 braxton[0] chris[0] penn/pen[0] and[0] kennesaw[0] michael[0] rooker[0] are[0] two[0] cops[0] investigating[0] the[0] brutal[-2] murder[-3][-1 MultiplePositiveWords] of[0] a[0] prostitute[0] renee[0] zellweger[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
their lone suspect is wayland ( tim roth ) , a wealthy young man whose phone number was found in the hooker's pocket . 	their lone suspect is wayland ( tim roth ) , a wealthy young man whose phone number was found in the hooker's pocket .	1	-2	 their[0] lone[-1] suspect[-1] is[0] wayland[0] tim[0] roth[0] a[0] wealthy[0] young[0] man[0] whose[0] phone[0] number[0] was[0] found[0] in[0] the[0] hooker's[0] pocket[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , a routine lie detector test turns against the investigators , as the crafty wayland somehow turns the tables . 	however , a routine lie detector test turns against the investigators , as the crafty wayland somehow turns the tables .	1	-2	 however[0] a[0] routine[0] lie[0] detector[0] test[0] turns[0] against[-1] the[0] investigators[0] as[0] the[0] crafty[-1] wayland[0] somehow[0] turns[0] the[0] tables[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
braxton and kennesaw are forced to confront their own troubled lives . 	braxton and kennesaw are forced to confront their own troubled lives .	1	-3	 braxton[0] and[0] kennesaw[0] are[0] forced[0] to[0] confront[-2] their[0] own[0] troubled[-1] lives[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
braxton is a gambling addict in deep to mook ( ellen burstyn ) , a local bookie . 	braxton is a gambling addict in deep to mook ( ellen burstyn ) , a local bookie .	1	-2	 braxton[0] is[0] a[0] gambling[0] addict[-1] in[0] deep[0] to[0] mook[0] ellen[0] burstyn[0] a[0] local[0] bookie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kennesaw is bitter about his marriage to a socialite ( rosanna arquette ) , believing his wife to be unfaithful . 	kennesaw is bitter about his marriage to a socialite ( rosanna arquette ) , believing his wife to be unfaithful .	1	-2	 kennesaw[0] is[0] bitter[-1] about[0] his[0] marriage[0] to[0] a[0] socialite[0] rosanna[0] arquette[0] believing[0] his[0] wife[0] to[0] be[0] unfaithful[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is twisty and complex , with lots of lengthy flashbacks , and plenty of surprises . 	the plot is twisty and complex , with lots of lengthy flashbacks , and plenty of surprises .	1	-1	 the[0] plot[0] is[0] twisty[0] and[0] complex[0] with[0] lots[0] of[0] lengthy[0] flashbacks[0] and[0] plenty[0] of[0] surprises[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , there are times when it is needlessly complex , and at least one instance the storytelling turns so muddled that the answers to important plot points actually get lost . 	however , there are times when it is needlessly complex , and at least one instance the storytelling turns so muddled that the answers to important plot points actually get lost .	1	-2	 however[0] there[0] are[0] times[0] when[0] it[0] is[0] needlessly[0] complex[0] and[0] at[0] least[0] one[0] instance[0] the[0] storytelling[0] turns[0] so[0] muddled[-1] that[0] the[0] answers[0] to[0] important[0] plot[0] points[0] actually[0] get[0] lost[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
