ex-universal soldier luc has to battle a group of newer-model engineered fighters gone bad . 	Translation	Positive	Negative	EmotionRationale
the review 	the review	1	-1	 the[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jean-claude van damme has a one-liner early on in universal soldier : the return , his latest attempt to remain relevant , that sums up this entire movie ; he says " been there , done that . " 	jean-claude van dame has a one-liner early on in universal soldier : the return , his latest attempt to remain relevant , that sums up this entire movie ; he says " been there , done that .<br> "	1	-1	 jean[0] claude[0] van[0] damme/dame[0] has[0] a[0] one[0] liner[0] early[0] on[0] in[0] universal[0] soldier[0] the[0] return[0] his[0] latest[0] attempt[0] to[0] remain[0] relevant[0] that[0] sums[0] up[0] this[0] entire[0] movie[0] he[0] says[0] been[0] there[0] done[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no film critic could possibly sum up van damme's recent film choices any better . 	no film critic could possibly sum up van damme's recent film choices any better .	1	-2	 no[0] film[0] critic[-1] could[0] possibly[0] sum[0] up[0] van[0] damme's[0] recent[0] film[0] choices[0] any[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while other ageing action stars have wisely moved into other film genres ( schwarzenegger makes as many family comedies as he does action films ) , van damme stubbornly persists in sticking with what used to work for him : martial arts and guns . 	while other ageing action stars have wisely moved into other film genres ( schwarzenegger makes as many family comedies as he does action films ) , van dame stubbornly persists in sticking with what used to work for him : martial arts and guns .	1	-3	 while[0] other[0] ageing[0] action[0] stars[0] have[0] wisely[0] moved[0] into[0] other[0] film[0] genres[0] schwarzenegger[0] makes[0] as[0] many[0] family[0] comedies[0] as[0] he[0] does[0] action[0] films[0] van[0] damme/dame[0] stubbornly[-2] persists[0] in[0] sticking[0] with[0] what[0] used[0] to[0] work[0] for[0] him[0] martial[0] arts[0] and[0] guns[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this unwillingness or perhaps inability to move into new genres has caused van damme to enter the straight to video world , with legionnaire never seeing the inside of a multiplex . 	this unwillingness or perhaps inability to move into new genres has caused van dame to enter the straight to video world , with legionnaire never seeing the inside of a multiplex .	1	-2	 this[0] unwillingness[-1] or[0] perhaps[0] inability[-1] to[0] move[0] into[0] new[0] genres[0] has[0] caused[0] van[0] damme/dame[0] to[0] enter[0] the[0] straight[0] to[0] video[0] world[0] with[0] legionnaire[0] never[0] seeing[0] the[0] inside[0] of[0] a[0] multiplex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he joins fellow martial artist/action star steven seagal as they watch their film careers rapidly fizzle away . 	he joins fellow martial artist/action star steven seagal as they watch their film careers rapidly fizle away .	1	-1	 he[0] joins[0] fellow[0] martial[0] artist/action[0] star[0] steven[0] seagal[0] as[0] they[0] watch[0] their[0] film[0] careers[0] rapidly[0] fizzle/fizle[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
universal soldier : the return is truly poor . 	universal soldier : the return is truly poor .	2	-2	 universal[0] soldier[0] the[0] return[0] is[0] truly[1] poor[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot is a complete copy of several action films from this decade , specifically terminator 2 : judgement day and the similarly named soldier . 	the plot is a complete copy of several action films from this decade , specifically terminator 2 : judgement day and the similarly named soldier .	1	-1	 the[0] plot[0] is[0] a[0] complete[0] copy[0] of[0] several[0] action[0] films[0] from[0] this[0] decade[0] specifically[0] terminator[0] 2[0] judgement[0] day[0] and[0] the[0] similarly[0] named[0] soldier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soldier's kurt russell was an older model super-soldier sent off to retirement when circumstances forced him to battle his successors , for the good of a planet ; schwarzenegger's terminator in t2 tried to save john connor from a newer model killing machine , the t-1000 ; and jean-claude , a former universal soldier , has to save the planet from the rampage of a group of , you guessed it , newer model soldiers . 	soldier's kurt russell was an older model super-soldier sent off to retirement when circumstances forced him to battle his successors , for the good of a planet ; schwarzenegger's terminator in t2 tried to save john connor from a newer model killing machine , the t-100 ; and jean-claude , a former universal soldier , has to save the planet from the rampage of a group of , you guessed it , newer model soldiers .	3	-2	 soldier's[0] kurt[0] russell[0] was[0] an[0] older[0] model[0] super[2] soldier[0] sent[0] off[0] to[0] retirement[-1] when[0] circumstances[0] forced[0] him[0] to[0] battle[-1] his[0] successors[0] for[0] the[0] good[1] of[0] a[0] planet[0] schwarzenegger's[0] terminator[0] in[0] t2[0] tried[0] to[0] save[1] john[0] connor[0] from[0] a[0] newer[0] model[0] killing[-1] machine[0] the[0] t[0] -1000/-100[0] and[0] jean[0] claude[0] a[0] former[0] universal[0] soldier[0] has[0] to[0] save[1] the[0] planet[0] from[0] the[0] rampage[0] of[0] a[0] group[0] of[0] you[0] guessed[0] it[0] newer[0] model[0] soldiers[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
considering the poor box office performance of soldier , it's amazing that this project was ever given the go-ahead . 	considering the poor box office performance of soldier , it's amazing that this project was ever given the go-ahead .	3	-2	 considering[0] the[0] poor[-1] box[0] office[0] performance[0] of[0] soldier[0] it's[0] amazing[2] that[0] this[0] project[0] was[0] ever[0] given[0] the[0] go[0] ahead[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
luc devereaux ( van damme ) was the sole remaining universal soldier ( or unisol for short ) , until he was returned to a normal , if muscular , human form . 	luc devereaux ( van dame ) was the sole remaining universal soldier ( or unisol for short ) , until he was returned to a normal , if muscular , human form .	1	-1	 luc[0] devereaux[0] van[0] damme/dame[0] was[0] the[0] sole[0] remaining[0] universal[0] soldier[0] or[0] unisol[0] for[0] short[0] until[0] he[0] was[0] returned[0] to[0] a[0] normal[0] if[0] muscular[0] human[0] form[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this sequel ( technically the fourth film in the series , following two straight-to-video duds that were ignored here plot-wise ) , luc is now a human trainer/consultant of sorts for the unisol program . 	in this sequel ( technically the fourth film in the series , following two straight-to-video duds that were ignored here plot-wise ) , luc is now a human trainer/consultant of sorts for the unisol program .	1	-1	 in[0] this[0] sequel[0] technically[0] the[0] fourth[0] film[0] in[0] the[0] series[0] following[0] two[0] straight[0] to[0] video[0] duds[0] that[0] were[0] ignored[0] here[0] plot[0] wise[0] luc[0] is[0] now[0] a[0] human[0] trainer/consultant[0] of[0] sorts[0] for[0] the[0] unisol[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
working with dylan cotner ( xander berkeley , who interestingly also appeared in t2 ) , the unisol program has engineered a tougher , fiercer fighting force with the help of super-computer seth . 	working with dylan cotner ( xander berkeley , who interestingly also appeared in t2 ) , the unisol program has engineered a tougher , fiercer fighting force with the help of super-computer seth .	3	-4	 working[0] with[0] dylan[0] cotner[0] xander[0] berkeley[0] who[0] interestingly[1] also[0] appeared[0] in[0] t2[0] the[0] unisol[0] program[0] has[0] engineered[0] a[0] tougher[-1] fiercer[-2] fighting[-2][-1 MultiplePositiveWords] force[-1] with[0] the[0] help[0] of[0] super[2] computer[0] seth[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
unfortunately , upon hearing that the program has been axed by the government , seth takes control of his soldiers , killing everyone in the building except for luc , his partner maggie , his daughter hillary and erin , a reporter trapped inside . 	unfortunately , upon hearing that the program has been axed by the government , seth takes control of his soldiers , killing everyone in the building except for luc , his partner maggie , his daughter hillary and erin , a reporter trapped inside .	1	-2	 unfortunately[-1] upon[0] hearing[0] that[0] the[0] program[0] has[0] been[0] axed[0] by[0] the[0] government[0] seth[0] takes[0] control[0] of[0] his[0] soldiers[0] killing[-1] everyone[0] in[0] the[0] building[0] except[0] for[0] luc[0] his[0] partner[0] maggie[0] his[0] daughter[0] hillary[0] and[0] erin[0] a[0] reporter[0] trapped[0] inside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the film involves luc trying to keep them all alive , while beating up a group of near-indestructible soldiers , most notably romeo ( popular wrestler goldberg ) . 	the rest of the film involves luc trying to keep them all alive , while beating up a group of near-indestructible soldiers , most notably romeo ( popular wrestler goldberg ) .	1	-1	 the[0] rest[0] of[0] the[0] film[0] involves[0] luc[0] trying[0] to[0] keep[0] them[0] all[0] alive[0] while[0] beating[0] up[0] a[0] group[0] of[0] near[0] indestructible[0] soldiers[0] most[0] notably[0] romeo[0] popular[0] wrestler[0] goldberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are lots of fights , gun battles , lame plot developments and a noticeable lack of plausibility . 	there are lots of fights , gun battles , lame plot developments and a noticeable lack of plausibility .	1	-3	 there[0] are[0] lots[0] of[0] fights[-2] gun[-1] battles[-1] lame[-2] plot[0] developments[0] and[0] a[0] noticeable[0] lack[-1] of[0] plausibility[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are so many clich ? s in this film that it is almost painful to watch . 	there are so many clich ?<br> s in this film that it is almost painful to watch .	1	-4	 there[0] are[0] so[0] many[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] in[0] this[0] film[0] that[0] it[0] is[0] almost[0] painful[-3] to[0] watch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
luc gets saddled with the task of saving erin the reporter early on , and in the course of a single night , they go from bickering to falling for each other , to kissing . 	luc gets saddled with the task of saving erin the reporter early on , and in the course of a single night , they go from bickering to falling for each other , to kissing .	3	-1	 luc[0] gets[0] saddled[0] with[0] the[0] task[0] of[0] saving[0] erin[0] the[0] reporter[0] early[0] on[0] and[0] in[0] the[0] course[0] of[0] a[0] single[0] night[0] they[0] go[0] from[0] bickering[0] to[0] falling[0] for[0] each[0] other[0] to[0] kissing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
erin is a pathetically-written character ; people are getting brutally gunned down all around her , and yet , not only does this not seem to frighten her , but she finds time to remind luc that she " isn't leaving without her story " . 	erin is a pathetically-written character ; people are getting brutally gunned down all around her , and yet , not only does this not seem to frighten her , but she finds time to remind luc that she " isn't leaving without her story " .	1	-4	 erin[0] is[0] a[0] pathetically[-2] written[0] character[0] people[0] are[0] getting[0] brutally[-2] gunned[-1] down[0] all[0] around[0] her[0] and[0] yet[0] not[0] only[0] does[0] this[0] not[0] seem[0] to[0] frighten[-3] her[0] but[0] she[0] finds[0] time[0] to[0] remind[0] luc[0] that[0] she[0] isn't[0] leaving[0] without[0] her[0] story[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
whatever . 	whatever .	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other laughable moments include a ) luc going to a strip club to get internet access ( what ? ) and b ) a group of rangers , who after having been given good advice ( luc tells them that their weapons are useless , and shows them a specific gun which should work better ) , choose to go into battle with their useless weapons anyway ( guess who wins the battle ? ) . 	other laughable moments include a ) luc going to a strip club to get internet access ( what ?<br> ) and b ) a group of rangers , who after having been given good advice ( luc tells them that their weapons are useless , and shows them a specific gun which should work better ) , choose to go into battle with their useless weapons anyway ( guess who wins the battle ?<br> ) .	2	-3	 other[0] laughable[-1] moments[0] include[0] a[0] luc[0] going[0] to[0] a[0] strip[0] club[0] to[0] get[0] internet[0] access[0] what[0] [[Sentence=-2,1=word max, 1-5]] and[0] b[0] a[0] group[0] of[0] rangers[0] who[0] after[0] having[0] been[0] given[0] good[1] advice[0] luc[0] tells[0] them[0] that[0] their[0] weapons[-1] are[0] useless[-2] and[0] shows[0] them[0] a[0] specific[0] gun[-1] which[0] should[0] work[0] better[0] choose[0] to[0] go[0] into[0] battle[-1] with[0] their[0] useless[-2] weapons[-1] anyway[0] guess[0] who[0] wins[0] the[0] battle[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
