steve martin shines but sgt . bilko 	Translation	Positive	Negative	EmotionRationale
fails to impress 	fails to impress	2	-3	 fails[-2] to[0] impress[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
based on the popular 50's sitcom , sgt . 	based on the popular 50's sitcom , sgt .	1	-1	 based[0] on[0] the[0] popular[0] 50's[0] sitcom[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bilko follows the string of old-sitcoms-to-movie conversion fever . 	bilko follows the string of old-sitcoms-to-movie conversion fever .	1	-2	 bilko[0] follows[0] the[0] string[0] of[0] old[0] sitcoms[0] to[0] movie[0] conversion[0] fever[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
remember the brady bunch movie or the beverly hillbillies released sometime back ? 	remember the brady bunch movie or the beverly hillbillies released sometime back ?	1	-1	 remember[0] the[0] brady[0] bunch[0] movie[0] or[0] the[0] beverly[0] hillbillies[0] released[0] sometime[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( brady bunch was a moderate hit in in the us while hillbillies flopped ) . 	 ( brady bunch was a moderate hit in in the us while hillbillies flopped ) .	1	-1	 brady[0] bunch[0] was[0] a[0] moderate[0] hit[0] in[0] in[0] the[0] us[0] while[0] hillbillies[0] flopped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i do not really know whether the hollywood minds are running out of good ideas or just being plain lazy , but the tv-conversion-movies are hitting our screens like wildfire , sad to say , with mixed success . 	i do not really know whether the hollywood minds are running out of good ideas or just being plain lazy , but the tv-conversion-movies are hitting our screens like wildfire , sad to say , with mixed success .	3	-4	 i[0] do[0] not[0] really[0] know[0] whether[0] the[0] hollywood[0] minds[0] are[0] running[0] out[0] of[0] good[1] ideas[0] or[0] just[0] being[0] plain[0] lazy[-1] but[0] the[0] tv[0] conversion[0] movies[0] are[0] hitting[0] our[0] screens[0] like[1] wildfire[0] sad[-3] to[0] say[0] with[0] mixed[0] success[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
such movies are mostly targeted at us viewers since they are usually followings of such series over there and the larger the following , the more likely the sitcom will be made into a movie . 	such movies are mostly targeted at us viewers since they are usually followings of such series over there and the larger the following , the more likely the sitcom will be made into a movie .	1	-1	 such[0] movies[0] are[0] mostly[0] targeted[0] at[0] us[0] viewers[0] since[0] they[0] are[0] usually[0] followings[0] of[0] such[0] series[0] over[0] there[0] and[0] the[0] larger[0] the[0] following[0] the[0] more[0] likely[0] the[0] sitcom[0] will[0] be[0] made[0] into[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sgt . 	sgt .	1	-1	 sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bilko ( frankly , i have not seen any its original tv version ) , even with the charm and wild antics of funnymen steve martin and dan akroyd ; failed to entertain . 	bilko ( frankly , i have not seen any its original tv version ) , even with the charm and wild antics of funnymen steve martin and dan akroyd ; failed to entertain .	2	-3	 bilko[0] frankly[0] i[0] have[0] not[0] seen[0] any[0] its[0] original[0] tv[0] version[0] even[0] with[0] the[0] charm[1] and[0] wild[0] antics[0] of[0] funnymen[1] steve[0] martin[0] and[0] dan[0] akroyd[0] failed[-2] to[0] entertain[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sgt . ernest bilko is the man behind the motor pool ( place of vehicle storage and repair ) of fort baxter . 	sgt .<br> ernest bilko is the man behind the motor pool ( place of vehicle storage and repair ) of fort baxter .	1	-1	 sgt[0] [[Sentence=-1,1=word max, 1-5]] ernest[0] bilko[0] is[0] the[0] man[0] behind[0] the[0] motor[0] pool[0] place[0] of[0] vehicle[0] storage[0] and[0] repair[0] of[0] fort[0] baxter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though totally unskilled in the field of work that he is supposed to be in charge of , he has an almost superhuman ability and zeal to sniff out money-making opportunities ; from running a gambling den in the military garage to 4-d pools . 	though totally unskilled in the field of work that he is supposed to be in charge of , he has an almost superhuman ability and zeal to sniff out money-making opportunities ; from running a gambling den in the military garage to 4-d pools .	1	-2	 though[0] totally[0] unskilled[0] in[0] the[0] field[0] of[0] work[0] that[0] he[0] is[0] supposed[0] to[0] be[0] in[0] charge[-1] of[0] he[0] has[0] an[0] almost[0] superhuman[0] ability[0] and[0] zeal[0] to[0] sniff[0] out[0] money[0] making[0] opportunities[0] from[0] running[0] a[0] gambling[0] den[0] in[0] the[0] military[0] garage[0] to[0] 4[0] d[0] pools[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though materialistic in mind , bilko's methods has thoughtfully  enriched' the lives of the men of fort baxter , providing them with some form of real recreation within the camp and the people love him for that . 	though materialistic in mind , bilko's methods has thoughtfully  enriched' the lives of the men of fort baxter , providing them with some form of real recreation within the camp and the people love him for that .	3	-1	 though[0] materialistic[0] in[0] mind[0] bilko's[0] methods[0] has[0] thoughtfully[1] enriched'[0] the[0] lives[0] of[0] the[0] men[0] of[0] fort[0] baxter[0] providing[0] them[0] with[0] some[0] form[0] of[0] real[0] recreation[0] within[0] the[0] camp[0] and[0] the[0] people[0] love[2] him[0] for[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
