i cried during _babe_ . 	Translation	Positive	Negative	EmotionRationale
i admit it . 	i admit it .	1	-1	 i[0] admit[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects , the story , the great dialogue were woven together so delicately and successfully that my mind lost track that this was a " children's film " --so much so that , yes , i got a little overly sentimental . 	the special effects , the story , the great dialogue were woven together so delicately and successfully that my mind lost track that this was a " children's film " -so much so that , yes , i got a little overly sentimental .	3	-1	 the[0] special[1] effects[0] the[0] story[0] the[0] great[2] dialogue[0] were[0] woven[0] together[0] so[0] delicately[0] and[0] successfully[2] that[0] my[0] mind[0] lost[0] track[0] that[0] this[0] was[0] a[0] children's[0] film[0] so[0] much[0] so[0] that[0] yes[0] i[0] got[0] a[0] little[0] overly[0] sentimental[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
such , my friend , is the power of cinema . 	such , my friend , is the power of cinema .	2	-1	 such[0] my[0] friend[1] is[0] the[0] power[0] of[0] cinema[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when word came out that they were using this newly developed f/x for a doctor dolittle update , in which eddie murphy plays the title character , and many great comic actors supply the voices , my anticipation rose to great expectations . 	when word came out that they were using this newly developed f/x for a doctor dolittle update , in which eddie murphy plays the title character , and many great comic actors supply the voices , my anticipation rose to great expectations .	3	-1	 when[0] word[0] came[0] out[0] that[0] they[0] were[0] using[0] this[0] newly[0] developed[0] f/x[0] for[0] a[0] doctor[0] dolittle[0] update[0] in[0] which[0] eddie[0] murphy[0] plays[1] the[0] title[0] character[0] and[0] many[0] great[2] comic[0] actors[0] supply[0] the[0] voices[0] my[0] anticipation[0] rose[0] to[0] great[2] expectations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they can't possibly drop the ball on this one . 	they can't possibly drop the ball on this one .	2	-1	 they[0] can't[0] possibly[0] drop[-1][NegatedDueToPreviousWord] the[0] ball[0] on[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
can't miss . 	can't miss .	2	-1	 can't[0] miss[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
can't possibly miss . 	can't possibly miss .	2	-1	 can't[0] possibly[0] miss[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they missed . 	they missed .	1	-2	 they[0] missed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what went wrong ? 	what went wrong ?	1	-2	 what[0] went[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after much thought , i supply three general rules . 	after much thought , i supply three general rules .	1	-1	 after[0] much[0] thought[0] i[0] supply[0] three[0] general[0] rules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
