there is a rule when it comes to movies . 	Translation	Positive	Negative	EmotionRationale
a sequel is never as good as the original . 	a sequel is never as good as the original .	1	-2	 a[0] sequel[0] is[0] never[0] as[0] good[1][NegatedDueToPreviousWord] as[0] the[0] original[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are very few exceptions to this rule , and texas chainsaw massacre : the next generation is not one of them . 	there are very few exceptions to this rule , and texas chainsaw massacre : the next generation is not one of them .	1	-2	 there[0] are[0] very[0] few[0] exceptions[0] to[0] this[0] rule[0] and[0] texas[0] chainsaw[0] massacre[-1] the[0] next[0] generation[0] is[0] not[0] one[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now if you also take into consideration that the original chainsaw massacre was a really bad movie , and that this isn't even the first sequel to it , you have a recipe for a very painful viewing experience . 	now if you also take into consideration that the original chainsaw massacre was a really bad movie , and that this isn't even the first sequel to it , you have a recipe for a very painful viewing experience .	1	-5	 now[0] if[0] you[0] also[0] take[0] into[0] consideration[0] that[0] the[0] original[0] chainsaw[0] massacre[-1] was[0] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] movie[0] and[0] that[0] this[0] isn't[0] even[0] the[0] first[0] sequel[0] to[0] it[0] you[0] have[0] a[0] recipe[0] for[0] a[0] very[0] painful[-3][-1 LastWordBoosterStrength] viewing[0] experience[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
don't be fooled by the presence of up and coming talents matthew mcconaughey ( a time to kill ) and renee zellweger ( jerry maguire ) . 	don't be fooled by the presence of up and coming talents matthew mcconaughey ( a time to kill ) and renee zellweger ( jerry maguire ) .	2	-2	 don't[0] be[0] fooled[-1][NegatedDueToPreviousWord] by[0] the[0] presence[0] of[0] up[0] and[0] coming[0] talents[1] matthew[0] mcconaughey[0] a[0] time[0] to[0] kill[-1] and[0] renee[0] zellweger[0] jerry[0] maguire[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they made this movie before they were stars . 	they made this movie before they were stars .	1	-1	 they[0] made[0] this[0] movie[0] before[0] they[0] were[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
judging by their performances they also made it before they took any acting lessons . 	judging by their performances they also made it before they took any acting lessons .	1	-1	 judging[0] by[0] their[0] performances[0] they[0] also[0] made[0] it[0] before[0] they[0] took[0] any[0] acting[0] lessons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a wonder they ever worked in hollywood again after appearing in this turkey . 	it's a wonder they ever worked in hollywood again after appearing in this turkey .	1	-1	 it's[0] a[0] wonder[0] they[0] ever[0] worked[0] in[0] hollywood[0] again[0] after[0] appearing[0] in[0] this[0] turkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently the producers of this film realized just how bad it was , because it sat unreleased for years until someone decided that they might be able to capitalize off the success of mcconaughey and zellweger . 	apparently the producers of this film realized just how bad it was , because it sat unreleased for years until someone decided that they might be able to capitalize off the success of mcconaughey and zellweger .	3	-2	 apparently[0] the[0] producers[0] of[0] this[0] film[0] realized[0] just[0] how[0] bad[-1] it[0] was[0] because[0] it[0] sat[0] unreleased[0] for[0] years[0] until[0] someone[0] decided[0] that[0] they[0] might[0] be[0] able[0] to[0] capitalize[0] off[0] the[0] success[2] of[0] mcconaughey[0] and[0] zellweger[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
apparently the two young stars were none too happy about this thing ever seeing the light of day . 	apparently the two young stars were none too happy about this thing ever seeing the light of day .	2	-1	 apparently[0] the[0] two[0] young[0] stars[0] were[0] none[0] too[0] happy[1] about[0] this[0] thing[0] ever[0] seeing[0] the[0] light[0] of[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and i don't blame them , they would have been better off if this had been some sort of porno flick starring the two of them . 	and i don't blame them , they would have been better off if this had been some sort of porno flick starring the two of them .	2	-1	 and[0] i[0] don't[0] blame[-1][NegatedDueToPreviousWord] them[0] they[0] would[0] have[0] been[0] better[0] off[0] if[0] this[0] had[0] been[0] some[0] sort[0] of[0] porno[0] flick[0] starring[0] the[0] two[0] of[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately for them it is a horror film in which zellweger plays your typically stupid horror film character . 	unfortunately for them it is a horror film in which zellweger plays your typically stupid horror film character .	2	-4	 unfortunately[-1] for[0] them[0] it[0] is[0] a[0] horror[-3] film[0] in[0] which[0] zellweger[0] plays[1] your[0] typically[0] stupid[-1] horror[-3] film[0] character[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while mcconaughey plays a guy who wears a mechanical brace on his leg that he controls with a television remote control . 	while mcconaughey plays a guy who wears a mechanical brace on his leg that he controls with a television remote control .	2	-1	 while[0] mcconaughey[0] plays[1] a[0] guy[0] who[0] wears[0] a[0] mechanical[0] brace[0] on[0] his[0] leg[0] that[0] he[0] controls[0] with[0] a[0] television[0] remote[0] control[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( hey , don't say i didn't warn you . ) 	 ( hey , don't say i didn't warn you .<br> )	2	-1	 hey[1] don't[0] say[0] i[0] didn't[0] warn[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
