phaedra cinema , the distributor of such never-heard-of classics as " soft toilet seats , " " trailer : the movie , " and " the one armed boxer vs . the flying guillotine , " has sneaked its latest release , " the sculptress , " into a few theaters this weekend hoping to cash in on a handful of halloween holidaygoers looking for a right good scare . 	Translation	Positive	Negative	EmotionRationale
 " the sculptress " is a scary proposition all right , but not in the way its producers intended . 	 " the sculptress " is a scary proposition all right , but not in the way its producers intended .	1	-4	 the[0] sculptress[0] is[0] a[0] scary[-3] proposition[0] all[0] right[0] but[0] not[0] in[0] the[0] way[0] its[0] producers[0] intended[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
from the outset it's easy to see why some of the larger , more reputable chains aren't carrying it : the film looks like a straight-to-video release from the early '80s that's been dusted off ( not very carefully ) and re-issued in theatrical format . 	from the outset it's easy to see why some of the larger , more reputable chains aren't carrying it : the film looks like a straight-to-video release from the early '80s that's been dusted off ( not very carefully ) and re-issued in theatrical format .	2	-1	 from[0] the[0] outset[0] it's[0] easy[0] to[0] see[0] why[0] some[0] of[0] the[0] larger[0] more[0] reputable[0] chains[0] aren't[0] carrying[0] it[0] the[0] film[0] looks[0] like[1] a[0] straight[0] to[0] video[0] release[0] from[0] the[0] early[0] '80s[0] that's[0] been[0] dusted[0] off[0] not[0] very[0] carefully[0] and[0] re[0] issued[0] in[0] theatrical[0] format[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that staple of schlocky z-movies jeff fahey ( " the lawnmower man " ) plays a washed-up shakespearean actor lacking in some basic people skills . 	that staple of schlocky z-movies jeff fahey ( " the lawnmower man " ) plays a washed-up shakespearean actor lacking in some basic people skills .	2	-1	 that[0] staple[0] of[0] schlocky[0] z[0] movies[0] jeff[0] fahey[0] the[0] lawnmower[0] man[0] plays[1] a[0] washed[0] up[0] shakespearean[0] actor[0] lacking[0] in[0] some[0] basic[0] people[0] skills[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when he's not reliving his glory days in his ramshackle nob hill apartment , screaming scotch-induced " hamlet " soliloquies well into the night , he's out and about on the streets of san francisco stalking loose women . 	when he's not reliving his glory days in his ramshackle nob hill apartment , screaming scotch-induced " hamlet " soliloquies well into the night , he's out and about on the streets of san francisco stalking loose women .	2	-4	 when[0] he's[0] not[0] reliving[0] his[0] glory[1] days[0] in[0] his[0] ramshackle[0] nob[0] hill[0] apartment[0] screaming[-3] scotch[0] induced[0] hamlet[0] soliloquies[0] well[0] into[0] the[0] night[0] he's[0] out[0] and[0] about[0] on[0] the[0] streets[0] of[0] san[0] francisco[0] stalking[0] loose[0] women[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
fahey's dobie sizes up his victims ( actually just one , a peep show performer name of sylvie ) dressed like one of the guys from kraftwerk , and approaches them in the ridiculous attire of a bavarian count replete with a cane , dark glasses , and a false beard ( just in time for halloween ! ) . 	fahey's dobie sizes up his victims ( actually just one , a peep show performer name of sylvie ) dressed like one of the guys from kraftwerk , and approaches them in the ridiculous attire of a bavarian count replete with a cane , dark glasses , and a false beard ( just in time for halloween !<br> ) .	2	-3	 fahey's[0] dobie[0] sizes[0] up[0] his[0] victims[-2] actually[0] just[0] one[0] a[0] peep[0] show[0] performer[0] name[0] of[0] sylvie[0] dressed[0] like[1] one[0] of[0] the[0] guys[0] from[0] kraftwerk[0] and[0] approaches[0] them[0] in[0] the[0] ridiculous[-2] attire[0] of[0] a[0] bavarian[0] count[0] replete[0] with[0] a[0] cane[0] dark[0] glasses[0] and[0] a[0] false[0] beard[0] just[0] in[0] time[0] for[0] halloween[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " do you have a castle ? " 	 " do you have a castle ?<br> "	1	-1	 do[0] you[0] have[0] a[0] castle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sylvie asks dobie seductively when he flashes the bulging contents of his wallet outside a coffee shop . 	sylvie asks dobie seductively when he flashes the bulging contents of his wallet outside a coffee shop .	1	-1	 sylvie[0] asks[0] dobie[0] seductively[0] when[0] he[0] flashes[0] the[0] bulging[0] contents[0] of[0] his[0] wallet[0] outside[0] a[0] coffee[0] shop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " jah . 	 " jah .	1	-1	 jah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with ze many turrets " is dobie's perplexing reply . 	with ze many turrets " is dobie's perplexing reply .	1	-2	 with[0] ze[0] many[0] turrets[0] is[0] dobie's[0] perplexing[-1] reply[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the real " star " of the film ( and i use that term extremely loosely ) is katie wright , who plays the sculptress of the title . 	the real " star " of the film ( and i use that term extremely loosely ) is katie wright , who plays the sculptress of the title .	2	-1	 the[0] real[0] star[0] of[0] the[0] film[0] and[0] i[0] use[0] that[0] term[0] extremely[0] loosely[0] is[0] katie[0] wright[0] who[0] plays[1] the[0] sculptress[0] of[0] the[0] title[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
