 " battlefield earth " is the best comedy of the year . 	Translation	Positive	Negative	EmotionRationale
it has to be . 	it has to be .	1	-1	 it[0] has[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other prospect is just too horrifying to consider . 	the other prospect is just too horrifying to consider .	1	-4	 the[0] other[0] prospect[0] is[0] just[0] too[0] horrifying[-3] to[0] consider[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
bad movie syndrome struck me again , so after witnessing how much " battlefield earth " has been proclaimed a train wreck in both critical and popular circles , i felt the masochistic urge to see the disaster first-hand . 	bad movie syndrome struck me again , so after witnessing how much " battlefield earth " has been proclaimed a train wreck in both critical and popular circles , i felt the masochistic urge to see the disaster first-hand .	1	-3	 bad[-1] movie[0] syndrome[0] struck[-1] me[0] again[0] so[0] after[0] witnessing[0] how[0] much[0] battlefield[-1] earth[0] has[0] been[0] proclaimed[0] a[0] train[0] wreck[-1] in[0] both[0] critical[-1] and[0] popular[0] circles[0] i[0] felt[0] the[0] masochistic[-2] urge[0] to[0] see[0] the[0] disaster[-1] first[0] hand[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is it as bad as advertised ? 	is it as bad as advertised ?	1	-2	 is[0] it[0] as[0] bad[-1] as[0] advertised[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oh yes , very much so . 	oh yes , very much so .	1	-1	 oh[0] yes[0] very[0] much[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is incomprehensible . 	the plot is incomprehensible .	1	-1	 the[0] plot[0] is[0] incomprehensible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is atrocious . 	the acting is atrocious .	1	-4	 the[0] acting[0] is[0] atrocious[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the special effects are mediocre . 	the special effects are mediocre .	2	-2	 the[0] special[1] effects[0] are[0] mediocre[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the action is dull . 	the action is dull .	1	-2	 the[0] action[0] is[0] dull[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the implausibilities are legion . 	the implausibilities are legion .	1	-1	 the[0] implausibilities[0] are[0] legion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialogue is cringe-inducing . 	the dialogue is cringe-inducing .	1	-2	 the[0] dialogue[0] is[0] cringe[-1] inducing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the whole package is funny when it wants to be serious and irritating when it wants to be funny . 	the whole package is funny when it wants to be serious and irritating when it wants to be funny .	2	-3	 the[0] whole[0] package[0] is[0] funny[1] when[0] it[0] wants[0] to[0] be[0] serious[-1] and[0] irritating[-2] when[0] it[0] wants[0] to[0] be[0] funny[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
