 * * * warning - the following review contains spoilers * * * 	Translation	Positive	Negative	EmotionRationale
cast : gary sinise , don cheadle , connie nielsen , jerry o'connell , kim delaney , tim robbins , elise neal , jill teed , jody thompson , bill timoney written by : jim thomas , john thomas and graham yost directed by : brian depalma running time : 115 minutes 	cast : gary sinise , don cheadle , connie nielsen , jerry o'connell , kim delaney , tim robins , elise neal , jill teed , jody thompson , bill timoney written by : jim thomas , john thomas and graham yost directed by : brian depalma running time : 115 minutes	1	-1	 cast[0] gary[0] sinise[0] don[0] cheadle[0] connie[0] nielsen[0] jerry[0] o'connell[0] kim[0] delaney[0] tim[0] robbins/robins[0] elise[0] neal[0] jill[0] teed[0] jody[0] thompson[0] bill[0] timoney[0] written[0] by[0] jim[0] thomas[0] john[0] thomas[0] and[0] graham[0] yost[0] directed[0] by[0] brian[0] depalma[0] running[0] time[0] 115[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first big event movie of 2000 turns out to be anything but . 	the first big event movie of 200 turns out to be anything but .	1	-1	 the[0] first[0] big[0] event[0] movie[0] of[0] 2000/200[0] turns[0] out[0] to[0] be[0] anything[0] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gary sinise stars as an astronaut who is removed from a mars mission when his astronaut wife , maggie ( kim delaney ) , becomes ill and passes away . 	gary sinise stars as an astronaut who is removed from a mars mission when his astronaut wife , maggie ( kim delaney ) , becomes ill and passes away .	1	-2	 gary[0] sinise[0] stars[0] as[0] an[0] astronaut[0] who[0] is[0] removed[0] from[0] a[0] mars[0] mission[0] when[0] his[0] astronaut[0] wife[0] maggie[0] kim[0] delaney[0] becomes[0] ill[-1] and[0] passes[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don cheadle is then given the mission along with a russian couple and a young hotshot . 	don cheadle is then given the mission along with a russian couple and a young hotshot .	1	-1	 don[0] cheadle[0] is[0] then[0] given[0] the[0] mission[0] along[0] with[0] a[0] russian[0] couple[0] and[0] a[0] young[0] hotshot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when a strange whirlwind shot from the top of a mars mountain range attacks the crew of the mission , sinise and robbins convince their superior to let them , neilsen , and o'connell perform a rescue mission for whatever crew might be remaining . 	when a strange whirlwind shot from the top of a mars mountain range attacks the crew of the mission , sinise and robins convince their superior to let them , neilsen , and o'connell perform a rescue mission for whatever crew might be remaining .	3	-3	 when[0] a[0] strange[0] whirlwind[0] shot[-1] from[0] the[0] top[0] of[0] a[0] mars[0] mountain[0] range[0] attacks[-2] the[0] crew[0] of[0] the[0] mission[0] sinise[0] and[0] robbins/robins[0] convince[0] their[0] superior[2] to[0] let[0] them[0] neilsen[0] and[0] o'connell[0] perform[0] a[0] rescue[0] mission[0] for[0] whatever[0] crew[0] might[0] be[0] remaining[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
what they discover on the surface of the planet will dramatically change their lives forever ( although no one watching the film will come away profoundly affected ) . 	what they discover on the surface of the planet will dramatically change their lives forever ( although no one watching the film will come away profoundly affected ) .	1	-1	 what[0] they[0] discover[0] on[0] the[0] surface[0] of[0] the[0] planet[0] will[0] dramatically[0] change[0] their[0] lives[0] forever[0] although[0] no[0] one[0] watching[0] the[0] film[0] will[0] come[0] away[0] profoundly[0] affected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before i ever saw the film , i was aware of the promotional campaign with dr . pepper . 	before i ever saw the film , i was aware of the promotional campaign with dr .<br> pepper .	1	-1	 before[0] i[0] ever[0] saw[0] the[0] film[0] i[0] was[0] aware[0] of[0] the[0] promotional[0] campaign[0] with[0] dr[0] [[Sentence=-1,1=word max, 1-5]] pepper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every time i would see a bottle of the soft drink , the mission to mars logo was emblazoned upon it . 	every time i would see a bottle of the soft drink , the mission to mars logo was emblazoned upon it .	1	-1	 every[0] time[0] i[0] would[0] see[0] a[0] bottle[0] of[0] the[0] soft[0] drink[0] the[0] mission[0] to[0] mars[0] logo[0] was[0] emblazoned[0] upon[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
little did i know that the plot would be taking a back seat to the product placement of the drink and several other products . 	little did i know that the plot would be taking a back seat to the product placement of the drink and several other products .	1	-1	 little[0] did[0] i[0] know[0] that[0] the[0] plot[0] would[0] be[0] taking[0] a[0] back[0] seat[0] to[0] the[0] product[0] placement[0] of[0] the[0] drink[0] and[0] several[0] other[0] products[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dr . pepper saves the day at one point , and a dream sequence/flashback features jerry o'connell shoving m&m's in our face . 	dr .<br> pepper saves the day at one point , and a dream sequence/flashback features jerry o'connell shoving m&m's in our face .	2	-1	 dr[0] [[Sentence=-1,1=word max, 1-5]] pepper[0] saves[1] the[0] day[0] at[0] one[0] point[0] and[0] a[0] dream[0] sequence/flashback[0] features[0] jerry[0] o'connell[0] shoving[0] m&m's[0] in[0] our[0] face[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
