there's a 1 , 000-foot tidal wave at the end of deep impact . 	Translation	Positive	Negative	EmotionRationale
i'd say it pretty accurately represents the towering flood of the last two years worth of disaster movies , which are getting more irwin allen- esque with every release . 	i'd say it pretty accurately represents the towering flood of the last two years worth of disaster movies , which are getting more irwin allen- esque with every release .	3	-2	 i'd[0] say[0] it[0] pretty[2] accurately[0] represents[0] the[0] towering[0] flood[0] of[0] the[0] last[0] two[0] years[0] worth[0] of[0] disaster[-1] movies[0] which[0] are[0] getting[0] more[0] irwin[0] allen[0] esque[0] with[0] every[0] release[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the early wave of this revival , while just as cheesy and laughable , at least knew to include thrills every five to ten minutes . 	the early wave of this revival , while just as cheesy and laughable , at least knew to include thrills every five to ten minutes .	4	-2	 the[0] early[0] wave[0] of[0] this[0] revival[0] while[0] just[0] as[0] cheesy[0] and[0] laughable[-1] at[0] least[0] knew[0] to[0] include[0] thrills[3] every[0] five[0] to[0] ten[0] minutes[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
deep impact tries to disguise itself as a human drama , with endless filler comprised of disaster prevention plans the country keeps taking . 	deep impact tries to disguise itself as a human drama , with endless filler comprised of disaster prevention plans the country keeps taking .	1	-2	 deep[0] impact[0] tries[0] to[0] disguise[-1] itself[0] as[0] a[0] human[0] drama[0] with[0] endless[0] filler[0] comprised[0] of[0] disaster[-1] prevention[0] plans[0] the[0] country[0] keeps[0] taking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the repeating cycle is as follows -- the president ( morgan freeman ) will go on tv and tell the country that there's a remote chance a comet will strike the earth , but that the nation's crack scientists and astronauts have some brilliant plan to stop the problem . 	the repeating cycle is as follows - the president ( morgan freeman ) will go on tv and tell the country that there's a remote chance a comet will strike the earth , but that the nation's crack scientists and astronauts have some brilliant plan to stop the problem .	1	-2	 the[0] repeating[0] cycle[0] is[0] as[0] follows[0] the[0] president[0] morgan[0] freeman[0] will[0] go[0] on[0] tv[0] and[0] tell[0] the[0] country[0] that[0] there's[0] a[0] remote[0] chance[0] a[0] comet[0] will[0] strike[-1] the[0] earth[0] but[0] that[0] the[0] nation's[0] crack[0] scientists[0] and[0] astronauts[0] have[0] some[0] brilliant[1][-1 LastWordBoosterStrength] plan[0] to[0] stop[0] the[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then we get to see the plan in action , in some sequence utterly lacking suspense . 	then we get to see the plan in action , in some sequence utterly lacking suspense .	1	-1	 then[0] we[0] get[0] to[0] see[0] the[0] plan[0] in[0] action[0] in[0] some[0] sequence[0] utterly[0] lacking[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mission will barely fail , and freeman will tell the country that the comet is still headed toward earth , and there's a remote chance it will strike , but that the nation's crack scientists and astronauts have some brilliant plan to stop the problem . 	the mission will barely fail , and freeman will tell the country that the comet is still headed toward earth , and there's a remote chance it will strike , but that the nation's crack scientists and astronauts have some brilliant plan to stop the problem .	1	-3	 the[0] mission[0] will[0] barely[0] fail[-2] and[0] freeman[0] will[0] tell[0] the[0] country[0] that[0] the[0] comet[0] is[0] still[0] headed[0] toward[0] earth[0] and[0] there's[0] a[0] remote[0] chance[0] it[0] will[0] strike[-1] but[0] that[0] the[0] nation's[0] crack[0] scientists[0] and[0] astronauts[0] have[0] some[0] brilliant[1][-1 LastWordBoosterStrength] plan[0] to[0] stop[0] the[0] problem[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it goes on and on throughout the movie , but every time freeman goes on tv , we know his plan is going to fail . 	it goes on and on throughout the movie , but every time freeman goes on tv , we know his plan is going to fail .	1	-3	 it[0] goes[0] on[0] and[0] on[0] throughout[0] the[0] movie[0] but[0] every[0] time[0] freeman[0] goes[0] on[0] tv[0] we[0] know[0] his[0] plan[0] is[0] going[0] to[0] fail[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how do we know this ? 	how do we know this ?	1	-1	 how[0] do[0] we[0] know[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because we've seen the tv ads for deep impact , ads that feature freeman telling the nation that " the comet is still headed right for us " and show disaster shots of the comet striking earth and the giant tidal wave spreading . 	because we've seen the tv ads for deep impact , ads that feature freeman telling the nation that " the comet is still headed right for us " and show disaster shots of the comet striking earth and the giant tidal wave spreading .	1	-2	 because[0] we've[0] seen[0] the[0] tv[0] ads[0] for[0] deep[0] impact[0] ads[0] that[0] feature[0] freeman[0] telling[0] the[0] nation[0] that[0] the[0] comet[0] is[0] still[0] headed[0] right[0] for[0] us[0] and[0] show[0] disaster[-1] shots[0] of[0] the[0] comet[0] striking[0] earth[0] and[0] the[0] giant[0] tidal[0] wave[0] spreading[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ladies and gentlemen , that is the movie . 	ladies and gentlemen , that is the movie .	1	-1	 ladies[0] and[0] gentlemen[0] that[0] is[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
successful disaster movies have the main disaster toward the beginning and more little disasters that follow , but deep impact saves its one disaster for the end and discloses all in its 30-second tv spots . 	successful disaster movies have the main disaster toward the beginning and more little disasters that follow , but deep impact saves its one disaster for the end and discloses all in its 30-second tv spots .	3	-2	 successful[2] disaster[-1] movies[0] have[0] the[0] main[0] disaster[-1] toward[0] the[0] beginning[0] and[0] more[0] little[0] disasters[-1] that[0] follow[0] but[0] deep[0] impact[0] saves[1] its[0] one[0] disaster[-1] for[0] the[0] end[0] and[0] discloses[0] all[0] in[0] its[0] 30[0] second[0] tv[0] spots[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
television is what's wrong with deep impact . 	television is what's wrong with deep impact .	1	-2	 television[0] is[0] what's[0] wrong[-1] with[0] deep[0] impact[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main character , played by tea leoni , is a low-level broadcast journalist for msnbc ( and that's the mere tip of the product-placement iceberg ) who stumbles upon a huge government conspiracy . 	the main character , played by tea leoni , is a low-level broadcast journalist for msnbc ( and that's the mere tip of the product-placement iceberg ) who stumbles upon a huge government conspiracy .	1	-2	 the[0] main[0] character[0] played[0] by[0] tea[0] leoni[0] is[0] a[0] low[-1] level[0] broadcast[0] journalist[0] for[0] msnbc[0] and[0] that's[0] the[0] mere[0] tip[0] of[0] the[0] product[0] placement[0] iceberg[0] who[0] stumbles[0] upon[0] a[0] huge[0] government[0] conspiracy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she thinks it's an instance of an ex-secretary of something or other ( james cromwell ) resigning because of a mistress , and that maybe he took the fall for the president in the same area . 	she thinks it's an instance of an ex-secretary of something or other ( james cromwell ) resigning because of a mistress , and that maybe he took the fall for the president in the same area .	1	-2	 she[0] thinks[0] it's[0] an[0] instance[0] of[0] an[0] ex[0] secretary[0] of[0] something[0] or[0] other[0] james[0] cromwell[0] resigning[-1] because[0] of[0] a[0] mistress[0] and[0] that[0] maybe[0] he[0] took[0] the[0] fall[0] for[0] the[0] president[0] in[0] the[0] same[0] area[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when she goes nosing around cromwell , he begs her to keep it under wraps . 	when she goes nosing around cromwell , he begs her to keep it under wraps .	1	-1	 when[0] she[0] goes[0] nosing[0] around[0] cromwell[0] he[0] begs[0] her[0] to[0] keep[0] it[0] under[0] wraps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i know you're just a reporter , but you used to be a human being . " 	 " i know you're just a reporter , but you used to be a human being .<br> "	1	-1	 i[0] know[0] you're[0] just[0] a[0] reporter[0] but[0] you[0] used[0] to[0] be[0] a[0] human[0] being[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she figures out what's really going on after getting roughed up by some fbi men and doing an internet search , where all good journalists learn the difference between a mistress and an extinction- level comet . 	she figures out what's really going on after getting roughed up by some fbi men and doing an internet search , where all good journalists learn the difference between a mistress and an extinction- level comet .	2	-2	 she[0] figures[0] out[0] what's[0] really[0] going[0] on[0] after[0] getting[0] roughed[-1] up[0] by[0] some[0] fbi[0] men[0] and[0] doing[0] an[0] internet[0] search[0] where[0] all[0] good[1] journalists[0] learn[0] the[0] difference[0] between[0] a[0] mistress[0] and[0] an[0] extinction[0] level[0] comet[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
upon a top-secret meeting with president freeman , leoni agrees to keep the story under wraps until the president can hold a press conference , at which she gets to ask the first question . 	upon a top-secret meeting with president freeman , leoni agrees to keep the story under wraps until the president can hold a press conference , at which she gets to ask the first question .	1	-1	 upon[0] a[0] top[0] secret[0] meeting[0] with[0] president[0] freeman[0] leoni[0] agrees[0] to[0] keep[0] the[0] story[0] under[0] wraps[0] until[0] the[0] president[0] can[0] hold[0] a[0] press[0] conference[0] at[0] which[0] she[0] gets[0] to[0] ask[0] the[0] first[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and everyone knows , if you get to ask the first question , baby you're a star . 	and everyone knows , if you get to ask the first question , baby you're a star .	2	-1	 and[0] everyone[0] knows[0] if[0] you[0] get[0] to[0] ask[0] the[0] first[0] question[0] baby[1] you're[0] a[0] star[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
leoni ends up in the anchor chair , broadcasting every step of the comet's collision course with earth . 	leoni ends up in the anchor chair , broadcasting every step of the comet's collision course with earth .	1	-2	 leoni[0] ends[0] up[0] in[0] the[0] anchor[0] chair[0] broadcasting[0] every[0] step[0] of[0] the[0] comet's[0] collision[-1] course[0] with[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and i'm sure it's comforting for her to know that , even though the world's ending in a matter of months , she's a cable news personality . 	and i'm sure it's comforting for her to know that , even though the world's ending in a matter of months , she's a cable news personality .	2	-1	 and[0] i'm[0] sure[0] it's[0] comforting[1] for[0] her[0] to[0] know[0] that[0] even[0] though[0] the[0] world's[0] ending[0] in[0] a[0] matter[0] of[0] months[0] she's[0] a[0] cable[0] news[0] personality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so there she is , narrating the six-astronaut mission to blow the comet up . 	so there she is , narrating the six-astronaut mission to blow the comet up .	1	-1	 so[0] there[0] she[0] is[0] narrating[0] the[0] six[0] astronaut[0] mission[0] to[0] blow[0] the[0] comet[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such personalities as robert duvall , jon favreau and blair underwood cash their paychecks and go through the motions of this dragged-out process . 	such personalities as robert duvall , jon favreau and blair underwood cash their paychecks and go through the motions of this dragged-out process .	1	-1	 such[0] personalities[0] as[0] robert[0] duvall[0] jon[0] favreau[0] and[0] blair[0] underwood[0] cash[0] their[0] paychecks[0] and[0] go[0] through[0] the[0] motions[0] of[0] this[0] dragged[0] out[0] process[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but as anyone who's seen the commercials knows , the astronauts fail . 	but as anyone who's seen the commercials knows , the astronauts fail .	1	-3	 but[0] as[0] anyone[0] who's[0] seen[0] the[0] commercials[0] knows[0] the[0] astronauts[0] fail[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they only end up breaking the comet into two pieces , which means even more destruction to the earth . 	they only end up breaking the comet into two pieces , which means even more destruction to the earth .	1	-2	 they[0] only[0] end[0] up[0] breaking[0] the[0] comet[0] into[0] two[0] pieces[0] which[0] means[0] even[0] more[0] destruction[-1] to[0] the[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yeah , thanks , nasa . 	yeah , thanks , nasa .	2	-1	 yeah[0] thanks[1] nasa[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's when freeman has to come on tv for the last time and say goodbye to all the people who aren't picked to live in the missouri cave site for two years . 	that's when freeman has to come on tv for the last time and say goodbye to all the people who aren't picked to live in the missouri cave site for two years .	1	-1	 that's[0] when[0] freeman[0] has[0] to[0] come[0] on[0] tv[0] for[0] the[0] last[0] time[0] and[0] say[0] goodbye[0] to[0] all[0] the[0] people[0] who[0] aren't[0] picked[0] to[0] live[0] in[0] the[0] missouri[0] cave[0] site[0] for[0] two[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they even have animals , two by two , ready to climb into the cave . 	they even have animals , two by two , ready to climb into the cave .	1	-1	 they[0] even[0] have[0] animals[0] two[0] by[0] two[0] ready[0] to[0] climb[0] into[0] the[0] cave[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the focus had been on people living inside these caves after the world had been destroyed , deep impact could have been a far more interesting movie . 	if the focus had been on people living inside these caves after the world had been destroyed , deep impact could have been a far more interesting movie .	2	-3	 if[0] the[0] focus[0] had[0] been[0] on[0] people[0] living[0] inside[0] these[0] caves[0] after[0] the[0] world[0] had[0] been[0] destroyed[-2] deep[0] impact[0] could[0] have[0] been[0] a[0] far[0] more[0] interesting[1] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
instead we watch as a lovestruck elijah wood defies all odds to chase down his young wife , while people pack the highways out of town . 	instead we watch as a lovestruck elijah wood defies all odds to chase down his young wife , while people pack the highways out of town .	1	-2	 instead[0] we[0] watch[0] as[0] a[0] lovestruck[0] elijah[0] wood[0] defies[0] all[0] odds[0] to[0] chase[-1] down[0] his[0] young[0] wife[0] while[0] people[0] pack[0] the[0] highways[0] out[0] of[0] town[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the reasoning is , of course , that if a comet is going to strike , they might as well be out in some scenic rural location . 	the reasoning is , of course , that if a comet is going to strike , they might as well be out in some scenic rural location .	1	-2	 the[0] reasoning[0] is[0] of[0] course[0] that[0] if[0] a[0] comet[0] is[0] going[0] to[0] strike[-1] they[0] might[0] as[0] well[0] be[0] out[0] in[0] some[0] scenic[0] rural[0] location[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and , amusingly , the highway is spotted with people in u-haul trucks . 	and , amusingly , the highway is spotted with people in you-haul trucks .	2	-1	 and[0] amusingly[1] the[0] highway[0] is[0] spotted[0] with[0] people[0] in[0] u[0] haul[0] trucks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm sure it's comforting to know that , even though the world's ending in a matter of minutes , the u-haul people are doing the most business of their lives . 	i'm sure it's comforting to know that , even though the world's ending in a matter of minutes , the you-haul people are doing the most business of their lives .	2	-1	 i'm[0] sure[0] it's[0] comforting[1] to[0] know[0] that[0] even[0] though[0] the[0] world's[0] ending[0] in[0] a[0] matter[0] of[0] minutes[0] the[0] u[0] haul[0] people[0] are[0] doing[0] the[0] most[0] business[0] of[0] their[0] lives[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
