seen december 2 , 1997 at 6 : 50 p . m . at the glenwood movieplex cinemas ( oneida , ny ) , theater #3 , by myself for free ( free pass ) . 	Translation	Positive	Negative	EmotionRationale
[theater rating : * * * : good seats , sound , and picture] 	[theater rating : * * * : good seats , sound , and picture]	2	-1	 [theater[0] rating[0] good[1] seats[0] sound[0] and[0] picture][0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are many philosophies as to why we are so fascinated with cartoons . 	there are many philosophies as to why we are so fascinated with cartoons .	1	-1	 there[0] are[0] many[0] philosophies[0] as[0] to[0] why[0] we[0] are[0] so[0] fascinated[0] with[0] cartoons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they provide a method of total escapism in which anything will work within their context , from the outrageous slapstick of looney tunes to the intensity of japanimation . 	they provide a method of total escapism in which anything will work within their context , from the outrageous slapstick of looney tunes to the intensity of japanimation .	1	-3	 they[0] provide[0] a[0] method[0] of[0] total[0] escapism[0] in[0] which[0] anything[0] will[0] work[0] within[0] their[0] context[0] from[0] the[0] outrageous[-2] slapstick[-1] of[0] looney[0] tunes[0] to[0] the[0] intensity[0] of[0] japanimation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
watching " flubber " really clinched this idea for me , because it's just a live action cartoon that presents itself as a regular comedy . 	watching " flubber " really clinched this idea for me , because it's just a live action cartoon that presents itself as a regular comedy .	1	-1	 watching[0] flubber[0] really[0] clinched[0] this[0] idea[0] for[0] me[0] because[0] it's[0] just[0] a[0] live[0] action[0] cartoon[0] that[0] presents[0] itself[0] as[0] a[0] regular[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it proves how painfully unfunny all those gags and slapstick would be in reality , and how important it is to actually have a story . 	it proves how painfully unfunny all those gags and slapstick would be in reality , and how important it is to actually have a story .	1	-4	 it[0] proves[0] how[0] painfully[-3] unfunny[0] all[0] those[0] gags[0] and[0] slapstick[-1] would[0] be[0] in[0] reality[0] and[0] how[0] important[0] it[0] is[0] to[0] actually[0] have[0] a[0] story[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film wastes no time in establishing its lighthearted , cartoony atmosphere . 	the film wastes no time in establishing its lighthearted , cartoony atmosphere .	1	-2	 the[0] film[0] wastes[-1] no[0] time[0] in[0] establishing[0] its[0] lighthearted[0] cartoony[0] atmosphere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we meet medfield college chemistry professor phillip brainard ( williams ) , the typical , supposedly likable mad scientist . 	we meet medfield college chemistry professor phillip brainard ( williams ) , the typical , supposedly likable mad scientist .	1	-2	 we[0] meet[0] medfield[0] college[0] chemistry[0] professor[0] phillip[0] brainard[0] williams[0] the[0] typical[0] supposedly[0] likable[0] mad[-1] scientist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
within the first 10 minutes we get at least a half dozen jokes about how forgetful he is . 	within the first 10 minutes we get at least a half dozen jokes about how forgetful he is .	2	-1	 within[0] the[0] first[0] 10[0] minutes[0] we[0] get[0] at[0] least[0] a[0] half[0] dozen[0] jokes[1] about[0] how[0] forgetful[0] he[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
phillip's memory loss seems less like a cartoony gag and more like a real case of alzhiemer's disease - isn't this rather lowbrow comedy ? 	phillip's memory loss seems less like a cartoony gag and more like a real case of alzhiemer's disease - isn't this rather lowbrow comedy ?	2	-3	 phillip's[0] memory[0] loss[-2] seems[0] less[0] like[1] a[0] cartoony[0] gag[0] and[0] more[0] like[1] a[0] real[0] case[0] of[0] alzhiemer's[0] disease[-2] isn't[0] this[0] rather[0] lowbrow[-1] comedy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he starts teaching chemistry after walking in on a nude figure drawing class ( an inappropriate joke for a kids' movie if i ever saw one ) . 	he starts teaching chemistry after walking in on a nude figure drawing class ( an inappropriate joke for a kids' movie if i ever saw one ) .	2	-1	 he[0] starts[0] teaching[0] chemistry[0] after[0] walking[0] in[0] on[0] a[0] nude[0] figure[0] drawing[0] class[0] an[0] inappropriate[0] joke[1] for[0] a[0] kids'[0] movie[0] if[0] i[0] ever[0] saw[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
