the most interesting thing about virus is that the title of the film does not refer to the clunky robotic animals that try to kill our heroes . 	Translation	Positive	Negative	EmotionRationale
alas , it refers to our heroes ! 	alas , it refers to our heroes !	3	-2	 alas[-1] it[0] refers[0] to[0] our[0] heroes[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as it turns out , the alien race that sends a computer virus to earth ( via the mir space station ) thinks of the human race as a virus -- perhaps even a cancer -- that needs to be eradicated before it spreads any further . 	as it turns out , the alien race that sends a computer virus to earth ( via the mir space station ) thinks of the human race as a virus - perhaps even a cancer - that needs to be eradicated before it spreads any further .	1	-4	 as[0] it[0] turns[0] out[0] the[0] alien[-1] race[0] that[0] sends[0] a[0] computer[0] virus[0] to[0] earth[0] via[0] the[0] mir[0] space[0] station[0] thinks[0] of[0] the[0] human[0] race[0] as[0] a[0] virus[0] perhaps[0] even[0] a[0] cancer[-3] that[0] needs[0] to[0] be[0] eradicated[0] before[0] it[0] spreads[0] any[0] further[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after all , we have taken up this entire planet , and if they let us live for another billion years or so , we might advance beyond our solar system and into the next one . 	after all , we have taken up this entire planet , and if they let us live for another billion years or so , we might advance beyond our solar system and into the next one .	1	-1	 after[0] all[0] we[0] have[0] taken[0] up[0] this[0] entire[0] planet[0] and[0] if[0] they[0] let[0] us[0] live[0] for[0] another[0] billion[0] years[0] or[0] so[0] we[0] might[0] advance[0] beyond[0] our[0] solar[0] system[0] and[0] into[0] the[0] next[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the human race doesn't have much to worry about . 	but the human race doesn't have much to worry about .	1	-4	 but[0] the[0] human[0] race[0] doesn't[0] have[0] much[0] to[0] worry[-3] about[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after all , there's a woman named foster ( jamie lee curtis ) out there stopping the computer virus . 	after all , there's a woman named foster ( jamie lee curtis ) out there stopping the computer virus .	1	-1	 after[0] all[0] there's[0] a[0] woman[0] named[0] foster[0] jamie[0] lee[0] curtis[0] out[0] there[0] stopping[0] the[0] computer[0] virus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's the chief navigator on a sea vessel ; travelling with her is captain everton ( donald sutherland ) , steve baker ( william baldwin ) , woods ( marshall bell ) , squeaky ( julio oscar mechoso ) , and richie ( sherman augustus ) . 	she's the chief navigator on a sea vessel ; travelling with her is captain everton ( donald sutherland ) , steve baker ( william baldwin ) , woods ( marshal bell ) , squeaky ( julio oscar mechoso ) , and richie ( sherman augustus ) .	1	-1	 she's[0] the[0] chief[0] navigator[0] on[0] a[0] sea[0] vessel[0] travelling[0] with[0] her[0] is[0] captain[0] everton[0] donald[0] sutherland[0] steve[0] baker[0] william[0] baldwin[0] woods[0] marshall/marshal[0] bell[0] squeaky[0] julio[0] oscar[0] mechoso[0] and[0] richie[0] sherman[0] augustus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're all sailing in a typhoon one lovely evening when they stumble across an enormous , abandoned russian satellite ship in international waters . 	they're all sailing in a typhoon one lovely evening when they stumble across an enormous , abandoned russian satellite ship in international waters .	2	-2	 they're[0] all[0] sailing[0] in[0] a[0] typhoon[0] one[0] lovely[1] evening[0] when[0] they[0] stumble[0] across[0] an[0] enormous[0] abandoned[-1] russian[0] satellite[0] ship[0] in[0] international[0] waters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lucky for us , we already saw that the computer virus has taken over the ship and eliminated everyone on board . 	lucky for us , we already saw that the computer virus has taken over the ship and eliminated everyone on board .	2	-1	 lucky[1] for[0] us[0] we[0] already[0] saw[0] that[0] the[0] computer[0] virus[0] has[0] taken[0] over[0] the[0] ship[0] and[0] eliminated[0] everyone[0] on[0] board[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the evil captain everton thinks he's going to take the ship in and get a reward ; he convinces his crew that there's going to be big money , so they try to salvage the ship . 	the evil captain everton thinks he's going to take the ship in and get a reward ; he convinces his crew that there's going to be big money , so they try to salvage the ship .	2	-3	 the[0] evil[-2] captain[0] everton[0] thinks[0] he's[0] going[0] to[0] take[0] the[0] ship[0] in[0] and[0] get[0] a[0] reward[1] he[0] convinces[0] his[0] crew[0] that[0] there's[0] going[0] to[0] be[0] big[0] money[0] so[0] they[0] try[0] to[0] salvage[0] the[0] ship[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
soon , however , when it's apparent that no one is on board and that the ship has no power , they realize that something bad must have happened . 	soon , however , when it's apparent that no one is on board and that the ship has no power , they realize that something bad must have happened .	1	-2	 soon[0] however[0] when[0] it's[0] apparent[0] that[0] no[0] one[0] is[0] on[0] board[0] and[0] that[0] the[0] ship[0] has[0] no[0] power[0] they[0] realize[0] that[0] something[0] bad[-1] must[0] have[0] happened[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
