one of the 90s' most unwelcome thriller trends returns from the grave : it's the " ___ from hell " movie ! 	Translation	Positive	Negative	EmotionRationale
starting in the early nineties , we were subjected to nearly every conceivable combination of relationships-from-hell ! 	starting in the early nineties , we were subjected to nearly every conceivable combination of relationships-from-hell !	1	-2	 starting[0] in[0] the[0] early[0] nineties[0] we[0] were[0] subjected[0] to[0] nearly[0] every[0] conceivable[0] combination[0] of[0] relationships[0] from[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there were boyfriends from hell , friendly neighborhood cops from hell , nannies from hell , and even secretaries from hell . 	there were boyfriends from hell , friendly neighborhood cops from hell , nannies from hell , and even secretaries from hell .	2	-2	 there[0] were[0] boyfriends[0] from[0] hell[-1] friendly[1] neighborhood[0] cops[0] from[0] hell[-1] nannies[0] from[0] hell[-1] and[0] even[0] secretaries[0] from[0] hell[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but hush has found an old standby that somehow was forgotten in the rush : the mother-in-law from hell ! ! ! ! ! 	but hush has found an old standby that somehow was forgotten in the rush : the mother-in-law from hell !<br> !<br> !<br> !<br> !	1	-2	 but[0] hush[0] has[0] found[0] an[0] old[0] standby[0] that[0] somehow[0] was[0] forgotten[0] in[0] the[0] rush[0] the[0] mother[0] in[0] law[0] from[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the mother-in-law in question is martha , played by jessica lange . 	the mother-in-law in question is martha , played by jessica lange .	1	-1	 the[0] mother[0] in[0] law[0] in[0] question[0] is[0] martha[0] played[0] by[0] jessica[0] lange[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has been single-handedly running the family horse farm , kilronan . 	she has been single-handedly running the family horse farm , kilronan .	1	-1	 she[0] has[0] been[0] single[0] handedly[0] running[0] the[0] family[0] horse[0] farm[0] kilronan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her son , jackson ( johnathon schaech ) and his girlfriend , helen ( gwyneth paltrow ) , live in new york , and have no intention to move back down south to the rural kilronan . 	her son , jackson ( johnathon schaech ) and his girlfriend , helen ( gwyneth paltrow ) , live in new york , and have no intention to move back down south to the rural kilronan .	1	-1	 her[0] son[0] jackson[0] johnathon[0] schaech[0] and[0] his[0] girlfriend[0] helen[0] gwyneth[0] paltrow[0] live[0] in[0] new[0] york[0] and[0] have[0] no[0] intention[0] to[0] move[0] back[0] down[0] south[0] to[0] the[0] rural[0] kilronan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but those intentions are about to change . 	but those intentions are about to change .	1	-1	 but[0] those[0] intentions[0] are[0] about[0] to[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you see , martha lives by manipulation . 	you see , martha lives by manipulation .	1	-2	 you[0] see[0] martha[0] lives[0] by[0] manipulation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she has used it in years past to breed many championship horses . 	she has used it in years past to breed many championship horses .	1	-1	 she[0] has[0] used[0] it[0] in[0] years[0] past[0] to[0] breed[0] many[0] championship[0] horses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , she believes she can use it to breed herself a grandson . 	now , she believes she can use it to breed herself a grandson .	1	-1	 now[0] she[0] believes[0] she[0] can[0] use[0] it[0] to[0] breed[0] herself[0] a[0] grandson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though at first , helen finds martha charming , soon she is caught in the domineering martha's web of deception . 	though at first , helen finds martha charming , soon she is caught in the domineering martha's web of deception .	2	-2	 though[0] at[0] first[0] helen[0] finds[0] martha[0] charming[1] soon[0] she[0] is[0] caught[0] in[0] the[0] domineering[0] martha's[0] web[0] of[0] deception[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's hard to understand why nobody ever wises up to martha' schemes . 	it's hard to understand why nobody ever wises up to martha' schemes .	1	-1	 it's[0] hard[0] to[0] understand[0] why[0] nobody[0] ever[0] wises[0] up[0] to[0] martha'[0] schemes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as written , most of the characters in the film must be very slow witted . 	as written , most of the characters in the film must be very slow witted .	1	-1	 as[0] written[0] most[0] of[0] the[0] characters[0] in[0] the[0] film[0] must[0] be[0] very[0] slow[0] witted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but then , the film even treats the audience like idiots . 	but then , the film even treats the audience like idiots .	2	-3	 but[0] then[0] the[0] film[0] even[0] treats[0] the[0] audience[0] like[1] idiots[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it tries to get away with things ( like leaving a critical piece of evidence in a rather unlikely place ) without even batting an eye . 	it tries to get away with things ( like leaving a critical piece of evidence in a rather unlikely place ) without even batting an eye .	2	-2	 it[0] tries[0] to[0] get[0] away[0] with[0] things[0] like[1] leaving[0] a[0] critical[-1] piece[0] of[0] evidence[0] in[0] a[0] rather[0] unlikely[0] place[0] without[0] even[0] batting[0] an[0] eye[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then again an audience which accepts characters as shallow as these isn't one that's likely to question details . 	then again an audience which accepts characters as shallow as these isn't one that's likely to question details .	1	-2	 then[0] again[0] an[0] audience[0] which[0] accepts[0] characters[0] as[0] shallow[-1] as[0] these[0] isn't[0] one[0] that's[0] likely[0] to[0] question[0] details[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jessica lange's martha is the only semi-developed character in the film , and she applies her talents to redeem it as much as she can . 	jessica lange's martha is the only semi-developed character in the film , and she applies her talents to redeem it as much as she can .	2	-1	 jessica[0] lange's[0] martha[0] is[0] the[0] only[0] semi[0] developed[0] character[0] in[0] the[0] film[0] and[0] she[0] applies[0] her[0] talents[1] to[0] redeem[0] it[0] as[0] much[0] as[0] she[0] can[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a character that could have been simply awful is merely groan-worthy . 	a character that could have been simply awful is merely groan-worthy .	1	-4	 a[0] character[0] that[0] could[0] have[0] been[0] simply[0] awful[-3] is[0] merely[0] groan[0] worthy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
gwyneth paltrow doesn't have much to build upon , as helen's only character trait seems to be " daughter-in-law " . 	gwyneth paltrow doesn't have much to build upon , as helen's only character trait seems to be " daughter-in-law " .	1	-1	 gwyneth[0] paltrow[0] doesn't[0] have[0] much[0] to[0] build[0] upon[0] as[0] helen's[0] only[0] character[0] trait[0] seems[0] to[0] be[0] daughter[0] in[0] law[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
