synopsis : the president of a company wants to test his self-appointed successor , who's psychotic , and thinks it's a great idea to spend a week with him and their wives in an isolated cabin a hundred miles from civilization with no dependable transportation or means of communication after a heavy snowfall . 	Translation	Positive	Negative	EmotionRationale
comments : tracks of a killer had a couple of strikes against it before i even began watching it . 	comments : tracks of a killer had a couple of strikes against it before i even began watching it .	1	-2	 comments[0] tracks[0] of[0] a[0] killer[-1] had[0] a[0] couple[0] of[0] strikes[0] against[-1] it[0] before[0] i[0] even[0] began[0] watching[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
strike one was the fact that someone had scrawled the word garbage on the videotape's sticker in black marker ( not typically a good sign when you rent a film ) . 	strike one was the fact that someone had scrawled the word garbage on the videotape's sticker in black marker ( not typically a good sign when you rent a film ) .	2	-3	 strike[-1] one[0] was[0] the[0] fact[0] that[0] someone[0] had[0] scrawled[0] the[0] word[0] garbage[-2] on[0] the[0] videotape's[0] sticker[0] in[0] black[0] marker[0] not[0] typically[0] a[0] good[1] sign[0] when[0] you[0] rent[0] a[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
strike two came while the previews played . 	strike two came while the previews played .	1	-2	 strike[-1] two[0] came[0] while[0] the[0] previews[0] played[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
did you ever get a sinking premonition about a movie's quality ( or lack thereof ) while watching the trailers that come before it ? 	did you ever get a sinking premonition about a movie's quality ( or lack thereof ) while watching the trailers that come before it ?	1	-2	 did[0] you[0] ever[0] get[0] a[0] sinking[0] premonition[0] about[0] a[0] movie's[0] quality[0] or[0] lack[-1] thereof[0] while[0] watching[0] the[0] trailers[0] that[0] come[0] before[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , the cheesy films being advertised before tracks of a killer were films that no one has ever heard of starring people no one knows , and they all looked bad ( definately not a good sign ) . 	well , the cheesy films being advertised before tracks of a killer were films that no one has ever heard of starring people no one knows , and they all looked bad ( definately not a good sign ) .	1	-2	 well[0] the[0] cheesy[0] films[0] being[0] advertised[0] before[0] tracks[0] of[0] a[0] killer[-1] were[0] films[0] that[0] no[0] one[0] has[0] ever[0] heard[0] of[0] starring[0] people[0] no[0] one[0] knows[0] and[0] they[0] all[0] looked[0] bad[-1] definately[0] not[0] a[0] good[1][NegatedDueToPreviousWord] sign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tracks of a killer itself completed the strikeout . 	tracks of a killer itself completed the strikeout .	1	-2	 tracks[0] of[0] a[0] killer[-1] itself[0] completed[0] the[0] strikeout[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
about the only positive thing this film had going for it was the fact that it sports some nice scenery . 	about the only positive thing this film had going for it was the fact that it sports some nice scenery .	3	-1	 about[0] the[0] only[0] positive[2] thing[0] this[0] film[0] had[0] going[0] for[0] it[0] was[0] the[0] fact[0] that[0] it[0] sports[0] some[0] nice[1][-1 LastWordBoosterStrength] scenery[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to be fair , the first half-hour or so promises at least a watchable thriller . 	to be fair , the first half-hour or so promises at least a watchable thriller .	2	-1	 to[0] be[0] fair[0] the[0] first[0] half[0] hour[0] or[0] so[0] promises[1] at[0] least[0] a[0] watchable[0] thriller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wolf larson , who bears more than a passing resemblance to hugh grant , adequately plays the underling obviously set up as the killer of the film's title . 	wolf larson , who bears more than a passing resemblance to hugh grant , adequately plays the underling obviously set up as the killer of the film's title .	2	-2	 wolf[0] larson[0] who[0] bears[0] more[0] than[0] a[0] passing[0] resemblance[0] to[0] hugh[0] grant[0] adequately[0] plays[1] the[0] underling[0] obviously[0] set[0] up[0] as[0] the[0] killer[-1] of[0] the[0] film's[0] title[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
james brolin and kelly lebrock seem equally adequate as the loving couple larson will later threaten . 	james brolin and kelly lebrock seem equally adequate as the loving couple larson will later threaten .	4	-3	 james[0] brolin[0] and[0] kelly[0] lebrock[0] seem[0] equally[0] adequate[0] as[0] the[0] loving[3] couple[0] larson[0] will[0] later[0] threaten[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
