about an hour or so into " the jackal , " a character wandered around as people were being shot at in a big suspense sequence , and one of the audience members in the theatre i saw it in shouted out " i hope she gets killed now ! " 	Translation	Positive	Negative	EmotionRationale
at that point it hit me : i didn't care for any of the characters being played by actors i didn't really like . 	at that point it hit me : i didn't care for any of the characters being played by actors i didn't really like .	3	-1	 at[0] that[0] point[0] it[0] hit[0] me[0] i[0] didn't[0] care[1] for[0] any[0] of[0] the[0] characters[0] being[0] played[0] by[0] actors[0] i[0] didn't[0] really[0] like[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when the sole reason you care about a character being played by sidney poitier in a suspense film is because he's being played by sidney poitier , you know something's rotten in the state of denmark . 	when the sole reason you care about a character being played by sidney poitier in a suspense film is because he's being played by sidney poitier , you know something's rotten in the state of denmark .	2	-3	 when[0] the[0] sole[0] reason[0] you[0] care[1] about[0] a[0] character[0] being[0] played[0] by[0] sidney[0] poitier[0] in[0] a[0] suspense[0] film[0] is[0] because[0] he's[0] being[0] played[0] by[0] sidney[0] poitier[0] you[0] know[0] something's[0] rotten[-2] in[0] the[0] state[0] of[0] denmark[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
every year , a couple films like this are released . 	every year , a couple films like this are released .	2	-1	 every[0] year[0] a[0] couple[0] films[0] like[1] this[0] are[0] released[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you know : the cheap , action packed international espionnage film , featuring a semi-promising premise , some big-name actors ( usually bruce willis ) , and the hopes that some audience members will forget the cold war ended several years ago . 	you know : the cheap , action packed international espionage film , featuring a semi-promising premise , some big-name actors ( usually bruce willis ) , and the hopes that some audience members will forget the cold war ended several years ago .	2	-3	 you[0] know[0] the[0] cheap[-1] action[0] packed[0] international[0] espionnage/espionage[0] film[0] featuring[0] a[0] semi[0] promising[1] premise[0] some[0] big[0] name[0] actors[0] usually[0] bruce[0] willis[0] and[0] the[0] hopes[1] that[0] some[0] audience[0] members[0] will[0] forget[0] the[0] cold[-1] war[-2] ended[0] several[0] years[0] ago[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this was the third one of '97 , following the very lackluster " the saint , " which featured an amoral costume changing bond wannabe ; and the surprisingly fun " the peacemaker , " featuring clooney and kidman trying to stop an almost untraceable villain . 	this was the third one of '97 , following the very lackluster " the saint , " which featured an amoral costume changing bond wannabe ; and the surprisingly fun " the peacemaker , " featuring clooney and kidman trying to stop an almost untraceable villain .	2	-3	 this[0] was[0] the[0] third[0] one[0] of[0] '97[0] following[0] the[0] very[0] lackluster[0] the[0] saint[0] which[0] featured[0] an[0] amoral[-2] costume[0] changing[0] bond[0] wannabe[0] and[0] the[0] surprisingly[0] fun[1] the[0] peacemaker[0] featuring[0] clooney[0] and[0] kidman[0] trying[0] to[0] stop[0] an[0] almost[0] untraceable[0] villain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the jackal " tries to mix both elements . 	 " the jackal " tries to mix both elements .	1	-1	 the[0] jackal[0] tries[0] to[0] mix[0] both[0] elements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and you thought " the saint " was bad . 	and you thought " the saint " was bad .	1	-2	 and[0] you[0] thought[0] the[0] saint[0] was[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " the jackal " is loosely ( very loosely , i hope ) based on the 1973 fred zimmerman classic that i've yet to see , " the day of the jackal , " which featured ( apparently ) a suave hitman called the jackal , played by edward fox , trying to assasinate charles degaule . 	 " the jackal " is loosely ( very loosely , i hope ) based on the 1973 fred zimmerman classic that i've yet to see , " the day of the jackal , " which featured ( apparently ) a suave hitman called the jackal , played by edward fox , trying to assasinate charles degaule .	3	-1	 the[0] jackal[0] is[0] loosely[0] very[0] loosely[0] i[0] hope[2] based[0] on[0] the[0] 1973[0] fred[0] zimmerman[0] classic[0] that[0] i've[0] yet[0] to[0] see[0] the[0] day[0] of[0] the[0] jackal[0] which[0] featured[0] apparently[0] a[0] suave[0] hitman[0] called[0] the[0] jackal[0] played[0] by[0] edward[0] fox[0] trying[0] to[0] assasinate[0] charles[0] degaule[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well , welcome to the 90s , where a sorta suave hitman , also called the jackal ( bruce willis ) , trying to kill the head of the fbi . . . or 	well , welcome to the 90s , where a sorta suave hitman , also called the jackal ( bruce willis ) , trying to kill the head of the fbi .<br> .<br> .<br> or	2	-2	 well[0] welcome[1] to[0] the[0] 90s[0] where[0] a[0] sorta[0] suave[0] hitman[0] also[0] called[0] the[0] jackal[0] bruce[0] willis[0] trying[0] to[0] kill[-1] the[0] head[0] of[0] the[0] fbi[0] [[Sentence=-2,2=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
is he ? 	is he ?	1	-1	 is[0] he[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after being hired by a russian mob lord as a bit of vengeance for the murder of his brother ( killed in the opening scenes ) , the jackal romps all over the northen hemisphere , from helsinki to virginia , setting up an elaborate scheme wherein he'll be able to assasinate this person and still get away to live in seclusion . 	after being hired by a russian mob lord as a bit of vengeance for the murder of his brother ( killed in the opening scenes ) , the jackal romps all over the northen hemisphere , from helsinki to virginia , setting up an elaborate scheme wherein he'll be able to assasinate this person and still get away to live in seclusion .	1	-4	 after[0] being[0] hired[0] by[0] a[0] russian[0] mob[0] lord[0] as[0] a[0] bit[0] of[0] vengeance[-2] for[0] the[0] murder[-3] of[0] his[0] brother[0] killed[-3] in[0] the[0] opening[0] scenes[0] the[0] jackal[0] romps[0] all[0] over[0] the[0] northen[0] hemisphere[0] from[0] helsinki[0] to[0] virginia[0] setting[0] up[0] an[0] elaborate[0] scheme[0] wherein[0] he'll[0] be[0] able[0] to[0] assasinate[0] this[0] person[0] and[0] still[0] get[0] away[0] to[0] live[0] in[0] seclusion[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and like the saint , the jackal changes his look over and over and over again to elude people . 	and like the saint , the jackal changes his look over and over and over again to elude people .	2	-1	 and[0] like[1] the[0] saint[0] the[0] jackal[0] changes[0] his[0] look[0] over[0] and[0] over[0] and[0] over[0] again[0] to[0] elude[0] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the agent working on the case , cater preston ( sidney poitier - yes , that sidney poitier ) , working with a russian agent , valentina koslova ( diane venora - lady capulet from " romeo   juliet " ) , gives up early on and meets with an ex-ira man , declan mulqueen ( richard gere , putting up some tight competition between himself and brad pitt for worst fake irish accent of '97 ) who's in a massachusetts jail , but who has apparently seen the jackal , who has been eluding the law forever . 	the agent working on the case , cater preston ( sidney poitier - yes , that sidney poitier ) , working with a russian agent , valentina koslova ( diane venora - lady capulet from " romeo   juliet " ) , gives up early on and meets with an ex-ira man , declan mulqueen ( richard gere , putting up some tight competition between himself and brad pit for worst fake irish accent of '97 ) who's in a massachusetts jail , but who has apparently seen the jackal , who has been eluding the law forever .	1	-3	 the[0] agent[0] working[0] on[0] the[0] case[0] cater[0] preston[0] sidney[0] poitier[0] yes[0] that[0] sidney[0] poitier[0] working[0] with[0] a[0] russian[0] agent[0] valentina[0] koslova[0] diane[0] venora[0] lady[0] capulet[0] from[0] romeo[0] juliet[0] gives[0] up[0] early[0] on[0] and[0] meets[0] with[0] an[0] ex[0] ira[0] man[0] declan[0] mulqueen[0] richard[0] gere[0] putting[0] up[0] some[0] tight[0] competition[0] between[0] himself[0] and[0] brad[0] pitt/pit[0] for[0] worst[-2] fake[-1] irish[0] accent[0] of[0] '97[0] who's[0] in[0] a[0] massachusetts[0] jail[-1] but[0] who[0] has[0] apparently[0] seen[0] the[0] jackal[0] who[0] has[0] been[0] eluding[0] the[0] law[0] forever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
soon , he's out working with the two untrusting agents , and trying to help them catch him . 	soon , he's out working with the two untrusting agents , and trying to help them catch him .	1	-1	 soon[0] he's[0] out[0] working[0] with[0] the[0] two[0] untrusting[0] agents[0] and[0] trying[0] to[0] help[0] them[0] catch[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are numerous problems with the film , and which one is the biggest one is pretty impossible to put a finger on . 	there are numerous problems with the film , and which one is the biggest one is pretty impossible to put a finger on .	3	-2	 there[0] are[0] numerous[0] problems[-1] with[0] the[0] film[0] and[0] which[0] one[0] is[0] the[0] biggest[0] one[0] is[0] pretty[2] impossible[0] to[0] put[0] a[0] finger[0] on[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
