forget get carter . 	Translation	Positive	Negative	EmotionRationale
instead . . . 	instead .<br> .<br> .	1	-1	 instead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get me a cup of coffee . 	get me a cup of coffee .	1	-1	 get[0] me[0] a[0] cup[0] of[0] coffee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what the hell has happened to all good american action movies ? 	what the hell has happened to all good american action movies ?	2	-2	 what[0] the[0] hell[-1] has[0] happened[0] to[0] all[0] good[1] american[0] action[0] movies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
did i unknowingly miss a meeting somewhere ? 	did i unknowingly miss a meeting somewhere ?	2	-2	 did[0] i[0] unknowingly[0] miss[-1] a[0] meeting[0] somewhere[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
when did all of the bad-ass , kicking butt and taking names , gun-toting , crazed , vengeful characters of the 1980's -- from such films as commando , cobra , predator , raw deal , first blood -- suddenly turn into innocent , compassionate , sensitive , teary-eyed knuckleheads . 	when did all of the bad-ass , kicking butt and taking names , gun-toting , crazed , vengeful characters of the 1980's - from such films as commando , cobra , predator , raw deal , first blood - suddenly turn into innocent , compassionate , sensitive , teary-eyed knuckleheads .	2	-2	 when[0] did[0] all[0] of[0] the[0] bad[-1] ass[0] kicking[-1] butt[0] and[0] taking[0] names[0] gun[-1] toting[0] crazed[0] vengeful[0] characters[0] of[0] the[0] 1980's[0] from[0] such[0] films[0] as[0] commando[0] cobra[0] predator[0] raw[0] deal[0] first[0] blood[0] suddenly[0] turn[0] into[0] innocent[1] compassionate[1] sensitive[0] teary[0] eyed[0] knuckleheads[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only place to turn these days for an honest action film is towards the east -- and i don't mean new york city . 	the only place to turn these days for an honest action film is towards the east - and i don't mean new york city .	1	-1	 the[0] only[0] place[0] to[0] turn[0] these[0] days[0] for[0] an[0] honest[0] action[0] film[0] is[0] towards[0] the[0] east[0] and[0] i[0] don't[0] mean[0] new[0] york[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get carter -- the latest masterpiece from uber-thespian sylvester stallone -- is a prime example of large and in charge 80's action stars trying to fit back into action roles they have long since outgrown . 	get carter - the latest masterpiece from uber-thespian sylvester stallone - is a prime example of large and in charge 80's action stars trying to fit back into action roles they have long since outgrown .	1	-2	 get[0] carter[0] the[0] latest[0] masterpiece[0] from[0] uber[0] thespian[0] sylvester[0] stallone[0] is[0] a[0] prime[0] example[0] of[0] large[0] and[0] in[0] charge[-1] 80's[0] action[0] stars[0] trying[0] to[0] fit[0] back[0] into[0] action[0] roles[0] they[0] have[0] long[0] since[0] outgrown[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stallone seems like that one uncle you have who tries to be cool with his members only jacket and izod polo shirt with the collar popped up . 	stallone seems like that one uncle you have who tries to be cool with his members only jacket and izod polo shirt with the collar popped up .	2	-1	 stallone[0] seems[0] like[1] that[0] one[0] uncle[0] you[0] have[0] who[0] tries[0] to[0] be[0] cool[1] with[0] his[0] members[0] only[0] jacket[0] and[0] izod[0] polo[0] shirt[0] with[0] the[0] collar[0] popped[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a few years ago , stallone made a movie that gave him the opportunity to gracefully exit the roles that typecast him as an action monkey . 	a few years ago , stallone made a movie that gave him the opportunity to gracefully exit the roles that typecast him as an action monkey .	3	-2	 a[0] few[0] years[0] ago[0] stallone[0] made[0] a[0] movie[0] that[0] gave[0] him[0] the[0] opportunity[0] to[0] gracefully[2] exit[-1] the[0] roles[0] that[0] typecast[0] him[0] as[0] an[0] action[0] monkey[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that role was sheriff freddy heflin in copland -- a strange film about redemption within a broken soul . 	that role was sheriff freddy heflin in copland - a strange film about redemption within a broken soul .	1	-2	 that[0] role[0] was[0] sheriff[0] freddy[0] heflin[0] in[0] copland[0] a[0] strange[0] film[0] about[0] redemption[0] within[0] a[0] broken[-1] soul[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
