bad . bad . 	Translation	Positive	Negative	EmotionRationale
bad . 	bad .	1	-2	 bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that one word seems to pretty much sums up beyond the valley of the dolls . 	that one word seems to pretty much sums up beyond the valley of the dolls .	3	-1	 that[0] one[0] word[0] seems[0] to[0] pretty[2] much[0] sums[0] up[0] beyond[0] the[0] valley[0] of[0] the[0] dolls[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if that summary isn't enough for you , how about t&a , t&a , t&a ? 	if that summary isn't enough for you , how about t&a , t&a , t&a ?	1	-1	 if[0] that[0] summary[0] isn't[0] enough[0] for[0] you[0] how[0] about[0] t&a[0] t&a[0] t&a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still haven't got the point ? 	still haven't got the point ?	1	-1	 still[0] haven't[0] got[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other than director russ meyer's predilection for casting attractive large breasted women who ultimately expose the afore-mentioned anatomical areas , there is really only one other reason to recommend even taking a look at this movie . 	other than director russ meyer's predilection for casting attractive large breasted women who ultimately expose the afore-mentioned anatomical areas , there is really only one other reason to recommend even taking a look at this movie .	2	-2	 other[0] than[0] director[0] russ[0] meyer's[0] predilection[0] for[0] casting[0] attractive[1] large[0] breasted[0] women[0] who[0] ultimately[0] expose[-1] the[0] afore[0] mentioned[0] anatomical[0] areas[0] there[0] is[0] really[0] only[0] one[0] other[0] reason[0] to[0] recommend[0] even[0] taking[0] a[0] look[0] at[0] this[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that is the fact that it was co-written by famed film critic roger ebert , who also was responsible for the screenplay . 	that is the fact that it was co-written by famed film critic roger ebert , who also was responsible for the screenplay .	1	-2	 that[0] is[0] the[0] fact[0] that[0] it[0] was[0] co[0] written[0] by[0] famed[0] film[0] critic[-1] roger[0] ebert[0] who[0] also[0] was[0] responsible[0] for[0] the[0] screenplay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after watching this movie you will never be able to sit through another one of his reviews where he gives a movie a thumbs down for bad writing with a straight face . 	after watching this movie you will never be able to sit through another one of his reviews where he gives a movie a thumbs down for bad writing with a straight face .	1	-2	 after[0] watching[0] this[0] movie[0] you[0] will[0] never[0] be[0] able[0] to[0] sit[0] through[0] another[0] one[0] of[0] his[0] reviews[0] where[0] he[0] gives[0] a[0] movie[0] a[0] thumbs[0] down[0] for[0] bad[-1] writing[0] with[0] a[0] straight[0] face[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie stinks out loud . 	this movie stinks out loud .	1	-3	 this[0] movie[0] stinks[-2] out[0] loud[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
quite frankly , this movie deserves a . 	quite frankly , this movie deserves a .	1	-1	 quite[0] frankly[0] this[0] movie[0] deserves[0] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but there are parts of it that are so bad they are almost funny . 	but there are parts of it that are so bad they are almost funny .	2	-2	 but[0] there[0] are[0] parts[0] of[0] it[0] that[0] are[0] so[0] bad[-1] they[0] are[0] almost[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so i'm giving it a . 	so i'm giving it a .	1	-1	 so[0] i'm[0] giving[0] it[0] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and maybe that is too generous . 	and maybe that is too generous .	2	-1	 and[0] maybe[0] that[0] is[0] too[0] generous[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
right from the opening credits , i knew that i had a class-a bomb on my hands . 	right from the opening credits , i knew that i had a class-a bomb on my hands .	1	-2	 right[0] from[0] the[0] opening[0] credits[0] i[0] knew[0] that[0] i[0] had[0] a[0] class[0] a[0] bomb[-1] on[0] my[0] hands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not only are the way the credits actually shot distracting , but the first scene you see includes a big breasted young woman being chased by a guy in a nazi uniform . 	not only are the way the credits actually shot distracting , but the first scene you see includes a big breasted young woman being chased by a guy in a nazi uniform .	1	-2	 not[0] only[0] are[0] the[0] way[0] the[0] credits[0] actually[0] shot[-1] distracting[-1] but[0] the[0] first[0] scene[0] you[0] see[0] includes[0] a[0] big[0] breasted[0] young[0] woman[0] being[0] chased[-1] by[0] a[0] guy[0] in[0] a[0] nazi[-1] uniform[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i had absolutely no idea why the hell that was happening ( it does get explained later ) and as soon as the first scene is over , we cut to a completely unrelated scene . 	i had absolutely no idea why the hell that was happening ( it does get explained later ) and as soon as the first scene is over , we cut to a completely unrelated scene .	1	-2	 i[0] had[0] absolutely[0] no[0] idea[0] why[0] the[0] hell[-1] that[0] was[0] happening[0] it[0] does[0] get[0] explained[0] later[0] and[0] as[0] soon[0] as[0] the[0] first[0] scene[0] is[0] over[0] we[0] cut[0] to[0] a[0] completely[0] unrelated[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to be honest , as i sat through this movie mesmerized by just how incredibly awful it was , i actually forgot about the seemingly out of place opening until it popped up again later in the film . 	to be honest , as i sat through this movie mesmerized by just how incredibly awful it was , i actually forgot about the seemingly out of place opening until it popped up again later in the film .	1	-5	 to[0] be[0] honest[0] as[0] i[0] sat[0] through[0] this[0] movie[0] mesmerized[0] by[0] just[0] how[0] incredibly[0] awful[-3][-2 LastWordBoosterStrength] it[0] was[0] i[0] actually[0] forgot[0] about[0] the[0] seemingly[0] out[0] of[0] place[0] opening[0] until[0] it[0] popped[0] up[0] again[0] later[0] in[0] the[0] film[0] [[Sentence=-6,1=word max, 1-5]][[[1,-5 max of sentences]]]
with the quality of the writing during the rest of the film , it wouldn't have surprised me if the opening had never been explained . 	with the quality of the writing during the rest of the film , it wouldn't have surprised me if the opening had never been explained .	1	-1	 with[0] the[0] quality[0] of[0] the[0] writing[0] during[0] the[0] rest[0] of[0] the[0] film[0] it[0] wouldn't[0] have[0] surprised[0] me[0] if[0] the[0] opening[0] had[0] never[0] been[0] explained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so what is this movie about ? 	so what is this movie about ?	1	-1	 so[0] what[0] is[0] this[0] movie[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you ask . 	you ask .	1	-1	 you[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like it really matters . 	like it really matters .	2	-1	 like[1] it[0] really[0] matters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ok , here goes . 	ok , here goes .	1	-1	 ok[0] here[0] goes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this all-girl band headed by kelly macnamara ( dolly reed ) and her friends go to hollywood to try to gain a foothold in the music industry . 	this all-girl band headed by kelly macnamara ( dolly reed ) and her friends go to hollywood to try to gain a foothold in the music industry .	2	-1	 this[0] all[0] girl[0] band[0] headed[0] by[0] kelly[0] macnamara[0] dolly[0] reed[0] and[0] her[0] friends[1] go[0] to[0] hollywood[0] to[0] try[0] to[0] gain[0] a[0] foothold[0] in[0] the[0] music[0] industry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once there , they do manage to find success ( due as much to their hooters as anything else ? it sure wasn't for their brutally bad singing voices ) , and the movie chronicles how their lives change for the worse as the pressures of fame get to them . 	once there , they do manage to find success ( due as much to their hooters as anything else ?<br> it sure wasn't for their brutally bad singing voices ) , and the movie chronicles how their lives change for the worse as the pressures of fame get to them .	3	-3	 once[0] there[0] they[0] do[0] manage[0] to[0] find[0] success[2] due[0] as[0] much[0] to[0] their[0] hooters[0] as[0] anything[0] else[0] [[Sentence=-1,3=word max, 1-5]] it[0] sure[0] wasn't[0] for[0] their[0] brutally[-2] bad[-1] singing[0] voices[0] and[0] the[0] movie[0] chronicles[0] how[0] their[0] lives[0] change[0] for[0] the[0] worse[-2] as[0] the[0] pressures[-1] of[0] fame[0] get[0] to[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
everything from big egos , to booze and drugs to free flowing sex sends them on a downward spiral . 	everything from big egos , to booze and drugs to free flowing sex sends them on a downward spiral .	1	-1	 everything[0] from[0] big[0] egos[0] to[0] booze[0] and[0] drugs[0] to[0] free[0] flowing[0] sex[0] sends[0] them[0] on[0] a[0] downward[0] spiral[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a couple of other idiotic subplots thrown in for good measure , but the fame is the one that pretty much sums up this thing . 	there are a couple of other idiotic subplots thrown in for good measure , but the fame is the one that pretty much sums up this thing .	3	-3	 there[0] are[0] a[0] couple[0] of[0] other[0] idiotic[-2] subplots[0] thrown[0] in[0] for[0] good[1] measure[0] but[0] the[0] fame[0] is[0] the[0] one[0] that[0] pretty[2] much[0] sums[0] up[0] this[0] thing[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 from a creative standpoint there is nothing redeeming here . 	 from a creative standpoint there is nothing redeeming here .	1	-1	 from[0] a[0] creative[0] standpoint[0] there[0] is[0] nothing[0] redeeming[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other than the above-mentioned obsession with big knockers that russ meyer seemed to have . 	other than the above-mentioned obsession with big knockers that russ meyer seemed to have .	1	-3	 other[0] than[0] the[0] above[0] mentioned[0] obsession[-2] with[0] big[0] knockers[0] that[0] russ[0] meyer[0] seemed[0] to[0] have[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the dialogue is so incredibly bad that it literally is funny in parts . 	the dialogue is so incredibly bad that it literally is funny in parts .	2	-4	 the[0] dialogue[0] is[0] so[0] incredibly[0] bad[-1][-2 LastWordBoosterStrength] that[0] it[0] literally[0] is[0] funny[1] in[0] parts[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
mr . ebert has generously thrown in helpings of " hey man " , " dig " and my all time favorite -- " this is my happening , and it freaks me out " . 	mr .<br> ebert has generously thrown in helpings of " hey man " , " dig " and my all time favorite - " this is my happening , and it freaks me out " .	2	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] ebert[0] has[0] generously[1] thrown[0] in[0] helpings[0] of[0] hey[1] man[0] dig[0] and[0] my[0] all[0] time[0] favorite[1] this[0] is[0] my[0] happening[0] and[0] it[0] freaks[-1] me[0] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now i ask you , with lines like that how can you go wrong ? 	now i ask you , with lines like that how can you go wrong ?	2	-2	 now[0] i[0] ask[0] you[0] with[0] lines[0] like[1] that[0] how[0] can[0] you[0] go[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ebert had tried to inject as many big words as possible into the dialogue . 	ebert had tried to inject as many big words as possible into the dialogue .	1	-1	 ebert[0] had[0] tried[0] to[0] inject[0] as[0] many[0] big[0] words[0] as[0] possible[0] into[0] the[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe he thought it would make the movie seem smarter . 	maybe he thought it would make the movie seem smarter .	2	-1	 maybe[0] he[0] thought[0] it[0] would[0] make[0] the[0] movie[0] seem[0] smarter[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't know , but all the big words in the world wouldn't be able to disguise the bad writing and even worse acting . 	i don't know , but all the big words in the world wouldn't be able to disguise the bad writing and even worse acting .	1	-3	 i[0] don't[0] know[0] but[0] all[0] the[0] big[0] words[0] in[0] the[0] world[0] wouldn't[0] be[0] able[0] to[0] disguise[-1] the[0] bad[-1] writing[0] and[0] even[0] worse[-2] acting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the wretched dialogue goes along well with the wretched quality of everything else in this movie . 	but the wretched dialogue goes along well with the wretched quality of everything else in this movie .	1	-3	 but[0] the[0] wretched[-2] dialogue[0] goes[0] along[0] well[0] with[0] the[0] wretched[-2] quality[0] of[0] everything[0] else[0] in[0] this[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i've seen home movies directed better than meyer managed with this turkey . 	i've seen home movies directed better than meyer managed with this turkey .	1	-1	 i've[0] seen[0] home[0] movies[0] directed[0] better[0] than[0] meyer[0] managed[0] with[0] this[0] turkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , there is one scene -- the one in which they are in a van driving to hollywood to make their fortunes -- during which i really had to question if meyer or his editors had just suffered serious head injuries . 	in fact , there is one scene - the one in which they are in a van driving to hollywood to make their fortunes - during which i really had to question if meyer or his editors had just suffered serious head injuries .	1	-3	 in[0] fact[0] there[0] is[0] one[0] scene[0] the[0] one[0] in[0] which[0] they[0] are[0] in[0] a[0] van[0] driving[0] to[0] hollywood[0] to[0] make[0] their[0] fortunes[0] during[0] which[0] i[0] really[0] had[0] to[0] question[0] if[0] meyer[0] or[0] his[0] editors[0] had[0] just[0] suffered[-3][--1 LastWordBoosterStrength] serious[-1] head[0] injuries[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
add to the directing and writing the music in this movie . 	add to the directing and writing the music in this movie .	1	-1	 add[0] to[0] the[0] directing[0] and[0] writing[0] the[0] music[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
