this is one of the worst big-screen film experiences i've had for a while . 	Translation	Positive	Negative	EmotionRationale
with this film , plus  showgirls' and  basic instinct' , paul verhoeven has stamped himself as currently one of the worst blockbuster directors . 	with this film , plus  showgirls' and  basic instinct' , paul verhoeven has stamped himself as currently one of the worst blockbuster directors .	1	-3	 with[0] this[0] film[0] plus[0] showgirls'[0] and[0] basic[0] instinct'[0] paul[0] verhoeven[0] has[0] stamped[0] himself[0] as[0] currently[0] one[0] of[0] the[0] worst[-2] blockbuster[-1] directors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his celebrated film  total recall' was ? i admit ? successfully scripted , but it nonetheless contained directorial flaws . 	his celebrated film  total recall' was ?<br> i admit ?<br> successfully scripted , but it nonetheless contained directorial flaws .	3	-1	 his[0] celebrated[1] film[0] total[0] recall'[0] was[0] [[Sentence=-1,2=word max, 1-5]] i[0] admit[0] [[Sentence=-1,1=word max, 1-5]] successfully[2] scripted[0] but[0] it[0] nonetheless[0] contained[0] directorial[0] flaws[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
obviously nobody wanted to invest too much money in a production from someone like verhoeven , the result being that much of the special effects in  starship' seemed fake . 	obviously nobody wanted to invest too much money in a production from someone like verhoeven , the result being that much of the special effects in  starship' seemed fake .	2	-2	 obviously[0] nobody[0] wanted[0] to[0] invest[0] too[0] much[0] money[0] in[0] a[0] production[0] from[0] someone[0] like[1] verhoeven[0] the[0] result[0] being[0] that[0] much[0] of[0] the[0] special[1] effects[0] in[0] starship'[0] seemed[0] fake[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but not everything bad in the film was the director's fault , even though he was one of the guys who employed the actors . 	but not everything bad in the film was the director's fault , even though he was one of the guys who employed the actors .	2	-2	 but[0] not[0] everything[0] bad[-1][NegatedDueToPreviousWord] in[0] the[0] film[0] was[0] the[0] director's[0] fault[-1] even[0] though[0] he[0] was[0] one[0] of[0] the[0] guys[0] who[0] employed[0] the[0] actors[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is surprising that none of the actors received nominations for the razzie awards ( i expected five for the acting categories ) . 	it is surprising that none of the actors received nominations for the razie awards ( i expected five for the acting categories ) .	1	-1	 it[0] is[0] surprising[0] that[0] none[0] of[0] the[0] actors[0] received[0] nominations[0] for[0] the[0] razzie/razie[0] awards[0] i[0] expected[0] five[0] for[0] the[0] acting[0] categories[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
casserole vanity devoid , dense ribald , dingy miasma , and jackass bushy are in serious need of acting school . 	casserole vanity devoid , dense ribald , dingy miasma , and jackass bushy are in serious need of acting school .	1	-2	 casserole[0] vanity[-1] devoid[-1] dense[0] ribald[0] dingy[0] miasma[0] and[0] jackass[-1] bushy[0] are[0] in[0] serious[-1] need[0] of[0] acting[0] school[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no , they have to pass primary school drama classes first . 	no , they have to pass primary school drama classes first .	1	-1	 no[0] they[0] have[0] to[0] pass[0] primary[0] school[0] drama[0] classes[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while  total' was written well ,  starship' is purely pathetic . 	while  total' was written well ,  starship' is purely pathetic .	1	-3	 while[0] total'[0] was[0] written[0] well[0] starship'[0] is[0] purely[0] pathetic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all right , it is supposed to be a fast-paced entertainment film , and you're supposed to turn off your intellect ( completely ) and enjoy the action sequences and special effects ( that is , guts and gore ) . 	all right , it is supposed to be a fast-paced entertainment film , and you're supposed to turn off your intellect ( completely ) and enjoy the action sequences and special effects ( that is , guts and gore ) .	3	-1	 all[0] right[0] it[0] is[0] supposed[0] to[0] be[0] a[0] fast[0] paced[0] entertainment[0] film[0] and[0] you're[0] supposed[0] to[0] turn[0] off[0] your[0] intellect[0] completely[0] and[0] enjoy[2] the[0] action[0] sequences[0] and[0] special[1] effects[0] that[0] is[0] guts[0] and[0] gore[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as a matter of fact , i found the activity incredibly boring , a complete waste of more than two hours . 	as a matter of fact , i found the activity incredibly boring , a complete waste of more than two hours .	1	-4	 as[0] a[0] matter[0] of[0] fact[0] i[0] found[0] the[0] activity[0] incredibly[0] boring[-1][-2 LastWordBoosterStrength] a[0] complete[0] waste[-1][-1 LastWordBoosterStrength] of[0] more[0] than[0] two[0] hours[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
