annie wilson ( cate blanchett ) , a widow who struggles to raise her children in a small town in georgia is asked for help by local authorities in solving the case of a missing woman . 	Translation	Positive	Negative	EmotionRationale
annie is something of a psychic , she has involuntary bouts with the supernatural where she can see the past and the future and physically feel the actions happenning to her she envisions . 	annie is something of a psychic , she has involuntary bouts with the supernatural where she can see the past and the future and physically feel the actions happening to her she envisions .	1	-2	 annie[0] is[0] something[0] of[0] a[0] psychic[0] she[0] has[0] involuntary[-1] bouts[0] with[0] the[0] supernatural[0] where[0] she[0] can[0] see[0] the[0] past[0] and[0] the[0] future[0] and[0] physically[0] feel[0] the[0] actions[0] happenning/happening[0] to[0] her[0] she[0] envisions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her " gift " leads to the arrest of a nasty wife beater who may or may not have killed the pretty rich girl found in the swamp on his property . 	her " gift " leads to the arrest of a nasty wife beater who may or may not have killed the pretty rich girl found in the swamp on his property .	4	-3	 her[0] gift[0] leads[0] to[0] the[0] arrest[0] of[0] a[0] nasty[-2] wife[0] beater[0] who[0] may[0] or[0] may[0] not[0] have[0] killed[-3][NegatedDueToPreviousWord] the[0] pretty[2] rich[0] girl[0] found[0] in[0] the[0] swamp[0] on[0] his[0] property[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
in an ultra conservative backwoods town will her testimony based on her psychic visions hold up in court ? 	in an ultra conservative backwoods town will her testimony based on her psychic visions hold up in court ?	1	-1	 in[0] an[0] ultra[0] conservative[0] backwoods[0] town[0] will[0] her[0] testimony[0] based[0] on[0] her[0] psychic[0] visions[0] hold[0] up[0] in[0] court[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do they even have the right man ? 	do they even have the right man ?	1	-1	 do[0] they[0] even[0] have[0] the[0] right[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's good about it : 	what's good about it :	2	-1	 what's[0] good[1] about[0] it[0] [[Sentence=-1,2=word max, 1-5]] [[changed to 2 due to idiom]][[[2,-1 max of sentences]]]
aside from keanu reeves giving one of the best performances of his career as the loathable redneck donnie barksdale , there is little else going for the film . 	aside from keanu reeves giving one of the best performances of his career as the loathable redneck donnie barksdale , there is little else going for the film .	2	-1	 aside[0] from[0] keanu[0] reeves[0] giving[0] one[0] of[0] the[0] best[1] performances[0] of[0] his[0] career[0] as[0] the[0] loathable[0] redneck[0] donnie[0] barksdale[0] there[0] is[0] little[0] else[0] going[0] for[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what's not so good about it : 	what's not so good about it :	1	-2	 what's[0] not[0] so[0] good[1][NegatedDueToPreviousWord] about[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lame , unoriginal screenplay . 	lame , unoriginal screenplay .	1	-3	 lame[-2] unoriginal[0] screenplay[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
predictable ending . 	predictable ending .	1	-1	 predictable[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suspense scenes that are just plain boring . 	suspense scenes that are just plain boring .	1	-2	 suspense[0] scenes[0] that[0] are[0] just[0] plain[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ridicously trite characterization makes the entire south out to be ingnorant , hateful goobers . 	ridicously trite characterization makes the entire south out to be ingnorant , hateful goobers .	1	-4	 ridicously[0] trite[-2] characterization[0] makes[0] the[0] entire[0] south[0] out[0] to[0] be[0] ingnorant[0] hateful[-3] goobers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
relentless in its emotional sensationaliztion . 	relentless in its emotional sensationaliztion .	1	-2	 relentless[0] in[0] its[0] emotional[-1] sensationaliztion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
overall critique : 	overall critique :	1	-1	 overall[0] critique[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the gift " is one of those movies that makes you wonder where you've seen this story before . 	 " the gift " is one of those movies that makes you wonder where you've seen this story before .	1	-1	 the[0] gift[0] is[0] one[0] of[0] those[0] movies[0] that[0] makes[0] you[0] wonder[0] where[0] you've[0] seen[0] this[0] story[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a collection of every cliche and stereotype of the south ever made , and coming from a yankee like me who dislikes the south that's really saying something . 	it's a collection of every cliche and stereotype of the south ever made , and coming from a yankee like me who dislikes the south that's really saying something .	2	-3	 it's[0] a[0] collection[0] of[0] every[0] cliche[0] and[0] stereotype[0] of[0] the[0] south[0] ever[0] made[0] and[0] coming[0] from[0] a[0] yankee[0] like[1] me[0] who[0] dislikes[-2] the[0] south[0] that's[0] really[0] saying[0] something[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for an established , talented director sam raimi is unable to provide any kind of originality to this film . 	for an established , talented director sam raimi is unable to provide any kind of originality to this film .	2	-1	 for[0] an[0] established[0] talented[1] director[0] sam[0] raimi[0] is[0] unable[0] to[0] provide[0] any[0] kind[1] of[0] originality[0] to[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's predictable from the first scene , the screenplay is written like a rip-off of a photocopied bootlegged play . 	it's predictable from the first scene , the screenplay is written like a rip-off of a photocopied bootlegged play .	2	-2	 it's[0] predictable[0] from[0] the[0] first[0] scene[0] the[0] screenplay[0] is[0] written[0] like[1] a[0] rip[-1] off[0] of[0] a[0] photocopied[0] bootlegged[0] play[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you know that as nasty as the murder suspect is he didn't actually do it . 	you know that as nasty as the murder suspect is he didn't actually do it .	1	-4	 you[0] know[0] that[0] as[0] nasty[-2] as[0] the[0] murder[-3] suspect[-1] is[0] he[0] didn't[0] actually[0] do[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's no surprise either who the real villain turns out to be and what their motive was . 	it's no surprise either who the real villain turns out to be and what their motive was .	1	-3	 it's[0] no[0] surprise[0] either[0] who[0] the[0] real[0] villain[-2] turns[0] out[0] to[0] be[0] and[0] what[0] their[0] motive[0] was[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sigh , how trite . 	sigh , how trite .	1	-3	 sigh[0] how[0] trite[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for a supernatural thriller this is neither scary nor intense because it's so cliche . 	for a supernatural thriller this is neither scary nor intense because it's so cliche .	2	-4	 for[0] a[0] supernatural[0] thriller[1] this[0] is[0] neither[0] scary[-3] nor[0] intense[0] because[0] it's[0] so[0] cliche[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " the gift " is basically a glorified b-movie . 	 " the gift " is basically a glorified b-movie .	2	-1	 the[0] gift[0] is[0] basically[0] a[0] glorified[1] b[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
