in my review of " the spy who shagged me , " i postulated an unbreakable law of film physics : every time a sequel is as good as or better than the previous film in the series , it is followed by a third movie that is a bore . 	Translation	Positive	Negative	EmotionRationale
the cause is probably complacency ; a studio sighs with relief when part 2 lives up to expectations and figures part 3 is a sure thing . 	the cause is probably complacency ; a studio sighs with relief when part 2 lives up to expectations and figures part 3 is a sure thing .	2	-1	 the[0] cause[0] is[0] probably[0] complacency[0] a[0] studio[0] sighs[0] with[0] relief[1] when[0] part[0] 2[0] lives[0] up[0] to[0] expectations[0] and[0] figures[0] part[0] 3[0] is[0] a[0] sure[0] thing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " scream 3 " provides the latest proof of this rule . 	 " scream 3 " provides the latest proof of this rule .	1	-4	 scream[-3] 3[0] provides[0] the[0] latest[0] proof[0] of[0] this[0] rule[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in los angeles production has begun on " stab 3 : return to woodsboro , " the most recent installment in the series of movies inspired by the murders surrounding sidney prescott ( neve campbell ) . 	in los angeles production has begun on " stab 3 : return to woodsboro , " the most recent instalment in the series of movies inspired by the murders surrounding sidney prescott ( neve campbell ) .	3	-4	 in[0] los[0] angeles[0] production[0] has[0] begun[0] on[0] stab[-1] 3[0] return[0] to[0] woodsboro[0] the[0] most[0] recent[0] installment/instalment[0] in[0] the[0] series[0] of[0] movies[0] inspired[2] by[0] the[0] murders[-3] surrounding[0] sidney[0] prescott[0] neve[0] campbell[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
however , life soon starts imitating art , and " stab " cast members turn up stabbed . 	however , life soon starts imitating art , and " stab " cast members turn up stabbed .	1	-2	 however[0] life[0] soon[0] starts[0] imitating[0] art[0] and[0] stab[-1] cast[0] members[0] turn[0] up[0] stabbed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
smelling yet another book deal , gale weathers ( courteney cox arquette ) comes to the set to investigate and finds her ex-boyfriend dewey riley ( david arquette ) acting as a technical consultant and getting chummy with jennifer ( parker posey ) , the actress playing gale in " stab 3 . " elsewhere , our heroine sidney is living in hiding under an assumed name . 	smelling yet another book deal , gale weathers ( courteney cox arquette ) comes to the set to investigate and finds her ex-boyfriend dewey riley ( david arquette ) acting as a technical consultant and getting chummy with jennifer ( parker posey ) , the actress playing gale in " stab 3 .<br> " elsewhere , our heroine sidney is living in hiding under an assumed name .	3	-2	 smelling[0] yet[0] another[0] book[0] deal[0] gale[0] weathers[0] courteney[0] cox[0] arquette[0] comes[0] to[0] the[0] set[0] to[0] investigate[0] and[0] finds[0] her[0] ex[0] boyfriend[0] dewey[0] riley[0] david[0] arquette[0] acting[0] as[0] a[0] technical[0] consultant[0] and[0] getting[0] chummy[0] with[0] jennifer[0] parker[0] posey[0] the[0] actress[0] playing[1] gale[0] in[0] stab[-1] 3[0] [[Sentence=-2,2=word max, 1-5]] elsewhere[0] our[0] heroine[2] sidney[0] is[0] living[0] in[0] hiding[0] under[0] an[0] assumed[0] name[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
until she gets a phone call from a familiar evil voice . 	until she gets a phone call from a familiar evil voice .	1	-3	 until[0] she[0] gets[0] a[0] phone[0] call[0] from[0] a[0] familiar[0] evil[-2] voice[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the late randy meeks ( jamie kennedy ) makes a surprise guest appearance via video to explain the rules of a trilogy . 	the late randy meeks ( jamie kennedy ) makes a surprise guest appearance via video to explain the rules of a trilogy .	1	-2	 the[0] late[0] randy[0] meeks[-1] jamie[0] kennedy[0] makes[0] a[0] surprise[0] guest[0] appearance[0] via[0] video[0] to[0] explain[0] the[0] rules[0] of[0] a[0] trilogy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he notes the third chapter in a trilogy has an overabundance of exposition and a huge backstory to contend with . 	he notes the third chapter in a trilogy has an overabundance of exposition and a huge backstory to contend with .	1	-2	 he[0] notes[0] the[0] third[0] chapter[0] in[0] a[0] trilogy[0] has[0] an[0] overabundance[0] of[0] exposition[0] and[0] a[0] huge[0] backstory[0] to[0] contend[-1] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
