note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " quick , robin ! 	 " quick , robin !	1	-1	 quick[0] robin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the anti-shark repellant ! " 	the anti-shark repellant !<br> "	1	-2	 the[0] anti[0] shark[-1] repellant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
- adam west in the 1966 batman feature film , casually kicking at a pathetic-looking rubber shark attached to his leg 	- adam west in the 1966 batman feature film , casually kicking at a pathetic-looking rubber shark attached to his leg	1	-3	 adam[0] west[0] in[0] the[0] 1966[0] batman[0] feature[0] film[0] casually[0] kicking[-1] at[0] a[0] pathetic[-2] looking[0] rubber[0] shark[-1] attached[0] to[0] his[0] leg[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i had never thought that an entry in the modern incarnation of the batman feature film would approach this level of campiness , but in many instances batman and robin nears , and at some point even exceeds this standard . 	i had never thought that an entry in the modern incarnation of the batman feature film would approach this level of campiness , but in many instances batman and robin nears , and at some point even exceeds this standard .	1	-1	 i[0] had[0] never[0] thought[0] that[0] an[0] entry[0] in[0] the[0] modern[0] incarnation[0] of[0] the[0] batman[0] feature[0] film[0] would[0] approach[0] this[0] level[0] of[0] campiness[0] but[0] in[0] many[0] instances[0] batman[0] and[0] robin[0] nears[0] and[0] at[0] some[0] point[0] even[0] exceeds[0] this[0] standard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a disasterously bad film , easily the worst in the series to date , and fairly epitomizes a cinematic definition of the word excessive - it's loud , garish , and obnoxious , with pointless , gratuitous action sequences and set pieces which clutter up the screen with elaborate production design to the point of overkill . 	this is a disasterously bad film , easily the worst in the series to date , and fairly epitomizes a cinematic definition of the word excessive - it's loud , garish , and obnoxious , with pointless , gratuitous action sequences and set pieces which clutter up the screen with elaborate production design to the point of overkill .	1	-3	 this[0] is[0] a[0] disasterously[-1] bad[-1] film[0] easily[0] the[0] worst[-2] in[0] the[0] series[0] to[0] date[0] and[0] fairly[0] epitomizes[0] a[0] cinematic[0] definition[0] of[0] the[0] word[0] excessive[-1] it's[0] loud[0] garish[0] and[0] obnoxious[-2] with[0] pointless[-1] gratuitous[-1] action[0] sequences[0] and[0] set[0] pieces[0] which[0] clutter[-1] up[0] the[0] screen[0] with[0] elaborate[0] production[0] design[0] to[0] the[0] point[0] of[0] overkill[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
batman and robin features the caped crusaders ( george clooney debuting as batman , with chris o'donnell returing as robin ) squaring off against another bevy of chemically-induced villains - the nefarious ice-cold mr . freeze ( arnold schwarzenegger ) , armed with a weapon which freezes everything in its sights , and the slinky poison ivy ( uma thurman ) , who has the ability to blow powerful love dust into the faces of men in order so that they will fall helplessly in love with her ( not that the dust is really necessary to accomplish this result , but whatever ) , and then dispatch them with a poisoned kiss . 	batman and robin features the caped crusaders ( george clooney debuting as batman , with chris o'donnell returing as robin ) squaring off against another bevy of chemically-induced villains - the nefarious ice-cold mr .<br> freeze ( arnold schwarzenegger ) , armed with a weapon which freezes everything in its sights , and the slinky poison ivy ( uma thurman ) , who has the ability to blow powerful love dust into the faces of men in order so that they will fall helplessly in love with her ( not that the dust is really necessary to accomplish this result , but whatever ) , and then dispatch them with a poisoned kiss .	3	-3	 batman[0] and[0] robin[0] features[0] the[0] caped[0] crusaders[0] george[0] clooney[0] debuting[0] as[0] batman[0] with[0] chris[0] o'donnell[0] returing[0] as[0] robin[0] squaring[0] off[0] against[-1] another[0] bevy[0] of[0] chemically[0] induced[0] villains[-2] the[0] nefarious[0] ice[0] cold[-1] mr[0] [[Sentence=-3,1=word max, 1-5]] freeze[0] arnold[0] schwarzenegger[0] armed[0] with[0] a[0] weapon[-1] which[0] freezes[0] everything[0] in[0] its[0] sights[0] and[0] the[0] slinky[0] poison[-2] ivy[0] uma[0] thurman[0] who[0] has[0] the[0] ability[0] to[0] blow[0] powerful[0] love[2] dust[0] into[0] the[0] faces[0] of[0] men[0] in[0] order[0] so[0] that[0] they[0] will[0] fall[0] helplessly[-1] in[0] love[2] with[0] her[0] not[0] that[0] the[0] dust[0] is[0] really[0] necessary[0] to[0] accomplish[1] this[0] result[0] but[0] whatever[0] and[0] then[0] dispatch[0] them[0] with[0] a[0] poisoned[-2] kiss[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
by ivy's side is the giant steroid monster bane ( jeep swanson ) , a grunting hulk of a beast . 	by ivy's side is the giant steroid monster bane ( jeep swanson ) , a grunting hulk of a beast .	1	-2	 by[0] ivy's[0] side[0] is[0] the[0] giant[0] steroid[0] monster[-1] bane[-1] jeep[0] swanson[0] a[0] grunting[0] hulk[0] of[0] a[0] beast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the villains' goals are noble ones - freeze steals diamonds to power his climate suit ( in order to keep his body temperature at zero degrees ) , so that he can survive in order to devise a cure for his beloved wife ( vendela ) , dying of a degenerative disease and frozen in suspended animation , and ivy's intent is to restore the dominance of plant life on earth , albeit by destroying all human life . 	the villains' goals are noble ones - freeze steals diamonds to power his climate suit ( in order to keep his body temperature at zero degrees ) , so that he can survive in order to devise a cure for his beloved wife ( vendela ) , dying of a degenerative disease and frozen in suspended animation , and ivy's intent is to restore the dominance of plant life on earth , albeit by destroying all human life .	3	-3	 the[0] villains'[-2] goals[0] are[0] noble[0] ones[0] freeze[0] steals[-2] diamonds[0] to[0] power[0] his[0] climate[0] suit[0] in[0] order[0] to[0] keep[0] his[0] body[0] temperature[0] at[0] zero[0] degrees[0] so[0] that[0] he[0] can[0] survive[0] in[0] order[0] to[0] devise[0] a[0] cure[0] for[0] his[0] beloved[2] wife[0] vendela[0] dying[-1] of[0] a[0] degenerative[0] disease[-2] and[0] frozen[0] in[0] suspended[0] animation[0] and[0] ivy's[0] intent[0] is[0] to[0] restore[0] the[0] dominance[0] of[0] plant[0] life[0] on[0] earth[0] albeit[0] by[0] destroying[-2] all[0] human[0] life[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
meanwhile , on the homefront , life at wayne manor is thrown into upheaval by the illness of butler alfred pennyworth ( michael gough ) , and the arrival of his niece barbara ( alicia silverstone ) . 	meanwhile , on the homefront , life at wayne manor is thrown into upheaval by the illness of butler alfred pennyworth ( michael gough ) , and the arrival of his niece barbara ( alicia silverstone ) .	1	-2	 meanwhile[0] on[0] the[0] homefront[0] life[0] at[0] wayne[0] manor[0] is[0] thrown[0] into[0] upheaval[-1] by[0] the[0] illness[-1] of[0] butler[0] alfred[0] pennyworth[0] michael[0] gough[0] and[0] the[0] arrival[0] of[0] his[0] niece[0] barbara[0] alicia[0] silverstone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
