written by alex cox , tod davies , terry gilliam and tony grisoni 	Translation	Positive	Negative	EmotionRationale
directed by terry gilliam 	directed by terry gilliam	1	-1	 directed[0] by[0] terry[0] gilliam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've always preferred mushrooms to blotter acid . 	i've always preferred mushrooms to blotter acid .	1	-1	 i've[0] always[0] preferred[0] mushrooms[0] to[0] blotter[0] acid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dropping acid is like riding a roller coaster blindfolded ; you have no idea where the peaks and valleys are , no idea when the next terrifying decent will send your stomach into your throat , and no idea how long the ride will last . 	dropping acid is like riding a roller coaster blindfolded ; you have no idea where the peaks and valleys are , no idea when the next terrifying decent will send your stomach into your throat , and no idea how long the ride will last .	2	-4	 dropping[0] acid[0] is[0] like[1] riding[0] a[0] roller[0] coaster[0] blindfolded[-1] you[0] have[0] no[0] idea[0] where[0] the[0] peaks[0] and[0] valleys[0] are[0] no[0] idea[0] when[0] the[0] next[0] terrifying[-3] decent[0] will[0] send[0] your[0] stomach[0] into[0] your[0] throat[0] and[0] no[0] idea[0] how[0] long[0] the[0] ride[0] will[0] last[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
then there's the hard knot in your gut and the clenched teeth that come with ingesting a strychnine-laced dose . 	then there's the hard knot in your gut and the clenched teeth that come with ingesting a strychnine-laced dose .	1	-1	 then[0] there's[0] the[0] hard[0] knot[0] in[0] your[0] gut[0] and[0] the[0] clenched[0] teeth[0] that[0] come[0] with[0] ingesting[0] a[0] strychnine[0] laced[0] dose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mushrooms , on the other hand , offer the psychedelic equivalent of a leisurely ride on a ferris wheel : a steady , reassuring assent , a short period of thrilling motion and color , and then a smooth landing . 	mushrooms , on the other hand , offer the psychedelic equivalent of a leisurely ride on a ferris wheel : a steady , reassuring assent , a short period of thrilling motion and color , and then a smooth landing .	4	-1	 mushrooms[0] on[0] the[0] other[0] hand[0] offer[0] the[0] psychedelic[0] equivalent[0] of[0] a[0] leisurely[0] ride[0] on[0] a[0] ferris[0] wheel[0] a[0] steady[0] reassuring[1] assent[0] a[0] short[0] period[0] of[0] thrilling[3] motion[0] and[0] color[0] and[0] then[0] a[0] smooth[0] landing[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
acid is for daredevils ; mushrooms are for refined seekers of joy . 	acid is for daredevils ; mushrooms are for refined seekers of joy .	3	-1	 acid[0] is[0] for[0] daredevils[0] mushrooms[0] are[0] for[0] refined[0] seekers[0] of[0] joy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my point is that in fear and loathing in las vegas , director terry gilliam has made an acid movie , when i wish he would have made a mushroom movie . 	my point is that in fear and loathing in las vegas , director terry gilliam has made an acid movie , when i wish he would have made a mushroom movie .	1	-4	 my[0] point[0] is[0] that[0] in[0] fear[-3] and[0] loathing[0] in[0] las[0] vegas[0] director[0] terry[0] gilliam[0] has[0] made[0] an[0] acid[0] movie[0] when[0] i[0] wish[0] he[0] would[0] have[0] made[0] a[0] mushroom[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
full of shocking sight gags , aggressive images and grotesque comic performances , the film certainly offers something for those fans of hunter s . thompson's book who want to experience its twisted pharmacological world-view from the inside out . 	full of shocking sight gags , aggressive images and grotesque comic performances , the film certainly offers something for those fans of hunter s .<br> thompson's book who want to experience its twisted pharmacological world-view from the inside out .	1	-3	 full[0] of[0] shocking[-2] sight[0] gags[0] aggressive[-2] images[0] and[0] grotesque[-1] comic[0] performances[0] the[0] film[0] certainly[0] offers[0] something[0] for[0] those[0] fans[0] of[0] hunter[-1] s[0] [[Sentence=-3,1=word max, 1-5]] thompson's[0] book[0] who[0] want[0] to[0] experience[0] its[0] twisted[0] pharmacological[0] world[0] view[0] from[0] the[0] inside[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
but for those of us who just want to enjoy a well-made film , gilliam has produced a mixed bag . 	but for those of us who just want to enjoy a well-made film , gilliam has produced a mixed bag .	3	-1	 but[0] for[0] those[0] of[0] us[0] who[0] just[0] want[0] to[0] enjoy[2] a[0] well[0] made[0] film[0] gilliam[0] has[0] produced[0] a[0] mixed[0] bag[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fear and loathing tells the ostensibly true story of how self-professed " gonzo " journalist hunter s . thompson ( johnny depp ) and hispanic activist attorney oscar zeta actosta ( benicio del toro ) , came to las vegas to cover a motorcycle race and found themselves trapped in the middle of a district attorney's convention while ingesting every conceivable drug available to a man of means in 1971 . 	fear and loathing tells the ostensibly true story of how self-professed " gonzo " journalist hunter s .<br> thompson ( johnny dep ) and hispanic activist attorney oscar zeta actosta ( benicio del toro ) , came to las vegas to cover a motorcycle race and found themselves trapped in the middle of a district attorney's convention while ingesting every conceivable drug available to a man of means in 1971 .	2	-4	 fear[-3] and[0] loathing[0] tells[0] the[0] ostensibly[0] true[1] story[0] of[0] how[0] self[0] professed[0] gonzo[0] journalist[0] hunter[-1] s[0] [[Sentence=-4,2=word max, 1-5]] thompson[0] johnny[0] depp/dep[0] and[0] hispanic[0] activist[0] attorney[0] oscar[0] zeta[0] actosta[0] benicio[0] del[0] toro[0] came[0] to[0] las[0] vegas[0] to[0] cover[0] a[0] motorcycle[0] race[0] and[0] found[0] themselves[0] trapped[0] in[0] the[0] middle[0] of[0] a[0] district[0] attorney's[0] convention[0] while[0] ingesting[0] every[0] conceivable[0] drug[0] available[0] to[0] a[0] man[0] of[0] means[0] in[0] 1971[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
