there's no reason to doubt that donnie brasco is based , as its opening credits proclaim , on a true story . 	Translation	Positive	Negative	EmotionRationale
but if it's an accurate picture of life on america's mean streets , than cinematic depictions of organised crime have had a much stronger basis in reality than i would have previously thought . 	but if it's an accurate picture of life on america's mean streets , than cinematic depictions of organised crime have had a much stronger basis in reality than i would have previously thought .	1	-2	 but[0] if[0] it's[0] an[0] accurate[0] picture[0] of[0] life[0] on[0] america's[0] mean[0] streets[0] than[0] cinematic[0] depictions[0] of[0] organised[0] crime[-1] have[0] had[0] a[0] much[0] stronger[0] basis[0] in[0] reality[0] than[0] i[0] would[0] have[0] previously[0] thought[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for from the film's outset , when a group of hoods jocularly trade differing opinions on the merits of various automobiles ( not unlike a number of movie lowlifes who recently gave a madonna song a close reading ) donnie brasco resembles more than passingly a few gangster flicks once believed to be works of fiction . 	for from the film's outset , when a group of hoods jocularly trade differing opinions on the merits of various automobiles ( not unlike a number of movie lowlifes who recently gave a madonna song a close reading ) donnie brasco resembles more than passingly a few gangster flicks once believed to be works of fiction .	2	-2	 for[0] from[0] the[0] film's[0] outset[0] when[0] a[0] group[0] of[0] hoods[0] jocularly[0] trade[0] differing[0] opinions[0] on[0] the[0] merits[1] of[0] various[0] automobiles[0] not[0] unlike[0] a[0] number[0] of[0] movie[0] lowlifes[-1] who[0] recently[0] gave[0] a[0] madonna[0] song[0] a[0] close[0] reading[0] donnie[0] brasco[0] resembles[0] more[0] than[0] passingly[0] a[0] few[0] gangster[0] flicks[0] once[0] believed[0] to[0] be[0] works[0] of[0] fiction[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
our eponymous hero ( johnny depp ) is not the cheap crook he first appears to be . 	our eponymous hero ( johnny dep ) is not the cheap crook he first appears to be .	3	-2	 our[0] eponymous[0] hero[2] johnny[0] depp/dep[0] is[0] not[0] the[0] cheap[-1][NegatedDueToPreviousWord] crook[-1] he[0] first[0] appears[0] to[0] be[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
brasco is joseph pistone , an undercover fbi agent who has the task of chumming-up to lefty ( al pacino ) , a seasoned hood who tutors pistone in the art of being a " wiseguy " . 	brasco is joseph pistone , an undercover fbi agent who has the task of chumming-up to lefty ( al pacino ) , a seasoned hood who tutors pistone in the art of being a " wiseguy " .	1	-1	 brasco[0] is[0] joseph[0] pistone[0] an[0] undercover[0] fbi[0] agent[0] who[0] has[0] the[0] task[0] of[0] chumming[0] up[0] to[0] lefty[0] al[0] pacino[0] a[0] seasoned[0] hood[0] who[0] tutors[0] pistone[0] in[0] the[0] art[0] of[0] being[0] a[0] wiseguy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
regrettably , pistone learns his lessons all too well . 	regrettably , pistone learns his lessons all too well .	1	-2	 regrettably[-1] pistone[0] learns[0] his[0] lessons[0] all[0] too[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his concern for lefty , who is burdened with a heroin addicted son , exacerbates his own family troubles : his children resent his lengthy absences and his wife fears that her husband's gangster persona is becoming a little too convincing . 	his concern for lefty , who is burdened with a heroin addicted son , exacerbates his own family troubles : his children resent his lengthy absences and his wife fears that her husband's gangster persona is becoming a little too convincing .	3	-3	 his[0] concern[-1] for[0] lefty[0] who[0] is[0] burdened[-1] with[0] a[0] heroin[2] addicted[-1] son[0] exacerbates[0] his[0] own[0] family[0] troubles[-1] his[0] children[0] resent[-2] his[0] lengthy[0] absences[0] and[0] his[0] wife[0] fears[-2] that[0] her[0] husband's[0] gangster[0] persona[0] is[0] becoming[0] a[0] little[0] too[0] convincing[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
true , the focus on pistone's family life does deviate from the typical gangster-flick formula , but this subplot never rises above its television drama origins . 	true , the focus on pistone's family life does deviate from the typical gangster-flick formula , but this subplot never rises above its television drama origins .	2	-2	 true[1] the[0] focus[0] on[0] pistone's[0] family[0] life[0] does[0] deviate[-1] from[0] the[0] typical[0] gangster[0] flick[0] formula[0] but[0] this[0] subplot[0] never[0] rises[0] above[0] its[0] television[0] drama[0] origins[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the unhappy couple trade predictable lines and engage in drawn-out domestic squabbles ? including an ill-advised marriage guidance routine ? that slow the film down unnecessarily . 	the unhappy couple trade predictable lines and engage in drawn-out domestic squabbles ?<br> including an ill-advised marriage guidance routine ?<br> that slow the film down unnecessarily .	1	-3	 the[0] unhappy[-2] couple[0] trade[0] predictable[0] lines[0] and[0] engage[0] in[0] drawn[0] out[0] domestic[0] squabbles[0] [[Sentence=-3,1=word max, 1-5]] including[0] an[0] ill[-1] advised[0] marriage[0] guidance[0] routine[0] [[Sentence=-2,1=word max, 1-5]] that[0] slow[0] the[0] film[0] down[0] unnecessarily[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
the biggest problem with donnie brasco , however , is that its wiseguy attitude and style lacks the flair of its many predecessors . 	the biggest problem with donnie brasco , however , is that its wiseguy attitude and style lacks the flair of its many predecessors .	1	-2	 the[0] biggest[0] problem[-1] with[0] donnie[0] brasco[0] however[0] is[0] that[0] its[0] wiseguy[0] attitude[0] and[0] style[0] lacks[0] the[0] flair[0] of[0] its[0] many[0] predecessors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the awkward use of an occasional disco tune momentarily reminds us its the 70's , but not with the consistent and blindingly tacky style ? i loved those fluoro coloured suits ? of scorces' costume drama casino . 	the awkward use of an occasional disco tune momentarily reminds us its the 70's , but not with the consistent and blindingly tacky style ?<br> i loved those fluoro coloured suits ?<br> of scorces' costume drama casino .	4	-2	 the[0] awkward[-1] use[0] of[0] an[0] occasional[0] disco[0] tune[0] momentarily[0] reminds[0] us[0] its[0] the[0] 70's[0] but[0] not[0] with[0] the[0] consistent[0] and[0] blindingly[-1] tacky[0] style[0] [[Sentence=-2,1=word max, 1-5]] i[0] loved[3] those[0] fluoro[0] coloured[0] suits[0] [[Sentence=-1,4=word max, 1-5]] of[0] scorces'[0] costume[0] drama[0] casino[0] [[Sentence=-1,1=word max, 1-5]][[[4,-2 max of sentences]]]
