wonderland is a rather sugary romance film that is as subtle as a ton of bricks falling on you . 	Translation	Positive	Negative	EmotionRationale
you can see its plot developing from a mile away . you 	you can see its plot developing from a mile away .<br> you	1	-1	 you[0] can[0] see[0] its[0] plot[0] developing[0] from[0] a[0] mile[0] away[0] [[Sentence=-1,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are lured into its benign story of a single 29-year-old girl looking for a soul mate in boston , as that city is depicted as a mini-wonderland for singles . 	are lured into its benign story of a single 29-year-old girl looking for a soul mate in boston , as that city is depicted as a mini-wonderland for singles .	2	-1	 are[0] lured[0] into[0] its[0] benign[1] story[0] of[0] a[0] single[0] 29[0] year[0] old[0] girl[0] looking[0] for[0] a[0] soul[0] mate[1] in[0] boston[0] as[0] that[0] city[0] is[0] depicted[0] as[0] a[0] mini[0] wonderland[0] for[0] singles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a star oriented film , and the star who carries the film is erin ( hope davis ) . 	this is a star oriented film , and the star who carries the film is erin ( hope davis ) .	3	-1	 this[0] is[0] a[0] star[0] oriented[0] film[0] and[0] the[0] star[0] who[0] carries[0] the[0] film[0] is[0] erin[0] hope[2] davis[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that this is a dating film , about singles who for reasons of fate or luck , or whatnot , have not had a successful match and are now putting most of their energy into fulfilling their careers , is nothing new , this type of film has been done often and better many times in contemporary films . 	that this is a dating film , about singles who for reasons of fate or luck , or whatnot , have not had a successful match and are now putting most of their energy into fulfilling their careers , is nothing new , this type of film has been done often and better many times in contemporary films .	3	-1	 that[0] this[0] is[0] a[0] dating[0] film[0] about[0] singles[0] who[0] for[0] reasons[0] of[0] fate[0] or[0] luck[2] or[0] whatnot[0] have[0] not[0] had[0] a[0] successful[2] match[0] and[0] are[0] now[0] putting[0] most[0] of[0] their[0] energy[0] into[0] fulfilling[0] their[0] careers[0] is[0] nothing[0] new[0] this[0] type[0] of[0] film[0] has[0] been[0] done[0] often[0] and[0] better[0] many[0] times[0] in[0] contemporary[0] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the fictionalized documentary unmade beds did it more provocatively and with more of a sense of urgency than this film . the 	the fictionalized documentary unmade beds did it more provocatively and with more of a sense of urgency than this film .<br> the	1	-1	 the[0] fictionalized[0] documentary[0] unmade[0] beds[0] did[0] it[0] more[0] provocatively[0] and[0] with[0] more[0] of[0] a[0] sense[0] of[0] urgency[0] than[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
main quirk in the plot here , is that hope's pushy mother ( hollan ) visits her in boston , sees her daughter's live-in relationship with a radical protester ( hoffman ) breakup and decides to put a personal ad in the newspaper for her harvard medical school drop-out daughter , who works as a nurse . 	main quirk in the plot here , is that hope's pushy mother ( hollan ) visits her in boston , sees her daughter's live-in relationship with a radical protester ( hoffman ) breakup and decides to put a personal ad in the newspaper for her harvard medical school drop-out daughter , who works as a nurse .	1	-2	 main[0] quirk[0] in[0] the[0] plot[0] here[0] is[0] that[0] hope's[0] pushy[0] mother[0] hollan[0] visits[0] her[0] in[0] boston[0] sees[0] her[0] daughter's[0] live[0] in[0] relationship[0] with[0] a[0] radical[-1] protester[-1] hoffman[0] breakup[0] and[0] decides[0] to[0] put[0] a[0] personal[0] ad[0] in[0] the[0] newspaper[0] for[0] her[0] harvard[0] medical[0] school[0] drop[-1] out[0] daughter[0] who[0] works[0] as[0] a[0] nurse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is done without her knowledge . 	this is done without her knowledge .	1	-1	 this[0] is[0] done[0] without[0] her[0] knowledge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is cornball sitcom stuff , but , at least , it is handled as best it could be by the actors and director . 	it is cornball sitcom stuff , but , at least , it is handled as best it could be by the actors and director .	2	-1	 it[0] is[0] cornball[0] sitcom[0] stuff[0] but[0] at[0] least[0] it[0] is[0] handled[0] as[0] best[1] it[0] could[0] be[0] by[0] the[0] actors[0] and[0] director[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is easy to like erin , she is bright , caring , and attractively blonde . 	it is easy to like erin , she is bright , caring , and attractively blonde .	3	-1	 it[0] is[0] easy[0] to[0] like[1] erin[0] she[0] is[0] bright[0] caring[2] and[0] attractively[1] blonde[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is equally easy to care for the soul mate she keeps missing contact with , the financially strapped , ruggedly handsome , intelligent 35-year-old alan ( alan ) , who no longer wants to work with his father as a plumber but is doing volunteer work at the aquarium and attending college to be a marine biologist . 	it is equally easy to care for the soul mate she keeps missing contact with , the financially strapped , ruggedly handsome , intelligent 35-year-old alan ( alan ) , who no longer wants to work with his father as a plumber but is doing volunteer work at the aquarium and attending college to be a marine biologist .	2	-1	 it[0] is[0] equally[0] easy[0] to[0] care[1] for[0] the[0] soul[0] mate[1] she[0] keeps[0] missing[0] contact[0] with[0] the[0] financially[0] strapped[0] ruggedly[0] handsome[1] intelligent[1] 35[0] year[0] old[0] alan[0] alan[0] who[0] no[0] longer[0] wants[0] to[0] work[0] with[0] his[0] father[0] as[0] a[0] plumber[0] but[0] is[0] doing[0] volunteer[0] work[0] at[0] the[0] aquarium[0] and[0] attending[0] college[0] to[0] be[0] a[0] marine[0] biologist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , he comes across as being so good ( though , he does kill some fish in the aquarium ) , that it is hard to believe he's for real , or just some cardboard shining knight put into the story to give it an ideal to shoot for . 	of course , he comes across as being so good ( though , he does kill some fish in the aquarium ) , that it is hard to believe he's for real , or just some cardboard shining knight put into the story to give it an ideal to shoot for .	2	-2	 of[0] course[0] he[0] comes[0] across[0] as[0] being[0] so[0] good[1] though[0] he[0] does[0] kill[-1] some[0] fish[0] in[0] the[0] aquarium[0] that[0] it[0] is[0] hard[0] to[0] believe[0] he's[0] for[0] real[0] or[0] just[0] some[0] cardboard[0] shining[0] knight[0] put[0] into[0] the[0] story[0] to[0] give[0] it[0] an[0] ideal[0] to[0] shoot[-1] for[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the contrived story revolves around their near misses in meeting each other in such spots as , the subway , at a restaurant , or on the phone . 	the contrived story revolves around their near misses in meeting each other in such spots as , the subway , at a restaurant , or on the phone .	1	-3	 the[0] contrived[0] story[0] revolves[0] around[0] their[0] near[0] misses[-2] in[0] meeting[0] each[0] other[0] in[0] such[0] spots[0] as[0] the[0] subway[0] at[0] a[0] restaurant[0] or[0] on[0] the[0] phone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
