this is the worst movie i've viewed so far in 98 . 	Translation	Positive	Negative	EmotionRationale
the avengers   silly   man dressed in a bowler hat   woman wearing tight leathers   evil scientists dressed in teddy bear suits   greater evil , sir august de wynter wearing kilt . 	the avengers   silly   man dressed in a bowler hat   woman wearing tight leathers   evil scientists dressed in teddy bear suits   greater evil , sir august de wynter wearing kilt .	3	-3	 the[0] avengers[-1] silly[-1] man[0] dressed[0] in[0] a[0] bowler[0] hat[0] woman[0] wearing[0] tight[0] leathers[0] evil[-2] scientists[0] dressed[0] in[0] teddy[0] bear[0] suits[0] greater[2] evil[-2] sir[0] august[0] de[0] wynter[0] wearing[0] kilt[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the question is what could have gone wrong with a potentially great idea with big name cast ? 	the question is what could have gone wrong with a potentially great idea with big name cast ?	3	-2	 the[0] question[0] is[0] what[0] could[0] have[0] gone[0] wrong[-1] with[0] a[0] potentially[0] great[2] idea[0] with[0] big[0] name[0] cast[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the same question was probably asked of last year's stinker batman and robin . 	the same question was probably asked of last year's stinker batman and robin .	1	-3	 the[0] same[0] question[0] was[0] probably[0] asked[0] of[0] last[0] year's[0] stinker[-2] batman[0] and[0] robin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i feel the production got a little too smug , the script a little to smart and direction was somehow lost in the chaos of random events that collided together to form a movie . 	i feel the production got a little too smug , the script a little to smart and direction was somehow lost in the chaos of random events that collided together to form a movie .	2	-2	 i[0] feel[0] the[0] production[0] got[0] a[0] little[0] too[0] smug[-1] the[0] script[0] a[0] little[0] to[0] smart[1] and[0] direction[0] was[0] somehow[0] lost[0] in[0] the[0] chaos[-1] of[0] random[0] events[0] that[0] collided[-1] together[0] to[0] form[0] a[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
my greatest criticism rests on the fact that there was no chemistry between emma peel and john steed ( thurman and fiennes ) ? something that was a vital element of the 60's tv serial of the same name . 	my greatest criticism rests on the fact that there was no chemistry between emma peel and john steed ( thurman and fiennes ) ?<br> something that was a vital element of the 60's tv serial of the same name .	3	-2	 my[0] greatest[2] criticism[-1] rests[0] on[0] the[0] fact[0] that[0] there[0] was[0] no[0] chemistry[0] between[0] emma[0] peel[0] and[0] john[0] steed[0] thurman[0] and[0] fiennes[0] [[Sentence=-2,3=word max, 1-5]] something[0] that[0] was[0] a[0] vital[0] element[0] of[0] the[0] 60's[0] tv[0] serial[0] of[0] the[0] same[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
the dialogue goes on and on about tea and other finer british perks , but does not allow much room for character development and interaction , except to perhaps grate on the viewer's nerves . 	the dialogue goes on and on about tea and other finer british perks , but does not allow much room for character development and interaction , except to perhaps grate on the viewer's nerves .	1	-1	 the[0] dialogue[0] goes[0] on[0] and[0] on[0] about[0] tea[0] and[0] other[0] finer[0] british[0] perks[0] but[0] does[0] not[0] allow[0] much[0] room[0] for[0] character[0] development[0] and[0] interaction[0] except[0] to[0] perhaps[0] grate[0] on[0] the[0] viewer's[0] nerves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one wonders why the dynamic pair bother kissing in the end except for pure english formality . 	one wonders why the dynamic pair bother kissing in the end except for pure english formality .	3	-2	 one[0] wonders[0] why[0] the[0] dynamic[1] pair[0] bother[-1] kissing[2] in[0] the[0] end[0] except[0] for[0] pure[0] english[0] formality[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
connery as sir august , does not fair better than thurman or fiennes . 	connery as sir august , does not fair better than thurman or fiennes .	1	-1	 connery[0] as[0] sir[0] august[0] does[0] not[0] fair[0] better[0] than[0] thurman[0] or[0] fiennes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his dialogue is as erratic as stormy weather , mostly embarrassing and poor quality . 	his dialogue is as erratic as stormy weather , mostly embarrassing and poor quality .	1	-3	 his[0] dialogue[0] is[0] as[0] erratic[0] as[0] stormy[-1] weather[0] mostly[0] embarrassing[-2] and[0] poor[-1] quality[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if there is a movie you would prefer never to see , i believe the avengers would be a good choice . 	if there is a movie you would prefer never to see , i believe the avengers would be a good choice .	2	-2	 if[0] there[0] is[0] a[0] movie[0] you[0] would[0] prefer[0] never[0] to[0] see[0] i[0] believe[0] the[0] avengers[-1] would[0] be[0] a[0] good[1] choice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
