what's to like about the world of extremely violent trash pornography--ie . 	Translation	Positive	Negative	EmotionRationale
the garbage known as " snuff " films ? 	the garbage known as " snuff " films ?	1	-3	 the[0] garbage[-2] known[0] as[0] snuff[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nothing , right ? 	nothing , right ?	1	-1	 nothing[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's to like about a film chronicling the world of violent trash pornography ? 	what's to like about a film chronicling the world of violent trash pornography ?	2	-3	 what's[0] to[0] like[1] about[0] a[0] film[0] chronicling[0] the[0] world[0] of[0] violent[-2] trash[-1] pornography[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
well . . . nothing . 	well .<br> .<br> .<br> nothing .	1	-1	 well[0] [[Sentence=-1,1=word max, 1-5]] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , why make it , hollywood ? 	so , why make it , hollywood ?	1	-1	 so[0] why[0] make[0] it[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's no reason why the average , sane movie-goer will be interested in such a topic . 	there's no reason why the average , sane movie-goer will be interested in such a topic .	2	-1	 there's[0] no[0] reason[0] why[0] the[0] average[0] sane[0] movie[0] goer[0] will[0] be[0] interested[1] in[0] such[0] a[0] topic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no one is going to enrich their life or have a good time by watching material such as this . 	no one is going to enrich their life or have a good time by watching material such as this .	2	-1	 no[0] one[0] is[0] going[0] to[0] enrich[0] their[0] life[0] or[0] have[0] a[0] good[1] time[0] by[0] watching[0] material[0] such[0] as[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the lack of quality filmmaking in " 8mm " ( from technical to acting ) stands out even more when you consider the star , writer , and supporting cast--all reputable . 	the lack of quality filmmaking in " 8m " ( from technical to acting ) stands out even more when you consider the star , writer , and supporting cast-all reputable .	2	-2	 the[0] lack[-1] of[0] quality[0] filmmaking[0] in[0] 8mm/8m[0] from[0] technical[0] to[0] acting[0] stands[0] out[0] even[0] more[0] when[0] you[0] consider[0] the[0] star[0] writer[0] and[0] supporting[1] cast[0] all[0] reputable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but joel schumacher and his brand of unlikable filmmaking strikes again ! 	but joel schumacher and his brand of unlikable filmmaking strikes again !	1	-1	 but[0] joel[0] schumacher[0] and[0] his[0] brand[0] of[0] unlikable[0] filmmaking[0] strikes[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like paul schrader , schumacher has his moments , but they're few and far ( far ! ) 	like paul schrader , schumacher has his moments , but they're few and far ( far !<br> )	2	-1	 like[1] paul[0] schrader[0] schumacher[0] has[0] his[0] moments[0] but[0] they're[0] few[0] and[0] far[0] far[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
between . 	between .	1	-1	 between[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
basically , this picture is crap and no one should pay to see it . 	basically , this picture is crap and no one should pay to see it .	1	-3	 basically[0] this[0] picture[0] is[0] crap[-2] and[0] no[0] one[0] should[0] pay[0] to[0] see[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why not walk out ? 	why not walk out ?	1	-1	 why[0] not[0] walk[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , this wouldn't be a thorough review about a thoroughly bad movie . 	well , this wouldn't be a thorough review about a thoroughly bad movie .	1	-2	 well[0] this[0] wouldn't[0] be[0] a[0] thorough[0] review[0] about[0] a[0] thoroughly[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here's why you should spend your money on dog food or gum instead of " 8mm " . . . 	here's why you should spend your money on dog food or gum instead of " 8m " .<br> .<br> .	1	-1	 here's[0] why[0] you[0] should[0] spend[0] your[0] money[0] on[0] dog[0] food[0] or[0] gum[0] instead[0] of[0] 8mm/8m[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first thing--if you don't heed my advice , then understand what you're about to see before you even think about paying good money for this crud . 	first thing-if you don't heed my advice , then understand what you're about to see before you even think about paying good money for this crud .	2	-1	 first[0] thing[0] if[0] you[0] don't[0] heed[0] my[0] advice[0] then[0] understand[0] what[0] you're[0] about[0] to[0] see[0] before[0] you[0] even[0] think[0] about[0] paying[0] good[1] money[0] for[0] this[0] crud[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not easy to watch . 	it's not easy to watch .	1	-1	 it's[0] not[0] easy[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't know the details of the story beforehand , but at least my ignorance can help others now . 	i didn't know the details of the story beforehand , but at least my ignorance can help others now .	1	-3	 i[0] didn't[0] know[0] the[0] details[0] of[0] the[0] story[0] beforehand[0] but[0] at[0] least[0] my[0] ignorance[-2] can[0] help[0] others[0] now[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the ( ha ! ) plot revolves around tom welles ( nicolas cage ) as a surveillance expert and private investigator . 	the ( ha !<br> ) plot revolves around tom welles ( nicolas cage ) as a surveillance expert and private investigator .	2	-1	 the[0] ha[1] [[Sentence=-1,2=word max, 1-5]] plot[0] revolves[0] around[0] tom[0] welles[1] nicolas[0] cage[0] as[0] a[0] surveillance[0] expert[0] and[0] private[0] investigator[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a rich old woman discovers a " snuff " film in her late husband's safe . 	a rich old woman discovers a " snuff " film in her late husband's safe .	2	-1	 a[0] rich[0] old[0] woman[0] discovers[0] a[0] snuff[0] film[0] in[0] her[0] late[0] husband's[0] safe[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she calls welles and hires him to try and find out if the young girl ( it had to be a young girl , didn't it , schumacher ! ) who appears to be murdered in the film really is dead . 	she calls welles and hires him to try and find out if the young girl ( it had to be a young girl , didn't it , schumacher !<br> ) who appears to be murdered in the film really is dead .	2	-4	 she[0] calls[0] welles[1] and[0] hires[0] him[0] to[0] try[0] and[0] find[0] out[0] if[0] the[0] young[0] girl[0] it[0] had[0] to[0] be[0] a[0] young[0] girl[0] didn't[0] it[0] schumacher[0] [[Sentence=-1,2=word max, 1-5]] who[0] appears[0] to[0] be[0] murdered[-3] in[0] the[0] film[0] really[0] is[0] dead[-2] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
she's horrified that her husband would have owned such a film ( in 8mm , of course ) and just wants welles to snoop around without police interference to see what he can find . 	she's horrified that her husband would have owned such a film ( in 8m , of course ) and just wants welles to snoop around without police interference to see what he can find .	2	-4	 she's[0] horrified[-3] that[0] her[0] husband[0] would[0] have[0] owned[0] such[0] a[0] film[0] in[0] 8mm/8m[0] of[0] course[0] and[0] just[0] wants[0] welles[1] to[0] snoop[0] around[0] without[0] police[0] interference[-1] to[0] see[0] what[0] he[0] can[0] find[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
family-man welles agrees against better judgement or any concrete leads even after cringing and grimacing at the sight of the grotesque " murder " . 	family-man welles agrees against better judgement or any concrete leads even after cringing and grimacing at the sight of the grotesque " murder " .	2	-4	 family[0] man[0] welles[1] agrees[0] against[-1] better[0] judgement[0] or[0] any[0] concrete[0] leads[0] even[0] after[0] cringing[0] and[0] grimacing[-2] at[0] the[0] sight[0] of[0] the[0] grotesque[-1] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
let me backtrack for a moment . 	let me backtrack for a moment .	1	-1	 let[0] me[0] backtrack[0] for[0] a[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
see , " snuff " films are pornos with a violent twist--people are tortured in very sick ways and end up dead . 	see , " snuff " films are pornos with a violent twist-people are tortured in very sick ways and end up dead .	1	-4	 see[0] snuff[0] films[0] are[0] pornos[0] with[0] a[0] violent[-2] twist[0] people[0] are[0] tortured[-3] in[0] very[0] sick[-1][-1 LastWordBoosterStrength] ways[0] and[0] end[0] up[0] dead[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , the deaths are often staged and , in those cases , special effects and " good " acting make all the difference . 	however , the deaths are often staged and , in those cases , special effects and " good " acting make all the difference .	2	-3	 however[0] the[0] deaths[-2] are[0] often[0] staged[0] and[0] in[0] those[0] cases[0] special[1] effects[0] and[0] good[1] acting[0] make[0] all[0] the[0] difference[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
very sick people enjoy and pay top dollar for these hard-to-find movies . 	very sick people enjoy and pay top dollar for these hard-to-find movies .	3	-3	 very[0] sick[-1][-1 LastWordBoosterStrength] people[0] enjoy[2] and[0] pay[0] top[0] dollar[0] for[0] these[0] hard[0] to[0] find[0] movies[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the thought of this " industry " makes me want to throw my computer out the window and stop this review , but i'll swallow my bile and move on . 	the thought of this " industry " makes me want to throw my computer out the window and stop this review , but i'll swallow my bile and move on .	1	-1	 the[0] thought[0] of[0] this[0] industry[0] makes[0] me[0] want[0] to[0] throw[0] my[0] computer[0] out[0] the[0] window[0] and[0] stop[0] this[0] review[0] but[0] i'll[0] swallow[0] my[0] bile[0] and[0] move[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
welles follows clues to hollywood and the porn industry . 	welles follows clues to hollywood and the porn industry .	2	-1	 welles[1] follows[0] clues[0] to[0] hollywood[0] and[0] the[0] porn[0] industry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you'd think he's sherlock holmes the way clues drop so easily for him ! 	you'd think he's sherlock holmes the way clues drop so easily for him !	1	-2	 you'd[0] think[0] he's[0] sherlock[0] holmes[0] the[0] way[0] clues[0] drop[-1] so[0] easily[0] for[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he comes across smut clerk max ( joaquin phoenix ) who knows everyone and everything in the underground business of sleaze . 	he comes across smut clerk max ( joaquin phoenix ) who knows everyone and everything in the underground business of sleaze .	1	-3	 he[0] comes[0] across[0] smut[0] clerk[0] max[0] joaquin[0] phoenix[0] who[0] knows[0] everyone[0] and[0] everything[0] in[0] the[0] underground[0] business[0] of[0] sleaze[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a lot of digging and bribing , welles finds the men who are responsible for making this , and other , " snuff " films . 	after a lot of digging and bribing , welles finds the men who are responsible for making this , and other , " snuff " films .	2	-1	 after[0] a[0] lot[0] of[0] digging[0] and[0] bribing[0] welles[1] finds[0] the[0] men[0] who[0] are[0] responsible[0] for[0] making[0] this[0] and[0] other[0] snuff[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
skip ahead , skip ahead , skip ahead . . . 	skip ahead , skip ahead , skip ahead .<br> .<br> .	1	-1	 skip[0] ahead[0] skip[0] ahead[0] skip[0] ahead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
