the law of crowd pleasing romantic movies states that the two leads must end up together by film's end . 	Translation	Positive	Negative	EmotionRationale
if you're not familiar with this law , then maybe you've seen the trailer for this film which shows that the two leads are together by film's end . 	if you're not familiar with this law , then maybe you've seen the trailer for this film which shows that the two leads are together by film's end .	1	-1	 if[0] you're[0] not[0] familiar[0] with[0] this[0] law[0] then[0] maybe[0] you've[0] seen[0] the[0] trailer[0] for[0] this[0] film[0] which[0] shows[0] that[0] the[0] two[0] leads[0] are[0] together[0] by[0] film's[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now if you're a regular reader of mine , you've heard me say this countless times : you know how drive me crazy is going to end , but is the journey to get to that ending worth it ? 	now if you're a regular reader of mine , you've heard me say this countless times : you know how drive me crazy is going to end , but is the journey to get to that ending worth it ?	1	-2	 now[0] if[0] you're[0] a[0] regular[0] reader[0] of[0] mine[0] you've[0] heard[0] me[0] say[0] this[0] countless[0] times[0] you[0] know[0] how[0] drive[0] me[0] crazy[-1] is[0] going[0] to[0] end[0] but[0] is[0] the[0] journey[0] to[0] get[0] to[0] that[0] ending[0] worth[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no , it definitely is not . 	no , it definitely is not .	1	-1	 no[0] it[0] definitely[0] is[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
melissa joan hart ( from abc's " sabrina , the teenage witch " ) likes a hunky stud on the basketball team . 	melissa joan hart ( from abc's " sabrina , the teenage witch " ) likes a hunky stud on the basketball team .	3	-1	 melissa[0] joan[0] hart[0] from[0] abc's[0] sabrina[0] the[0] teenage[0] witch[0] likes[2] a[0] hunky[0] stud[0] on[0] the[0] basketball[0] team[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
adrien grenier is her grungy neighbor who's just broken up with his activist girlfriend . 	adrien grenier is her grungy neighbor who's just broken up with his activist girlfriend .	1	-1	 adrien[0] grenier[0] is[0] her[0] grungy[0] neighbor[0] who's[0] just[0] broken[-1][--1 LastWordBoosterStrength] up[0] with[0] his[0] activist[0] girlfriend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently he wants to make his ex-girlfriend jealous enough to take him back , and she wants someone to take her to the big year end dance . 	apparently he wants to make his ex-girlfriend jealous enough to take him back , and she wants someone to take her to the big year end dance .	1	-3	 apparently[0] he[0] wants[0] to[0] make[0] his[0] ex[0] girlfriend[0] jealous[-2] enough[0] to[0] take[0] him[0] back[0] and[0] she[0] wants[0] someone[0] to[0] take[0] her[0] to[0] the[0] big[0] year[0] end[0] dance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so the two pretend to date for some reason , but only after hart gives grenier a bath to turn him into a hunky stud . 	so the two pretend to date for some reason , but only after hart gives grenier a bath to turn him into a hunky stud .	1	-2	 so[0] the[0] two[0] pretend[-1] to[0] date[0] for[0] some[0] reason[0] but[0] only[0] after[0] hart[0] gives[0] grenier[0] a[0] bath[0] to[0] turn[0] him[0] into[0] a[0] hunky[0] stud[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will grenier like his new popularity and turn on his friends ? 	will grenier like his new popularity and turn on his friends ?	2	-1	 will[0] grenier[0] like[1] his[0] new[0] popularity[1] and[0] turn[0] on[0] his[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
will this crazy scheme work ? 	will this crazy scheme work ?	1	-2	 will[0] this[0] crazy[-1] scheme[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
do i care ? 	do i care ?	2	-1	 do[0] i[0] care[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the teen comedy resurgence of late has been surprisingly good in terms of comedy . 	the teen comedy resurgence of late has been surprisingly good in terms of comedy .	2	-1	 the[0] teen[0] comedy[0] resurgence[0] of[0] late[0] has[0] been[0] surprisingly[0] good[1] in[0] terms[0] of[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what makes movies like can't hardly wait and 10 things i hate about you work ( and to a lesser extent , she's all that and never been kissed ) is because the writers of those films seem to realize that high school is a joke and write their scripts accordingly . 	what makes movies like can't hardly wait and 10 things i hate about you work ( and to a lesser extent , she's all that and never been kissed ) is because the writers of those films seem to realize that high school is a joke and write their scripts accordingly .	2	-4	 what[0] makes[0] movies[0] like[1] can't[0] hardly[0] wait[0] and[0] 10[0] things[0] i[0] hate[-3] about[0] you[0] work[0] and[0] to[0] a[0] lesser[0] extent[0] she's[0] all[0] that[0] and[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] is[0] because[0] the[0] writers[0] of[0] those[0] films[0] seem[0] to[0] realize[0] that[0] high[0] school[0] is[0] a[0] joke[1] and[0] write[0] their[0] scripts[0] accordingly[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i don't know what the writer's intention was with drive me crazy . 	i don't know what the writer's intention was with drive me crazy .	1	-2	 i[0] don't[0] know[0] what[0] the[0] writer's[0] intention[0] was[0] with[0] drive[0] me[0] crazy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there was some smart comedy in those films to make the obvious endings worth getting to . 	there was some smart comedy in those films to make the obvious endings worth getting to .	1	-1	 there[0] was[0] some[0] smart[1][-1 LastWordBoosterStrength] comedy[0] in[0] those[0] films[0] to[0] make[0] the[0] obvious[0] endings[0] worth[0] getting[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here there's nothing . . . 	here there's nothing .<br> .<br> .	1	-1	 here[0] there's[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just teens whining about who's going to take them to the big dance . 	just teens whining about who's going to take them to the big dance .	1	-3	 just[0] teens[0] whining[-2] about[0] who's[0] going[0] to[0] take[0] them[0] to[0] the[0] big[0] dance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
do me a favor kids , go get a job or something . . . 	do me a favor kids , go get a job or something .<br> .<br> .	2	-1	 do[0] me[0] a[0] favor[1] kids[0] go[0] get[0] a[0] job[0] or[0] something[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just shut the hell up . 	just shut the hell up .	1	-2	 just[0] shut[0] the[0] hell[-1] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in all honesty , the best part of this film is the end credits . 	in all honesty , the best part of this film is the end credits .	2	-1	 in[0] all[0] honesty[1] the[0] best[1] part[0] of[0] this[0] film[0] is[0] the[0] end[0] credits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now normally when i say that it's followed with the joke " . . . because the movie is finally over . " 	now normally when i say that it's followed with the joke " .<br> .<br> .<br> because the movie is finally over .<br> "	2	-1	 now[0] normally[0] when[0] i[0] say[0] that[0] it's[0] followed[0] with[0] the[0] joke[1] [[Sentence=-1,2=word max, 1-5]] because[0] the[0] movie[0] is[0] finally[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
in this case though the end credits really are the most entertaining part of the film . 	in this case though the end credits really are the most entertaining part of the film .	1	-1	 in[0] this[0] case[0] though[0] the[0] end[0] credits[0] really[0] are[0] the[0] most[0] entertaining[0] part[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the obligatory second playing of britney spears' titular song , there's a quick commercial jingle for a burger joint the kids in the film hang out in and a brief rendition of the school song for their high school . 	after the obligatory second playing of britney spears' titular song , there's a quick commercial jingle for a burger joint the kids in the film hang out in and a brief rendition of the school song for their high school .	2	-2	 after[0] the[0] obligatory[0] second[0] playing[1] of[0] britney[0] spears'[0] titular[0] song[0] there's[0] a[0] quick[0] commercial[0] jingle[0] for[0] a[0] burger[0] joint[0] the[0] kids[0] in[0] the[0] film[0] hang[-1] out[0] in[0] and[0] a[0] brief[0] rendition[0] of[0] the[0] school[0] song[0] for[0] their[0] high[0] school[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nothing great , but more entertaining than anything in the 90 minutes which preceded them . 	nothing great , but more entertaining than anything in the 90 minutes which preceded them .	3	-1	 nothing[0] great[2] but[0] more[0] entertaining[0] than[0] anything[0] in[0] the[0] 90[0] minutes[0] which[0] preceded[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sci-fi fans take note : there are brief appearances from stephen collins ( star trek : the motion picture ) and faye grant ( the tv miniseries " v " and " v : the final battle " ) . 	sci-fi fans take note : there are brief appearances from stephen collins ( star trek : the motion picture ) and faye grant ( the tv miniseries " v " and " v : the final battle " ) .	1	-2	 sci[0] fi[0] fans[0] take[0] note[0] there[0] are[0] brief[0] appearances[0] from[0] stephen[0] collins[0] star[0] trek[0] the[0] motion[0] picture[0] and[0] faye[0] grant[0] the[0] tv[0] miniseries[0] v[0] and[0] v[0] the[0] final[0] battle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
[pg-13] 	[pg-13]	1	-1	 [pg[0] -13][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
