keep cool , a chinese film directed by semi-accomplished filmmaker yimou zhang , was one of the kickoff films for this year's hawaii international film festival . 	Translation	Positive	Negative	EmotionRationale
on the day it premiered , lines of eager moviegoers stretched around the block , some anticipants having queued up well in advance to get a good seat in the theater . 	on the day it premiered , lines of eager moviegoers stretched around the block , some anticipants having queued up well in advance to get a good seat in the theater .	2	-2	 on[0] the[0] day[0] it[0] premiered[0] lines[0] of[0] eager[0] moviegoers[0] stretched[0] around[0] the[0] block[-1] some[0] anticipants[0] having[0] queued[0] up[0] well[0] in[0] advance[0] to[0] get[0] a[0] good[1] seat[0] in[0] the[0] theater[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they need not have wasted their time . 	they need not have wasted their time .	2	-1	 they[0] need[0] not[0] have[0] wasted[-1][NegatedDueToPreviousWord] their[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is billed as a comedy , but is surprisingly bereft of humor . 	the movie is billed as a comedy , but is surprisingly bereft of humor .	3	-2	 the[0] movie[0] is[0] billed[0] as[0] a[0] comedy[0] but[0] is[0] surprisingly[0] bereft[-1] of[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are noticeable attempts at laughs , but very few tries actually click . 	there are noticeable attempts at laughs , but very few tries actually click .	2	-1	 there[0] are[0] noticeable[0] attempts[0] at[0] laughs[1] but[0] very[0] few[0] tries[0] actually[0] click[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i wondered if there were jokes that i wasn't getting because i'm not from china , but unfortunately my conclusion was that this lack of humor couldn't be attributed to the cultural barrier either . 	i wondered if there were jokes that i wasn't getting because i'm not from china , but unfortunately my conclusion was that this lack of humor couldn't be attributed to the cultural barrier either .	3	-2	 i[0] wondered[0] if[0] there[0] were[0] jokes[1] that[0] i[0] wasn't[0] getting[0] because[0] i'm[0] not[0] from[0] china[0] but[0] unfortunately[-1] my[0] conclusion[0] was[0] that[0] this[0] lack[-1] of[0] humor[2] couldn't[0] be[0] attributed[0] to[0] the[0] cultural[0] barrier[-1] either[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
keep cool just isn't very funny . 	keep cool just isn't very funny .	2	-3	 keep[0] cool[1] just[0] isn't[0] very[0] funny[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the prelude to the film was a visit by keep cool's producer who , with the help of an interpreter , regaled us of how in order to get the print to the festival in time , an assistant hand carried it on the plane from china to hawaii . 	the prelude to the film was a visit by keep cool's producer who , with the help of an interpreter , regaled us of how in order to get the print to the festival in time , an assistant hand carried it on the plane from china to hawai .	1	-1	 the[0] prelude[0] to[0] the[0] film[0] was[0] a[0] visit[0] by[0] keep[0] cool's[0] producer[0] who[0] with[0] the[0] help[0] of[0] an[0] interpreter[0] regaled[0] us[0] of[0] how[0] in[0] order[0] to[0] get[0] the[0] print[0] to[0] the[0] festival[0] in[0] time[0] an[0] assistant[0] hand[0] carried[0] it[0] on[0] the[0] plane[0] from[0] china[0] to[0] hawaii/hawai[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the print made it , the assistant's luggage was lost . 	although the print made it , the assistant's luggage was lost .	1	-1	 although[0] the[0] print[0] made[0] it[0] the[0] assistant's[0] luggage[0] was[0] lost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too bad that story wasn't in the movie , because it got a big laugh . 	too bad that story wasn't in the movie , because it got a big laugh .	2	-2	 too[0] bad[-1] that[0] story[0] wasn't[0] in[0] the[0] movie[0] because[0] it[0] got[0] a[0] big[0] laugh[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
qu ying , the film's female lead , was also on hand to give a few comments . 	qu ying , the film's female lead , was also on hand to give a few comments .	1	-1	 qu[0] ying[0] the[0] film's[0] female[0] lead[0] was[0] also[0] on[0] hand[0] to[0] give[0] a[0] few[0] comments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , whereas the producer politely made regular pauses in his dialog so the interpreter could bring us up to speed , ms . ying saw fit to say everything she had to say in one , fast-paced , incredibly long tirade . 	however , whereas the producer politely made regular pauses in his dialog so the interpreter could bring us up to speed , ms .<br> ying saw fit to say everything she had to say in one , fast-paced , incredibly long tirade .	1	-1	 however[0] whereas[0] the[0] producer[0] politely[0] made[0] regular[0] pauses[0] in[0] his[0] dialog[0] so[0] the[0] interpreter[0] could[0] bring[0] us[0] up[0] to[0] speed[0] ms[0] [[Sentence=-1,1=word max, 1-5]] ying[0] saw[0] fit[0] to[0] say[0] everything[0] she[0] had[0] to[0] say[0] in[0] one[0] fast[0] paced[0] incredibly[0] long[0] tirade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was dizzying ; good foreshadowing for the film . 	it was dizying ; good foreshadowing for the film .	2	-1	 it[0] was[0] dizzying/dizying[0] good[1] foreshadowing[0] for[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you see , keep cool is filmed almost totally with a camera handheld by a man with a bad case of the shakes . 	you see , keep cool is filmed almost totally with a camera handheld by a man with a bad case of the shakes .	2	-2	 you[0] see[0] keep[0] cool[1] is[0] filmed[0] almost[0] totally[0] with[0] a[0] camera[0] handheld[0] by[0] a[0] man[0] with[0] a[0] bad[-1] case[0] of[0] the[0] shakes[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at least that's the way it seems , since the camera is constantly moving . 	at least that's the way it seems , since the camera is constantly moving .	1	-1	 at[0] least[0] that's[0] the[0] way[0] it[0] seems[0] since[0] the[0] camera[0] is[0] constantly[0] moving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinema verite is one thing , but panning and shaking around until your audience has a headache is another . 	cinema verite is one thing , but panning and shaking around until your audience has a headache is another .	1	-2	 cinema[0] verite[0] is[0] one[0] thing[0] but[0] panning[0] and[0] shaking[-1] around[0] until[0] your[0] audience[0] has[0] a[0] headache[-1] is[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although some might consider it a form which helps give the viewer an idea of the anarchic state into which chinese youth is slowly growing , i found it thoroughly distracting , and after a while , quite annoying . 	although some might consider it a form which helps give the viewer an idea of the anarchic state into which chinese youth is slowly growing , i found it thoroughly distracting , and after a while , quite annoying .	1	-3	 although[0] some[0] might[0] consider[0] it[0] a[0] form[0] which[0] helps[0] give[0] the[0] viewer[0] an[0] idea[0] of[0] the[0] anarchic[0] state[0] into[0] which[0] chinese[0] youth[0] is[0] slowly[0] growing[0] i[0] found[0] it[0] thoroughly[0] distracting[-1] and[0] after[0] a[0] while[0] quite[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
headache , as i said . 	headache , as i said .	1	-2	 headache[-1] as[0] i[0] said[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is about a young bookseller ( wen jiang ) who is after a young woman ( qu ying ) . 	the film is about a young bookseller ( wen jiang ) who is after a young woman ( qu ying ) .	1	-1	 the[0] film[0] is[0] about[0] a[0] young[0] bookseller[0] wen[0] jiang[0] who[0] is[0] after[0] a[0] young[0] woman[0] qu[0] ying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they used to be romantically involved , but the woman grew tired of him and left the relationship . 	they used to be romantically involved , but the woman grew tired of him and left the relationship .	4	-2	 they[0] used[0] to[0] be[0] romantically[3] involved[0] but[0] the[0] woman[0] grew[0] tired[-1] of[0] him[0] and[0] left[0] the[0] relationship[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the first half of the film is about the young man's plan to win her back . 	the first half of the film is about the young man's plan to win her back .	1	-1	 the[0] first[0] half[0] of[0] the[0] film[0] is[0] about[0] the[0] young[0] man's[0] plan[0] to[0] win[0] her[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course the thing is , she doesn't want to be won back , and has a nightclub owner friend of hers rough him up a bit . 	of course the thing is , she doesn't want to be won back , and has a nightclub owner friend of hers rough him up a bit .	2	-2	 of[0] course[0] the[0] thing[0] is[0] she[0] doesn't[0] want[0] to[0] be[0] won[0] back[0] and[0] has[0] a[0] nightclub[0] owner[0] friend[1] of[0] hers[0] rough[-1] him[0] up[0] a[0] bit[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the fight , the young man grabs a laptop computer belonging to a bystander and attempts to use it to fend off his attacker , but only ends up smashing it against a lamppost . 	in the fight , the young man grabs a laptop computer belonging to a bystander and attempts to use it to fend off his attacker , but only ends up smashing it against a lamppost .	1	-3	 in[0] the[0] fight[-2] the[0] young[0] man[0] grabs[-1] a[0] laptop[0] computer[0] belonging[0] to[0] a[0] bystander[0] and[0] attempts[0] to[0] use[0] it[0] to[0] fend[0] off[0] his[0] attacker[-2] but[0] only[0] ends[0] up[0] smashing[0] it[0] against[-1] a[0] lamppost[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we later find out that the laptop belongs to an older man who wishes to get his damaged computer replaced . 	we later find out that the laptop belongs to an older man who wishes to get his damaged computer replaced .	1	-1	 we[0] later[0] find[0] out[0] that[0] the[0] laptop[0] belongs[0] to[0] an[0] older[0] man[0] who[0] wishes[0] to[0] get[0] his[0] damaged[0] computer[0] replaced[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a funny scene ( the only one in the film ) where the young man tries to use some twisted logic in order to get the older man to seek out the nightclub owner ( baotian li ) in order to recoup his losses . 	there is a funny scene ( the only one in the film ) where the young man tries to use some twisted logic in order to get the older man to seek out the nightclub owner ( baotian li ) in order to recoup his losses .	2	-3	 there[0] is[0] a[0] funny[1] scene[0] the[0] only[0] one[0] in[0] the[0] film[0] where[0] the[0] young[0] man[0] tries[0] to[0] use[0] some[0] twisted[0] logic[0] in[0] order[0] to[0] get[0] the[0] older[0] man[0] to[0] seek[0] out[0] the[0] nightclub[0] owner[0] baotian[0] li[0] in[0] order[0] to[0] recoup[0] his[0] losses[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there is no sense to be made out of the young woman's behavior ; cold one minute , caring the next , so we feel no sympathy for her character . 	there is no sense to be made out of the young woman's behavior ; cold one minute , caring the next , so we feel no sympathy for her character .	3	-2	 there[0] is[0] no[0] sense[0] to[0] be[0] made[0] out[0] of[0] the[0] young[0] woman's[0] behavior[0] cold[-1] one[0] minute[0] caring[2] the[0] next[0] so[0] we[0] feel[0] no[0] sympathy[0] for[0] her[0] character[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the bookseller would be better off without her . 	the bookseller would be better off without her .	1	-1	 the[0] bookseller[0] would[0] be[0] better[0] off[0] without[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the second half of the film causes us to lose a lot of sympathy for the young bookseller as well , who is obsessed with chopping off the nightclub owner's hand as revenge for the beating he took , it also offers us some nice interaction between the bookseller and the older man . 	although the second half of the film causes us to lose a lot of sympathy for the young bookseller as well , who is obsessed with chopping off the nightclub owner's hand as revenge for the beating he took , it also offers us some nice interaction between the bookseller and the older man .	1	-3	 although[0] the[0] second[0] half[0] of[0] the[0] film[0] causes[0] us[0] to[0] lose[-1] a[0] lot[0] of[0] sympathy[0] for[0] the[0] young[0] bookseller[0] as[0] well[0] who[0] is[0] obsessed[-2] with[0] chopping[0] off[0] the[0] nightclub[0] owner's[0] hand[0] as[0] revenge[-1] for[0] the[0] beating[0] he[0] took[0] it[0] also[0] offers[0] us[0] some[0] nice[1][-1 LastWordBoosterStrength] interaction[0] between[0] the[0] bookseller[0] and[0] the[0] older[0] man[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
