one of the contributors to the destruction of the batman film franchise chris o'donnell stars in this remake of buster keaton's 1925 silent film seven chances . 	Translation	Positive	Negative	EmotionRationale
now i've never seen seven chances , as i'm more of a chaplin fan than a keaton fan , but i seriously doubt that the classic version could be as insipid as this . 	now i've never seen seven chances , as i'm more of a chaplin fan than a keaton fan , but i seriously doubt that the classic version could be as insipid as this .	1	-2	 now[0] i've[0] never[0] seen[0] seven[0] chances[0] as[0] i'm[0] more[0] of[0] a[0] chaplin[0] fan[0] than[0] a[0] keaton[0] fan[0] but[0] i[0] seriously[0] doubt[-1] that[0] the[0] classic[0] version[0] could[0] be[0] as[0] insipid[0] as[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
o'donnell plays jimmie shannon , the manager of a pool table manufacturing company . 	o'donnell plays jimmie shannon , the manager of a pool table manufacturing company .	2	-1	 o'donnell[0] plays[1] jimmie[0] shannon[0] the[0] manager[0] of[0] a[0] pool[0] table[0] manufacturing[0] company[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he also fears commitment , and despite dating anne ( renee zellweger ) for over three years , he's unwilling to marry her . 	he also fears commitment , and despite dating anne ( renee zellweger ) for over three years , he's unwilling to marry her .	1	-3	 he[0] also[0] fears[-2] commitment[0] and[0] despite[0] dating[0] anne[0] renee[0] zellweger[0] for[0] over[0] three[0] years[0] he's[0] unwilling[-1] to[0] marry[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his reasons ? 	his reasons ?	1	-1	 his[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well he's a guy you see , and well , guys are like stallions , and they apparently don't like to be roped or something ( hey , that's the movie's explanation . . . 	well he's a guy you see , and well , guys are like stallions , and they apparently don't like to be roped or something ( hey , that's the movie's explanation .<br> .<br> .	2	-2	 well[0] he's[0] a[0] guy[0] you[0] see[0] and[0] well[0] guys[0] are[0] like[1] stallions[0] and[0] they[0] apparently[0] don't[0] like[1][NegatedDueToPreviousWord] to[0] be[0] roped[0] or[0] something[0] hey[1] that's[0] the[0] movie's[0] explanation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'd marry renee zellweger in a second ) . 	i'd marry renee zellweger in a second ) .	1	-1	 i'd[0] marry[0] renee[0] zellweger[0] in[0] a[0] second[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually it comes time for jimmie to propose , and when he does , it's the most absurd proposal ever uttered by a man ever . 	eventually it comes time for jimmie to propose , and when he does , it's the most absurd proposal ever uttered by a man ever .	1	-2	 eventually[0] it[0] comes[0] time[0] for[0] jimmie[0] to[0] propose[0] and[0] when[0] he[0] does[0] it's[0] the[0] most[0] absurd[-1] proposal[0] ever[0] uttered[0] by[0] a[0] man[0] ever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he essentially says to her , " you win " and hands her a ring . 	he essentially says to her , " you win " and hands her a ring .	1	-1	 he[0] essentially[0] says[0] to[0] her[0] you[0] win[0] and[0] hands[0] her[0] a[0] ring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience should now hate this character . 	the audience should now hate this character .	1	-4	 the[0] audience[0] should[0] now[0] hate[-3] this[0] character[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i did . 	i did .	1	-1	 i[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then the meat of the plot presents itself . 	then the meat of the plot presents itself .	1	-1	 then[0] the[0] meat[0] of[0] the[0] plot[0] presents[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jimmie's grandfather ( peter ustinov , completely wasted ) dies and leaves jimmie his entire estate of 100 million dollars as well as ownership of the pool table business . 	jimmie's grandfather ( peter ustinov , completely wasted ) dies and leaves jimmie his entire estate of 100 million dollars as well as ownership of the pool table business .	1	-3	 jimmie's[0] grandfather[0] peter[0] ustinov[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] dies[0] and[0] leaves[0] jimmie[0] his[0] entire[0] estate[0] of[0] 100[0] million[0] dollars[0] as[0] well[0] as[0] ownership[0] of[0] the[0] pool[0] table[0] business[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , in order to get the money and save the jobs of the factory workers , jimmie must be married before his next birthday ( which is just over 24 hours away ) . 	however , in order to get the money and save the jobs of the factory workers , jimmie must be married before his next birthday ( which is just over 24 hours away ) .	2	-1	 however[0] in[0] order[0] to[0] get[0] the[0] money[0] and[0] save[1] the[0] jobs[0] of[0] the[0] factory[0] workers[0] jimmie[0] must[0] be[0] married[0] before[0] his[0] next[0] birthday[0] which[0] is[0] just[0] over[0] 24[0] hours[0] away[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
having blown his chances with anne , jimmie proceeds to track down all his prior girlfriends and suggest a " business proposition " . 	having blown his chances with anne , jimmie proceeds to track down all his prior girlfriends and suggest a " business proposition " .	1	-1	 having[0] blown[0] his[0] chances[0] with[0] anne[0] jimmie[0] proceeds[0] to[0] track[0] down[0] all[0] his[0] prior[0] girlfriends[0] and[0] suggest[0] a[0] business[0] proposition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie wasn't half bad by this time , surprisingly . 	the movie wasn't half bad by this time , surprisingly .	1	-2	 the[0] movie[0] wasn't[0] half[0] bad[-1] by[0] this[0] time[0] surprisingly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it wasn't boring me , and even managed to read my thoughts at one point . 	it wasn't boring me , and even managed to read my thoughts at one point .	1	-2	 it[0] wasn't[0] boring[-1] me[0] and[0] even[0] managed[0] to[0] read[0] my[0] thoughts[0] at[0] one[0] point[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ustinov's character left a video will , and while he's reading the ridiculous clause in it , i thought to myself " what is this , brewster's millions ? " . 	ustinov's character left a video will , and while he's reading the ridiculous clause in it , i thought to myself " what is this , brewster's millions ?<br> " .	1	-3	 ustinov's[0] character[0] left[0] a[0] video[0] will[0] and[0] while[0] he's[0] reading[0] the[0] ridiculous[-2] clause[0] in[0] it[0] i[0] thought[0] to[0] myself[0] what[0] is[0] this[0] brewster's[0] millions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as soon as i thought it , hal holbrook's character actually says " what is this , brewster's millions ? " 	as soon as i thought it , hal holbrook's character actually says " what is this , brewster's millions ?<br> "	1	-1	 as[0] soon[0] as[0] i[0] thought[0] it[0] hal[0] holbrook's[0] character[0] actually[0] says[0] what[0] is[0] this[0] brewster's[0] millions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was quite surreal . 	it was quite surreal .	1	-1	 it[0] was[0] quite[0] surreal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
something happens though during the film's final act that caused me to sharply drop the rating it was going to receive . 	something happens though during the film's final act that caused me to sharply drop the rating it was going to receive .	1	-2	 something[0] happens[0] though[0] during[0] the[0] film's[0] final[0] act[0] that[0] caused[0] me[0] to[0] sharply[0] drop[-1] the[0] rating[0] it[0] was[0] going[0] to[0] receive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
up to that point , all of jimmie's prior girlfriends had turned down his " business proposition " which i felt was good . 	up to that point , all of jimmie's prior girlfriends had turned down his " business proposition " which i felt was good .	2	-1	 up[0] to[0] that[0] point[0] all[0] of[0] jimmie's[0] prior[0] girlfriends[0] had[0] turned[0] down[0] his[0] business[0] proposition[0] which[0] i[0] felt[0] was[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least the film wasn't painting women to be cold hearted gold diggers . 	at least the film wasn't painting women to be cold hearted gold diggers .	1	-2	 at[0] least[0] the[0] film[0] wasn't[0] painting[0] women[0] to[0] be[0] cold[-1] hearted[0] gold[0] diggers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when jimmie has no other options , his goofy friend ( played by artie lange , making a career out of playing the goofy friend ) places an ad in the newspaper that somehow becomes a front page story . 	when jimmie has no other options , his goofy friend ( played by artie lange , making a career out of playing the goofy friend ) places an ad in the newspaper that somehow becomes a front page story .	2	-1	 when[0] jimmie[0] has[0] no[0] other[0] options[0] his[0] goofy[0] friend[1] played[0] by[0] artie[0] lange[0] making[0] a[0] career[0] out[0] of[0] playing[1] the[0] goofy[0] friend[1] places[0] an[0] ad[0] in[0] the[0] newspaper[0] that[0] somehow[0] becomes[0] a[0] front[0] page[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at this point , 100 , 000 women don wedding gowns and head off to persuade jimmie to pick them to be his bride . 	at this point , 100 , 00 women don wedding gowns and head off to persuade jimmie to pick them to be his bride .	1	-1	 at[0] this[0] point[0] 100[0] 000/00[0] women[0] don[0] wedding[0] gowns[0] and[0] head[0] off[0] to[0] persuade[0] jimmie[0] to[0] pick[0] them[0] to[0] be[0] his[0] bride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these women arrive at jimmie's location and immediately start bullying him about what he's looking for in a woman . 	these women arrive at jimmie's location and immediately start bullying him about what he's looking for in a woman .	1	-1	 these[0] women[0] arrive[0] at[0] jimmie's[0] location[0] and[0] immediately[0] start[0] bullying[0] him[0] about[0] what[0] he's[0] looking[0] for[0] in[0] a[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he's had enough of their unjustified attacks , he tells the angry mob that there's been a mistake and he won't be marrying any of them . 	when he's had enough of their unjustified attacks , he tells the angry mob that there's been a mistake and he won't be marrying any of them .	1	-4	 when[0] he's[0] had[0] enough[0] of[0] their[0] unjustified[-2] attacks[-2][-1 MultiplePositiveWords] he[0] tells[0] the[0] angry[-3] mob[0] that[0] there's[0] been[0] a[0] mistake[-1] and[0] he[0] won't[0] be[0] marrying[0] any[0] of[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as a result , the women proceed to chase him around the city , in hopes of catching him and tearing his limbs off . 	as a result , the women proceed to chase him around the city , in hopes of catching him and tearing his limbs off .	2	-2	 as[0] a[0] result[0] the[0] women[0] proceed[0] to[0] chase[-1] him[0] around[0] the[0] city[0] in[0] hopes[1] of[0] catching[0] him[0] and[0] tearing[0] his[0] limbs[0] off[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this goes on for the rest of the film . 	this goes on for the rest of the film .	1	-1	 this[0] goes[0] on[0] for[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's just chris o'donnell running from 100 , 000 obnoxious , greedy , angry and stupid women . 	it's just chris o'donnell running from 100 , 00 obnoxious , greedy , angry and stupid women .	1	-5	 it's[0] just[0] chris[0] o'donnell[0] running[0] from[0] 100[0] 000/00[0] obnoxious[-2] greedy[-2][-1 MultiplePositiveWords] angry[-3][-1 MultiplePositiveWords] and[0] stupid[-1] women[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
my groans of disgust could be heard for miles . 	my groans of disgust could be heard for miles .	1	-4	 my[0] groans[0] of[0] disgust[-3] could[0] be[0] heard[0] for[0] miles[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
