synopsis : wealthy cuban landowner luis ( banderas ) gets more than he bargained for when he sends away for an american bride . 	Translation	Positive	Negative	EmotionRationale
not only does his new wife turn out to be the beautiful julia ( jolie ) , she also harbours a secret past of dubious merit . 	not only does his new wife turn out to be the beautiful julia ( jolie ) , she also harbours a secret past of dubious merit .	3	-2	 not[0] only[0] does[0] his[0] new[0] wife[0] turn[0] out[0] to[0] be[0] the[0] beautiful[2] julia[0] jolie[0] she[0] also[0] harbours[0] a[0] secret[0] past[0] of[0] dubious[-1] merit[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
soon , julia has absconded with both luis' fortune and his heart , and as he pursues his wife through the cuban underworld , luis begins to realise that , for him , there is no turning back . 	soon , julia has absconded with both luis' fortune and his heart , and as he pursues his wife through the cuban underworld , luis begins to realise that , for him , there is no turning back .	1	-2	 soon[0] julia[0] has[0] absconded[-1] with[0] both[0] luis'[0] fortune[0] and[0] his[0] heart[0] and[0] as[0] he[0] pursues[0] his[0] wife[0] through[0] the[0] cuban[0] underworld[-1] luis[0] begins[0] to[0] realise[0] that[0] for[0] him[0] there[0] is[0] no[0] turning[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
review : given the absurdism of its would-be plot , it's unlikely that " original sin " could have been turned into a reputable piece of filmmaking , regardless of writer , director or stars . 	review : given the absurdism of its would-be plot , it's unlikely that " original sin " could have been turned into a reputable piece of filmmaking , regardless of writer , director or stars .	1	-2	 review[0] given[0] the[0] absurdism[-1] of[0] its[0] would[0] be[0] plot[0] it's[0] unlikely[0] that[0] original[0] sin[-1] could[0] have[0] been[0] turned[0] into[0] a[0] reputable[0] piece[0] of[0] filmmaking[0] regardless[-1] of[0] writer[0] director[0] or[0] stars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is , at its heart , b-movie junk : a lurid melodrama which appeals to neither the brain nor the heart but to the nether regions . 	this is , at its heart , b-movie junk : a lurid melodrama which appeals to neither the brain nor the heart but to the nether regions .	1	-2	 this[0] is[0] at[0] its[0] heart[0] b[0] movie[0] junk[-1] a[0] lurid[0] melodrama[0] which[0] appeals[0] to[0] neither[0] the[0] brain[0] nor[0] the[0] heart[0] but[0] to[0] the[0] nether[0] regions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that said , " original sin " could at least have become enjoyable junk had the filmmakers embraced its trashiness and indulged in it . 	that said , " original sin " could at least have become enjoyable junk had the filmmakers embraced its trashiness and indulged in it .	3	-2	 that[0] said[0] original[0] sin[-1] could[0] at[0] least[0] have[0] become[0] enjoyable[2] junk[-1] had[0] the[0] filmmakers[0] embraced[0] its[0] trashiness[-1] and[0] indulged[0] in[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
instead , cristofer seems to have mistaken this for a serious production , and directs it as such . 	instead , cristofer seems to have mistaken this for a serious production , and directs it as such .	1	-2	 instead[0] cristofer[0] seems[0] to[0] have[0] mistaken[-1] this[0] for[0] a[0] serious[-1] production[0] and[0] directs[0] it[0] as[0] such[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result is a vapid , uninteresting morass of obvious crosses and double crosses , as likely to incite a yawn as a thrill . 	the result is a vapid , uninteresting morass of obvious crosses and double crosses , as likely to incite a yawn as a thrill .	4	-2	 the[0] result[0] is[0] a[0] vapid[0] uninteresting[0] morass[0] of[0] obvious[0] crosses[0] and[0] double[0] crosses[0] as[0] likely[0] to[0] incite[0] a[0] yawn[-1] as[0] a[0] thrill[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
consider the initial sex scene between banderas and jolie : brightly-lit and mostly filmed from above , it looks like an excerpt from an amateur soft porn show . 	consider the initial sex scene between banderas and jolie : brightly-lit and mostly filmed from above , it looks like an excerpt from an amateur soft porn show .	2	-1	 consider[0] the[0] initial[0] sex[0] scene[0] between[0] banderas[0] and[0] jolie[0] brightly[0] lit[0] and[0] mostly[0] filmed[0] from[0] above[0] it[0] looks[0] like[1] an[0] excerpt[0] from[0] an[0] amateur[0] soft[0] porn[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cristofer doesn't even manage to capture the allure of cuba ; instead of portraying his setting as a steamy , sensuous island paradise , it appears bland and lifeless . 	cristofer doesn't even manage to capture the allure of cuba ; instead of portraying his setting as a steamy , sensuous island paradise , it appears bland and lifeless .	4	-2	 cristofer[0] doesn't[0] even[0] manage[0] to[0] capture[-1] the[0] allure[0] of[0] cuba[0] instead[0] of[0] portraying[0] his[0] setting[0] as[0] a[0] steamy[0] sensuous[0] island[0] paradise[3] it[0] appears[0] bland[-1] and[0] lifeless[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
at least banderas and jolie manage to inspire some interest ; there are hints at times that they want to have more fun with the script , but aren't being given the chance . 	at least banderas and jolie manage to inspire some interest ; there are hints at times that they want to have more fun with the script , but aren't being given the chance .	3	-1	 at[0] least[0] banderas[0] and[0] jolie[0] manage[0] to[0] inspire[2] some[0] interest[1][-1 LastWordBoosterStrength] there[0] are[0] hints[0] at[0] times[0] that[0] they[0] want[0] to[0] have[0] more[0] fun[1] with[0] the[0] script[0] but[0] aren't[0] being[0] given[0] the[0] chance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the same cannot be said of jane , whose billy is nebbish and transparent . 	the same cannot be said of jane , whose billy is nebbish and transparent .	1	-1	 the[0] same[0] cannot[0] be[0] said[0] of[0] jane[0] whose[0] billy[0] is[0] nebbish[0] and[0] transparent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also unwise is the jolie framing sequence , which practically gives away the film's denouement . 	also unwise is the jolie framing sequence , which practically gives away the film's denouement .	1	-2	 also[0] unwise[-1] is[0] the[0] jolie[0] framing[0] sequence[0] which[0] practically[0] gives[0] away[0] the[0] film's[0] denouement[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
