this well-conceived but ultra sugary coming-of-age film is not for everyone , and i include myself as one of those who found it too sappy for my digestion . 	Translation	Positive	Negative	EmotionRationale
joseph cross ( joshua beal ) is a 10-year-old who is saddened by the recent loss of his grandfather ( loggia ) to bone marrow cancer . 	joseph cross ( joshua beal ) is a 10-year-old who is saddened by the recent loss of his grandfather ( loggia ) to bone marrow cancer .	1	-4	 joseph[0] cross[-1] joshua[0] beal[0] is[0] a[0] 10[0] year[0] old[0] who[0] is[0] saddened[-3] by[0] the[0] recent[0] loss[-2] of[0] his[0] grandfather[0] loggia[0] to[0] bone[0] marrow[0] cancer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
loggia is wonderful in relating to the child in such a wholesome manner , it almost saves this film from drowning in syrup . 	loggia is wonderful in relating to the child in such a wholesome manner , it almost saves this film from drowning in syrup .	3	-2	 loggia[0] is[0] wonderful[2] in[0] relating[0] to[0] the[0] child[0] in[0] such[0] a[0] wholesome[0] manner[0] it[0] almost[0] saves[1] this[0] film[0] from[0] drowning[-1] in[0] syrup[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the beals are like a sitcom idyllic family , where everyone is just so nice and affluent , and properly religious without being fanatical . 	the beals are like a sitcom idyllic family , where everyone is just so nice and affluent , and properly religious without being fanatical .	2	-2	 the[0] beals[0] are[0] like[1] a[0] sitcom[0] idyllic[0] family[0] where[0] everyone[0] is[0] just[0] so[0] nice[1] and[0] affluent[0] and[0] properly[0] religious[0] without[0] being[0] fanatical[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the beals , the father ( denis leary ) and his wife ( dana delany ) , are both successful doctors ; julia stiles plays joshua's older sister , needling her younger brother but also showing that she really cares about him . 	the beals , the father ( denis leary ) and his wife ( dana delany ) , are both successful doctors ; julia stiles plays joshua's older sister , needling her younger brother but also showing that she really cares about him .	3	-1	 the[0] beals[0] the[0] father[0] denis[0] leary[0] and[0] his[0] wife[0] dana[0] delany[0] are[0] both[0] successful[2] doctors[0] julia[0] stiles[0] plays[1] joshua's[0] older[0] sister[0] needling[0] her[0] younger[0] brother[0] but[0] also[0] showing[0] that[0] she[0] really[0] cares[1][1 LastWordBoosterStrength] about[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is a family seemingly conceived in heaven , but living in south philadelphia , sending their children to a well-run catholic school . 	this is a family seemingly conceived in heaven , but living in south philadelphia , sending their children to a well-run catholic school .	2	-1	 this[0] is[0] a[0] family[0] seemingly[0] conceived[0] in[0] heaven[1] but[0] living[0] in[0] south[0] philadelphia[0] sending[0] their[0] children[0] to[0] a[0] well[0] run[0] catholic[0] school[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
joshua , the protagonist and the narrator of this yarn , is a handsome , sweet , intelligent , friendly , and endearing child , who does well in school , relates to the nuns and priests , and talks politely to his well-meaning parents . 	joshua , the protagonist and the narrator of this yarn , is a handsome , sweet , intelligent , friendly , and endearing child , who does well in school , relates to the nuns and priests , and talks politely to his well-meaning parents .	2	-1	 joshua[0] the[0] protagonist[0] and[0] the[0] narrator[0] of[0] this[0] yarn[0] is[0] a[0] handsome[1] sweet[1] intelligent[1] friendly[1] and[0] endearing[0] child[0] who[0] does[0] well[0] in[0] school[0] relates[0] to[0] the[0] nuns[0] and[0] priests[0] and[0] talks[0] politely[0] to[0] his[0] well[0] meaning[0] parents[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all this mawkish interplay makes it almost too nauseating to watch . 	all this mawkish interplay makes it almost too nauseating to watch .	1	-1	 all[0] this[0] mawkish[0] interplay[0] makes[0] it[0] almost[0] too[0] nauseating[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot arises when joseph has a problem coping with the death of his beloved grandfather , who promised to be with him forever . 	the plot arises when joseph has a problem coping with the death of his beloved grandfather , who promised to be with him forever .	3	-3	 the[0] plot[0] arises[0] when[0] joseph[0] has[0] a[0] problem[-1] coping[0] with[0] the[0] death[-2] of[0] his[0] beloved[2] grandfather[0] who[0] promised[1] to[0] be[0] with[0] him[0] forever[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
his answer is to search for god , pretty heady stuff for a youngster his age to do , but that's just the way it is , sometimes . 	his answer is to search for god , pretty heady stuff for a youngster his age to do , but that's just the way it is , sometimes .	3	-1	 his[0] answer[0] is[0] to[0] search[0] for[0] god[0] pretty[2] heady[0] stuff[0] for[0] a[0] youngster[0] his[0] age[0] to[0] do[0] but[0] that's[0] just[0] the[0] way[0] it[0] is[0] sometimes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this search for god takes us nowhere because , as his friend david ( reifsnyder ) says , where can you look for him if he doesn't exist . 	this search for god takes us nowhere because , as his friend david ( reifsnyder ) says , where can you look for him if he doesn't exist .	2	-1	 this[0] search[0] for[0] god[0] takes[0] us[0] nowhere[0] because[0] as[0] his[0] friend[1] david[0] reifsnyder[0] says[0] where[0] can[0] you[0] look[0] for[0] him[0] if[0] he[0] doesn't[0] exist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
