 " the animal " is a marginally inspired comedy that only manages to lumber along , generating just enough momentum to keep it from stalling . 	Translation	Positive	Negative	EmotionRationale
it's clunky and slow , like watching an 18-wheeler trying to accelerate up a hill . 	it's clunky and slow , like watching an 18-wheeler trying to accelerate up a hill .	2	-1	 it's[0] clunky[0] and[0] slow[0] like[1] watching[0] an[0] 18[0] wheeler[0] trying[0] to[0] accelerate[0] up[0] a[0] hill[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are certainly better things you can do with your time . 	there are certainly better things you can do with your time .	1	-1	 there[0] are[0] certainly[0] better[0] things[0] you[0] can[0] do[0] with[0] your[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , if you've seen the trailer , then you already know the plot and have seen its funniest moments . 	actually , if you've seen the trailer , then you already know the plot and have seen its funniest moments .	2	-1	 actually[0] if[0] you've[0] seen[0] the[0] trailer[0] then[0] you[0] already[0] know[0] the[0] plot[0] and[0] have[0] seen[0] its[0] funniest[1] moments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story centers on bland marvin ( rob schneider ) , who is an evidence clerk at the local police department that yearns to be a real officer . 	the story centers on bland marvin ( rob schneider ) , who is an evidence clerk at the local police department that yearns to be a real officer .	1	-2	 the[0] story[0] centers[0] on[0] bland[-1] marvin[0] rob[0] schneider[0] who[0] is[0] an[0] evidence[0] clerk[0] at[0] the[0] local[0] police[0] department[0] that[0] yearns[-1] to[0] be[0] a[0] real[0] officer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but he's afflicted with loser-itis . 	but he's afflicted with loser-itis .	1	-3	 but[0] he's[0] afflicted[-2] with[0] loser[-2] itis[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dogs attack him , neighbors torment him , children bully him , and his co-workers ignore him . 	dogs attack him , neighbors torment him , children bully him , and his co-workers ignore him .	1	-3	 dogs[0] attack[-2] him[0] neighbors[0] torment[-1] him[0] children[0] bully[0] him[0] and[0] his[0] co[0] workers[0] ignore[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
truthfully , with his bad haircut ( seemingly modeled after weird al yankovic , little richard , and giant poodles ) and his unenthusiastic demeanor , we'd probably throw tomatoes at him just for fun . 	truthfully , with his bad haircut ( seemingly modeled after weird al yankovic , little richard , and giant poodles ) and his unenthusiastic demeanor , we'd probably throw tomatoes at him just for fun .	2	-2	 truthfully[1] with[0] his[0] bad[-1] haircut[0] seemingly[0] modeled[0] after[0] weird[-1] al[0] yankovic[0] little[0] richard[0] and[0] giant[0] poodles[0] and[0] his[0] unenthusiastic[0] demeanor[0] we'd[0] probably[0] throw[0] tomatoes[0] at[0] him[0] just[0] for[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is actually bad because you can't like a character if you can't develop sympathy for him . 	this is actually bad because you can't like a character if you can't develop sympathy for him .	1	-2	 this[0] is[0] actually[0] bad[-1] because[0] you[0] can't[0] like[1][NegatedDueToPreviousWord] a[0] character[0] if[0] you[0] can't[0] develop[0] sympathy[0] for[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we never do , and it may be just as well that he drives off a cliff and plummets to the canyon floor . 	we never do , and it may be just as well that he drives off a cliff and plummets to the canyon floor .	1	-1	 we[0] never[0] do[0] and[0] it[0] may[0] be[0] just[0] as[0] well[0] that[0] he[0] drives[0] off[0] a[0] cliff[0] and[0] plummets[0] to[0] the[0] canyon[0] floor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , marvin is found by an eccentric doctor ( michael caton ) who uses a radical and experimental procedure to save him , implanting our doofus with various animal parts and organs . 	however , marvin is found by an eccentric doctor ( michael caton ) who uses a radical and experimental procedure to save him , implanting our doofus with various animal parts and organs .	2	-2	 however[0] marvin[0] is[0] found[0] by[0] an[0] eccentric[-1] doctor[0] michael[0] caton[0] who[0] uses[0] a[0] radical[-1] and[0] experimental[0] procedure[0] to[0] save[1] him[0] implanting[0] our[0] doofus[0] with[0] various[0] animal[0] parts[0] and[0] organs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as a result , marvin develops heightened senses and increased agility and speed . 	as a result , marvin develops heightened senses and increased agility and speed .	1	-1	 as[0] a[0] result[0] marvin[0] develops[0] heightened[0] senses[0] and[0] increased[0] agility[0] and[0] speed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he can smell drugs hidden anywhere on a body , swim with the speed of a dolphin , and can run as fast as a cheetah . 	he can smell drugs hidden anywhere on a body , swim with the speed of a dolphin , and can run as fast as a cheetah .	1	-1	 he[0] can[0] smell[0] drugs[0] hidden[0] anywhere[0] on[0] a[0] body[0] swim[0] with[0] the[0] speed[0] of[0] a[0] dolphin[0] and[0] can[0] run[0] as[0] fast[0] as[0] a[0] cheetah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
imagine the comedic possibilities that arise from this operation . 	imagine the comedic possibilities that arise from this operation .	1	-1	 imagine[0] the[0] comedic[0] possibilities[0] that[0] arise[0] from[0] this[0] operation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with his enhanced abilities , he could now reap vengeance on all those who have shunned him . 	with his enhanced abilities , he could now reap vengeance on all those who have shunned him .	1	-3	 with[0] his[0] enhanced[0] abilities[0] he[0] could[0] now[0] reap[0] vengeance[-2] on[0] all[0] those[0] who[0] have[0] shunned[-1] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , the spirit of the film takes a raunchy turn , and instead , marvin spends most of his time trying to subdue or satiate his voracious appetite and his animalistic , sexual urges . 	however , the spirit of the film takes a raunchy turn , and instead , marvin spends most of his time trying to subdue or satiate his voracious appetite and his animalistic , sexual urges .	1	-1	 however[0] the[0] spirit[0] of[0] the[0] film[0] takes[0] a[0] raunchy[0] turn[0] and[0] instead[0] marvin[0] spends[0] most[0] of[0] his[0] time[0] trying[0] to[0] subdue[0] or[0] satiate[0] his[0] voracious[0] appetite[0] and[0] his[0] animalistic[0] sexual[0] urges[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
goats beware ! 	goats beware !	1	-2	 goats[0] beware[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also chases cats , urinates to mark his territory , or growls at his enemies . 	he also chases cats , urinates to mark his territory , or growls at his enemies .	1	-2	 he[0] also[0] chases[-1] cats[0] urinates[0] to[0] mark[0] his[0] territory[0] or[0] growls[0] at[0] his[0] enemies[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what he should've done was stick his head in the sand like an ostrich . 	what he should've done was stick his head in the sand like an ostrich .	2	-1	 what[0] he[0] should've[0] done[0] was[0] stick[0] his[0] head[0] in[0] the[0] sand[0] like[1] an[0] ostrich[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
