this was the last carry on movie ( if you discount 'carry on columbus' as a carry on movie ) and was made by a new production company . 	Translation	Positive	Negative	EmotionRationale
based in central london , this movie is about the attempts by emmanuelle prevert ( suzanne danielle ) to bed her husband emile the french ambassador ( kenneth williams ) . 	based in central london , this movie is about the attempts by emmanuelle prevert ( suzanne danielle ) to bed her husband emile the french ambassador ( kenneth williams ) .	1	-1	 based[0] in[0] central[0] london[0] this[0] movie[0] is[0] about[0] the[0] attempts[0] by[0] emmanuelle[0] prevert[0] suzanne[0] danielle[0] to[0] bed[0] her[0] husband[0] emile[0] the[0] french[0] ambassador[0] kenneth[0] williams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he seems unwilling , she is given his permission to bed anyone she likes , such as the prime minister and the u . s . ambassador . 	when he seems unwilling , she is given his permission to bed anyone she likes , such as the prime minister and the you .<br> s .<br> ambassador .	3	-2	 when[0] he[0] seems[0] unwilling[-1] she[0] is[0] given[0] his[0] permission[0] to[0] bed[0] anyone[0] she[0] likes[2] such[0] as[0] the[0] prime[0] minister[0] and[0] the[0] u[0] [[Sentence=-2,3=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] ambassador[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
her antics get her into trouble and the british press spread these rumours all over their front pages . 	her antics get her into trouble and the british press spread these rumours all over their front pages .	1	-2	 her[0] antics[0] get[0] her[0] into[0] trouble[-1] and[0] the[0] british[0] press[0] spread[0] these[0] rumours[0] all[0] over[0] their[0] front[0] pages[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is invited to talk on television to set the record straight but only confirms the rumours instead . 	she is invited to talk on television to set the record straight but only confirms the rumours instead .	1	-1	 she[0] is[0] invited[0] to[0] talk[0] on[0] television[0] to[0] set[0] the[0] record[0] straight[0] but[0] only[0] confirms[0] the[0] rumours[0] instead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , theodore valentine ( larry dann ) is in love with emmannuelle after a chance encounter in the toilet of the concorde and is determined to marry her . 	meanwhile , theodore valentine ( larry dan ) is in love with emmannuelle after a chance encounter in the toilet of the concorde and is determined to marry her .	3	-1	 meanwhile[0] theodore[0] valentine[0] larry[0] dann/dan[0] is[0] in[0] love[2] with[0] emmannuelle[0] after[0] a[0] chance[0] encounter[0] in[0] the[0] toilet[0] of[0] the[0] concorde[0] and[0] is[0] determined[0] to[0] marry[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , she is only interested in restoring her husband's ardour which seems a little difficult after emile's accident with a church spire ! 	however , she is only interested in restoring her husband's ardour which seems a little difficult after emile's accident with a church spire !	2	-2	 however[0] she[0] is[0] only[0] interested[1] in[0] restoring[0] her[0] husband's[0] ardour[0] which[0] seems[0] a[0] little[0] difficult[-1] after[0] emile's[0] accident[-1] with[0] a[0] church[0] spire[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film is the second worst carry on movie , the worst being 'carry on england' . 	this film is the second worst carry on movie , the worst being 'carry on england' .	1	-3	 this[0] film[0] is[0] the[0] second[0] worst[-2] carry[0] on[0] movie[0] the[0] worst[-2] being[0] 'carry[0] on[0] england'[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is embarassing to see some of the remaining regulars struggle through this diabolical script by lance peters and try to pull off some of the crude and tasteless jokes that he has written . 	it is embarassing to see some of the remaining regulars struggle through this diabolical script by lance peters and try to pull off some of the crude and tasteless jokes that he has written .	2	-2	 it[0] is[0] embarassing[0] to[0] see[0] some[0] of[0] the[0] remaining[0] regulars[0] struggle[-1] through[0] this[0] diabolical[-1] script[0] by[0] lance[0] peters[0] and[0] try[0] to[0] pull[0] off[0] some[0] of[0] the[0] crude[-1] and[0] tasteless[0] jokes[1] that[0] he[0] has[0] written[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
newcomers suzanne danielle and beryl reid ( as mrs . valentine ) are mildly funny , but larry dann as theodore is excruciatingly bad . 	newcomers suzanne danielle and beryl reid ( as mrs .<br> valentine ) are mildly funny , but larry dan as theodore is excruciatingly bad .	2	-5	 newcomers[0] suzanne[0] danielle[0] and[0] beryl[0] reid[0] as[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] valentine[0] are[0] mildly[0] funny[1] but[0] larry[0] dann/dan[0] as[0] theodore[0] is[0] excruciatingly[-4] bad[-1] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
kenneth williams only appears in a few scenes and his lacklustre performance is warranted , given the script . 	kenneth williams only appears in a few scenes and his lacklustre performance is warranted , given the script .	1	-1	 kenneth[0] williams[0] only[0] appears[0] in[0] a[0] few[0] scenes[0] and[0] his[0] lacklustre[0] performance[0] is[0] warranted[0] given[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the small parts for jack douglas as lyons the butler , joan sims as mrs . dangle , kenneth connor as leyland the chauffeur , and peter butterworth as richmond , are worthless and embarassing . 	the small parts for jack douglas as lyons the butler , joan sims as mrs .<br> dangle , kenneth connor as leyland the chauffeur , and peter butterworth as richmond , are worthless and embarassing .	1	-3	 the[0] small[0] parts[0] for[0] jack[0] douglas[0] as[0] lyons[0] the[0] butler[0] joan[0] sims[0] as[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] dangle[0] kenneth[0] connor[0] as[0] leyland[0] the[0] chauffeur[0] and[0] peter[0] butterworth[0] as[0] richmond[0] are[0] worthless[-2] and[0] embarassing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , all four parts are surplus to requirements . 	in fact , all four parts are surplus to requirements .	1	-1	 in[0] fact[0] all[0] four[0] parts[0] are[0] surplus[0] to[0] requirements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the only humourous scene in the film is when the four of them and emmannuelle talk about their most amourous escapades . 	however , the only humourous scene in the film is when the four of them and emmannuelle talk about their most amourous escapades .	3	-1	 however[0] the[0] only[0] humourous[2] scene[0] in[0] the[0] film[0] is[0] when[0] the[0] four[0] of[0] them[0] and[0] emmannuelle[0] talk[0] about[0] their[0] most[0] amourous[0] escapades[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
