watching the movie , i vowed to subtract half a star from the review because the filmmakers included a saccharine syrup , cute 'n cuddly , computer-generated monkey . 	Translation	Positive	Negative	EmotionRationale
if the monkey died , the movie got an extra half star . 	if the monkey died , the movie got an extra half star .	1	-1	 if[0] the[0] monkey[0] died[0] the[0] movie[0] got[0] an[0] extra[0] half[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alas , the monkey showed up at the end , unharmed , to the wet sickly sound of gagging and rolling eyeballs . 	alas , the monkey showed up at the end , unharmed , to the wet sickly sound of gagging and rolling eyeballs .	1	-2	 alas[-1] the[0] monkey[0] showed[0] up[0] at[0] the[0] end[0] unharmed[0] to[0] the[0] wet[0] sickly[-1] sound[0] of[0] gagging[0] and[0] rolling[0] eyeballs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what that means is that lost in space actually deserved 2 stars . 	what that means is that lost in space actually deserved 2 stars .	1	-1	 what[0] that[0] means[0] is[0] that[0] lost[0] in[0] space[0] actually[0] deserved[0] 2[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's pretty generous , considering the movie's camp lacked any hint of tongue in cheek . 	that's pretty generous , considering the movie's camp lacked any hint of tongue in cheek .	3	-1	 that's[0] pretty[2] generous[1] considering[0] the[0] movie's[0] camp[0] lacked[0] any[0] hint[0] of[0] tongue[0] in[0] cheek[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when will robinson ( jack johnson ) teaches his pet robot about friendship , you are actually supposed to buy it . 	when will robinson ( jack johnson ) teaches his pet robot about friendship , you are actually supposed to buy it .	2	-1	 when[0] will[0] robinson[0] jack[0] johnson[0] teaches[0] his[0] pet[0] robot[0] about[0] friendship[1] you[0] are[0] actually[0] supposed[0] to[0] buy[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so why such a seemingly high rating ? 	so why such a seemingly high rating ?	1	-1	 so[0] why[0] such[0] a[0] seemingly[0] high[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a few reasons that made me unable to throw away the experience with the garbage . 	there are a few reasons that made me unable to throw away the experience with the garbage .	1	-3	 there[0] are[0] a[0] few[0] reasons[0] that[0] made[0] me[0] unable[0] to[0] throw[0] away[0] the[0] experience[0] with[0] the[0] garbage[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first , we saw the movie on opening night of the first day of operation of a brand new theater . 	first , we saw the movie on opening night of the first day of operation of a brand new theater .	1	-1	 first[0] we[0] saw[0] the[0] movie[0] on[0] opening[0] night[0] of[0] the[0] first[0] day[0] of[0] operation[0] of[0] a[0] brand[0] new[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sound and screen kicked ass . 	the sound and screen kicked ass .	1	-2	 the[0] sound[0] and[0] screen[0] kicked[-1] ass[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nobody in the country enjoyed the movie as much as my audience did ( and i don't necessarily mean that in a good way ) . 	nobody in the country enjoyed the movie as much as my audience did ( and i don't necessarily mean that in a good way ) .	3	-1	 nobody[0] in[0] the[0] country[0] enjoyed[2] the[0] movie[0] as[0] much[0] as[0] my[0] audience[0] did[0] and[0] i[0] don't[0] necessarily[0] mean[0] that[0] in[0] a[0] good[1] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
