i am continually amazed at movies like this . 	Translation	Positive	Negative	EmotionRationale
that some producer would waste an abundance of talent and money on a script as abysmal as this one is mind-boggeling , but it seems to happen a lot nowadays . 	that some producer would waste an abundance of talent and money on a script as abysmal as this one is mind-boggeling , but it seems to happen a lot nowadays .	2	-1	 that[0] some[0] producer[0] would[0] waste[-1][--1 LastWordBoosterStrength] an[0] abundance[0] of[0] talent[1] and[0] money[0] on[0] a[0] script[0] as[0] abysmal[0] as[0] this[0] one[0] is[0] mind[0] boggeling[0] but[0] it[0] seems[0] to[0] happen[0] a[0] lot[0] nowadays[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " wild wild west " is a beautifully filmed , well acted , and well directed piece of garbage ; and its insipid screenplay is completely at fault . 	 " wild wild west " is a beautifully filmed , well acted , and well directed piece of garbage ; and its insipid screenplay is completely at fault .	3	-3	 wild[0] wild[0] west[0] is[0] a[0] beautifully[2] filmed[0] well[0] acted[0] and[0] well[0] directed[0] piece[0] of[0] garbage[-2] and[0] its[0] insipid[0] screenplay[0] is[0] completely[0] at[0] fault[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in short , this movie is a comedy without laughs . 	in short , this movie is a comedy without laughs .	2	-1	 in[0] short[0] this[0] movie[0] is[0] a[0] comedy[0] without[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so many jokes fall flat that it borderlines surreal . 	so many jokes fall flat that it borderlines surreal .	2	-1	 so[0] many[0] jokes[1] fall[0] flat[0] that[0] it[0] borderlines[0] surreal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the high production values keep it from being a total fiasco , but it's still pretty boring . 	the high production values keep it from being a total fiasco , but it's still pretty boring .	3	-3	 the[0] high[0] production[0] values[1] keep[0] it[0] from[0] being[0] a[0] total[0] fiasco[-1][-1 LastWordBoosterStrength] but[0] it's[0] still[0] pretty[2] boring[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
will smith stars as jim west , an old western , r&b variation of the james bond character . 	will smith stars as jim west , an old western , r&b variation of the james bond character .	1	-1	 will[0] smith[0] stars[0] as[0] jim[0] west[0] an[0] old[0] western[0] r&b[0] variation[0] of[0] the[0] james[0] bond[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
west is teamed up with artemus gordon ( kevin kline ) , and they're pretty much polar oppisites : west prefers to solve his problems with an array of bullets , gordon traditionally favors a more pacifistic approach . 	west is teamed up with artemus gordon ( kevin kline ) , and they're pretty much polar oppisites : west prefers to solve his problems with an array of bullets , gordon traditionally favors a more pacifistic approach .	3	-2	 west[0] is[0] teamed[0] up[0] with[0] artemus[0] gordon[0] kevin[0] kline[0] and[0] they're[0] pretty[2] much[0] polar[0] oppisites[0] west[0] prefers[0] to[0] solve[0] his[0] problems[-1] with[0] an[0] array[0] of[0] bullets[-1] gordon[0] traditionally[0] favors[1] a[0] more[0] pacifistic[0] approach[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
talk about deeply developed characters . 	talk about deeply developed characters .	1	-1	 talk[0] about[0] deeply[0] developed[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at any rate , this leads to the inevitable conflicts between methodologies , none of which are funny . 	at any rate , this leads to the inevitable conflicts between methodologies , none of which are funny .	2	-2	 at[0] any[0] rate[0] this[0] leads[0] to[0] the[0] inevitable[0] conflicts[-1] between[0] methodologies[0] none[0] of[0] which[0] are[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the year is 1869 . 	the year is 1869 .	1	-1	 the[0] year[0] is[0] 1869[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
several top scientists have been abducted , and the suspected culprit is a disgruntled former confederate general , bloodbath mcgrath ( ted levine ) . 	several top scientists have been abducted , and the suspected culprit is a disgruntled former confederate general , bloodbath mcgrath ( ted levine ) .	1	-2	 several[0] top[0] scientists[0] have[0] been[0] abducted[0] and[0] the[0] suspected[0] culprit[-1] is[0] a[0] disgruntled[0] former[0] confederate[0] general[0] bloodbath[0] mcgrath[0] ted[0] levine[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
president grant sends west and gordon to investigate . 	president grant sends west and gordon to investigate .	1	-1	 president[0] grant[0] sends[0] west[0] and[0] gordon[0] to[0] investigate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's evidence that mcgrath is attending some sort of confederate reunion in louisiana . 	there's evidence that mcgrath is attending some sort of confederate reunion in louisiana .	1	-1	 there's[0] evidence[0] that[0] mcgrath[0] is[0] attending[0] some[0] sort[0] of[0] confederate[0] reunion[0] in[0] louisiana[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
west and gordon show up and learn that mcgrath is actually working for dr . arliss loveless ( kenneth branagh ) , another disgruntled former confederate . 	west and gordon show up and learn that mcgrath is actually working for dr .<br> arliss loveless ( kenneth branagh ) , another disgruntled former confederate .	1	-3	 west[0] and[0] gordon[0] show[0] up[0] and[0] learn[0] that[0] mcgrath[0] is[0] actually[0] working[0] for[0] dr[0] [[Sentence=-1,1=word max, 1-5]] arliss[0] loveless[-2] kenneth[0] branagh[0] another[0] disgruntled[0] former[0] confederate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as it turns out , loveless plans to use the combined knowledge of the scientests to create the ultimate super weapon , which he will use to conquer the united states . 	as it turns out , loveless plans to use the combined knowledge of the scientests to create the ultimate super weapon , which he will use to conquer the united states .	3	-3	 as[0] it[0] turns[0] out[0] loveless[-2] plans[0] to[0] use[0] the[0] combined[0] knowledge[0] of[0] the[0] scientests[0] to[0] create[0] the[0] ultimate[0] super[2] weapon[-1] which[0] he[0] will[0] use[0] to[0] conquer[0] the[0] united[0] states[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i'd go further with the plot , but there isn't any point . 	i'd go further with the plot , but there isn't any point .	1	-1	 i'd[0] go[0] further[0] with[0] the[0] plot[0] but[0] there[0] isn't[0] any[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film's narrative is little more than a jumbled , unfunny mess . 	this film's narrative is little more than a jumbled , unfunny mess .	1	-1	 this[0] film's[0] narrative[0] is[0] little[0] more[0] than[0] a[0] jumbled[0] unfunny[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i only laughed at a couple of jokes , and then only lightly . 	i only laughed at a couple of jokes , and then only lightly .	2	-1	 i[0] only[0] laughed[1] at[0] a[0] couple[0] of[0] jokes[1] and[0] then[0] only[0] lightly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
