the event horizon is the boundary of a black hole . . . 	Translation	Positive	Negative	EmotionRationale
and , in the future , it's also the name of a spaceship that vanished when it tried to go faster than the speed of light by traversing through its own portable black hole . 	and , in the future , it's also the name of a spaceship that vanished when it tried to go faster than the speed of light by traversing through its own portable black hole .	1	-2	 and[0] in[0] the[0] future[0] it's[0] also[0] the[0] name[0] of[0] a[0] spaceship[0] that[0] vanished[-1] when[0] it[0] tried[0] to[0] go[0] faster[0] than[0] the[0] speed[0] of[0] light[0] by[0] traversing[0] through[0] its[0] own[0] portable[0] black[0] hole[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
naturally , this is the setup for the other event horizon . . . 	naturally , this is the setup for the other event horizon .<br> .<br> .	1	-1	 naturally[0] this[0] is[0] the[0] setup[0] for[0] the[0] other[0] event[0] horizon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie . 	the movie .	1	-1	 the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the ship suddenly appears at the point that it vanished at , just outside of neptune , the crew of the ship called the " lewis and clark " has to go to investigate , and dr . william weir , the creator of the " event horizon , " gets to come along for the ride . 	when the ship suddenly appears at the point that it vanished at , just outside of neptune , the crew of the ship called the " lewis and clark " has to go to investigate , and dr .<br> william weir , the creator of the " event horizon , " gets to come along for the ride .	1	-2	 when[0] the[0] ship[0] suddenly[0] appears[0] at[0] the[0] point[0] that[0] it[0] vanished[-1] at[0] just[0] outside[0] of[0] neptune[0] the[0] crew[0] of[0] the[0] ship[0] called[0] the[0] lewis[0] and[0] clark[0] has[0] to[0] go[0] to[0] investigate[0] and[0] dr[0] [[Sentence=-2,1=word max, 1-5]] william[0] weir[0] the[0] creator[0] of[0] the[0] event[0] horizon[0] gets[0] to[0] come[0] along[0] for[0] the[0] ride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you've glanced at a poster for this movie , you know that , supposedly , what follows is " infinite terror . " 	if you've glanced at a poster for this movie , you know that , supposedly , what follows is " infinite terror .<br> "	1	-2	 if[0] you've[0] glanced[0] at[0] a[0] poster[0] for[0] this[0] movie[0] you[0] know[0] that[0] supposedly[0] what[0] follows[0] is[0] infinite[0] terror[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , i don't know about the " terror " part , but " infinite " certainly seems to qualify . . . 	well , i don't know about the " terror " part , but " infinite " certainly seems to qualify .<br> .<br> .	1	-2	 well[0] i[0] don't[0] know[0] about[0] the[0] terror[-1] part[0] but[0] infinite[0] certainly[0] seems[0] to[0] qualify[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
event horizon is a mean-spirited , gory , sick excuse for a film . 	event horizon is a mean-spirited , gory , sick excuse for a film .	1	-2	 event[0] horizon[0] is[0] a[0] mean[0] spirited[0] gory[0] sick[-1] excuse[0] for[0] a[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it starts off as an alien rip-off , and then degenerates into a pointlessly bloody slasher flick after about 40 minutes . 	it starts off as an alien rip-off , and then degenerates into a pointlessly bloody slasher flick after about 40 minutes .	1	-2	 it[0] starts[0] off[0] as[0] an[0] alien[-1] rip[-1] off[0] and[0] then[0] degenerates[-1] into[0] a[0] pointlessly[0] bloody[-1] slasher[-1] flick[0] after[0] about[0] 40[0] minutes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least for those first 40 minutes it's an * interesting * rip-off of alien . 	at least for those first 40 minutes it's an * interesting * rip-off of alien .	2	-2	 at[0] least[0] for[0] those[0] first[0] 40[0] minutes[0] it's[0] an[0] interesting[1] rip[-1] off[0] of[0] alien[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's a lot more than can be said for the rest of them movie , which seems to go on forever . 	that's a lot more than can be said for the rest of them movie , which seems to go on forever .	1	-1	 that's[0] a[0] lot[0] more[0] than[0] can[0] be[0] said[0] for[0] the[0] rest[0] of[0] them[0] movie[0] which[0] seems[0] to[0] go[0] on[0] forever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it not a scary monster movie , nor is it a psychological thriller . 	it not a scary monster movie , nor is it a psychological thriller .	4	-2	 it[0] not[0] a[0] scary[-3][NegatedDueToPreviousWord] monster[-1] movie[0] nor[0] is[0] it[0] a[0] psychological[0] thriller[1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
