american pie 2 is filled with laughs . 	Translation	Positive	Negative	EmotionRationale
but they are mostly cheap ones built primarily upon sexual degradation and adolescent humor more fit for a locker room than a movie theater . 	but they are mostly cheap ones built primarily upon sexual degradation and adolescent humor more fit for a locker room than a movie theater .	3	-3	 but[0] they[0] are[0] mostly[0] cheap[-1] ones[0] built[0] primarily[0] upon[0] sexual[0] degradation[-2] and[0] adolescent[0] humor[2] more[0] fit[0] for[0] a[0] locker[0] room[0] than[0] a[0] movie[0] theater[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i'm no prude and i admit to laughing along with everyone else at the preview screening to this sequel to the 1999 hit comedy . 	i'm no prude and i admit to laughing along with everyone else at the preview screening to this sequel to the 199 hit comedy .	2	-1	 i'm[0] no[0] prude[0] and[0] i[0] admit[0] to[0] laughing[1] along[0] with[0] everyone[0] else[0] at[0] the[0] preview[0] screening[0] to[0] this[0] sequel[0] to[0] the[0] 1999/199[0] hit[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the laughs are built on discomfort and embarrassment , not on any intrinsic humor from within the story itself . 	but the laughs are built on discomfort and embarrassment , not on any intrinsic humor from within the story itself .	3	-3	 but[0] the[0] laughs[1] are[0] built[0] on[0] discomfort[-1] and[0] embarrassment[-2] not[0] on[0] any[0] intrinsic[0] humor[2] from[0] within[0] the[0] story[0] itself[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
what separates american pie 2 from its predecessor is heart . 	what separates american pie 2 from its predecessor is heart .	1	-1	 what[0] separates[0] american[0] pie[0] 2[0] from[0] its[0] predecessor[0] is[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of the original , i noted it was " a warm , pleasant outing about the travails of growing up . " 	of the original , i noted it was " a warm , pleasant outing about the travails of growing up .<br> "	3	-1	 of[0] the[0] original[0] i[0] noted[0] it[0] was[0] a[0] warm[0] pleasant[2] outing[0] about[0] the[0] travails[0] of[0] growing[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well , the quartet of chums - jim ( jason biggs ) , oz ( chris klein ) , kevin ( thomas ian nicholas ) and finch ( eddie kaye thomas ) - have grown up . 	well , the quartet of chums - jim ( jason biggs ) , oz ( chris klein ) , kevin ( thomas ian nicholas ) and finch ( eddie kaye thomas ) - have grown up .	1	-1	 well[0] the[0] quartet[0] of[0] chums[0] jim[0] jason[0] biggs[0] oz[0] chris[0] klein[0] kevin[0] thomas[0] ian[0] nicholas[0] and[0] finch[0] eddie[0] kaye[0] thomas[0] have[0] grown[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least they are a year older , but don't seem any wiser . 	at least they are a year older , but don't seem any wiser .	1	-1	 at[0] least[0] they[0] are[0] a[0] year[0] older[0] but[0] don't[0] seem[0] any[0] wiser[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fresh from their first year of college the quartet , along with the obnoxious stifler ( seann william scott ) , rent a summer house by the lake in order to attract girls in an attempt to score . 	fresh from their first year of college the quartet , along with the obnoxious stifler ( sean william scot ) , rent a summer house by the lake in order to attract girls in an attempt to score .	2	-3	 fresh[0] from[0] their[0] first[0] year[0] of[0] college[0] the[0] quartet[0] along[0] with[0] the[0] obnoxious[-2] stifler[-1] seann/sean[0] william[0] scott/scot[0] rent[0] a[0] summer[0] house[0] by[0] the[0] lake[0] in[0] order[0] to[0] attract[1] girls[0] in[0] an[0] attempt[0] to[0] score[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as usual nothing goes right until the last reel . 	as usual nothing goes right until the last reel .	1	-1	 as[0] usual[0] nothing[0] goes[0] right[0] until[0] the[0] last[0] reel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what we are left with is five guys spending nearly two hours drooling over various young women . 	but what we are left with is five guys spending nearly two hours drooling over various young women .	1	-1	 but[0] what[0] we[0] are[0] left[0] with[0] is[0] five[0] guys[0] spending[0] nearly[0] two[0] hours[0] drooling[0] over[0] various[0] young[0] women[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
