i have a great idea for a movie , one that can't miss . 	Translation	Positive	Negative	EmotionRationale
see , i've got coolio to do a song for the soundtrack , and about fifty athletes and celebrities to do cameo appearances . 	see , i've got coolio to do a song for the soundtrack , and about fifty athletes and celebrities to do cameo appearances .	1	-1	 see[0] i've[0] got[0] coolio[0] to[0] do[0] a[0] song[0] for[0] the[0] soundtrack[0] and[0] about[0] fifty[0] athletes[0] and[0] celebrities[0] to[0] do[0] cameo[0] appearances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's about professional basketball , so i'll release it right around the nba finals to guarantee added publicity . 	it's about professional basketball , so i'll release it right around the nba finals to guarantee added publicity .	1	-1	 it's[0] about[0] professional[0] basketball[0] so[0] i'll[0] release[0] it[0] right[0] around[0] the[0] nba[0] finals[0] to[0] guarantee[0] added[0] publicity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for what the movie is actually about . . . well , that will all sort itself out eventually . 	as for what the movie is actually about .<br> .<br> .<br> well , that will all sort itself out eventually .	1	-1	 as[0] for[0] what[0] the[0] movie[0] is[0] actually[0] about[0] [[Sentence=-1,1=word max, 1-5]] well[0] that[0] will[0] all[0] sort[0] itself[0] out[0] eventually[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i figure it will be a comedy , so i'll throw a half-dozen writers at it and take the best of whatever they come up with . 	i figure it will be a comedy , so i'll throw a half-dozen writers at it and take the best of whatever they come up with .	2	-1	 i[0] figure[0] it[0] will[0] be[0] a[0] comedy[0] so[0] i'll[0] throw[0] a[0] half[0] dozen[0] writers[0] at[0] it[0] and[0] take[0] the[0] best[1] of[0] whatever[0] they[0] come[0] up[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe we'll put a gender spin on it , see if we can get some women out to see it , too . 	maybe we'll put a gender spin on it , see if we can get some women out to see it , too .	1	-1	 maybe[0] we'll[0] put[0] a[0] gender[0] spin[0] on[0] it[0] see[0] if[0] we[0] can[0] get[0] some[0] women[0] out[0] to[0] see[0] it[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eddie is one of those phenomenally lazy films that infuriates me more than any other kind . 	eddie is one of those phenomenally lazy films that infuriates me more than any other kind .	2	-2	 eddie[0] is[0] one[0] of[0] those[0] phenomenally[0] lazy[-1] films[0] that[0] infuriates[-1] me[0] more[0] than[0] any[0] other[0] kind[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
twister , as inane as the script might have been , at least required some creative technicians ; mission : impossible , overwrought plot and all , at least involved genuine effort . 	twister , as inane as the script might have been , at least required some creative technicians ; mission : impossible , overwrought plot and all , at least involved genuine effort .	1	-2	 twister[0] as[0] inane[-1] as[0] the[0] script[0] might[0] have[0] been[0] at[0] least[0] required[0] some[0] creative[0] technicians[0] mission[0] impossible[0] overwrought[0] plot[0] and[0] all[0] at[0] least[0] involved[0] genuine[0] effort[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eddie just sits there , hawking up a formula story without any laughs , and makes every possible bad decision when a decision is required . 	eddie just sits there , hawking up a formula story without any laughs , and makes every possible bad decision when a decision is required .	2	-2	 eddie[0] just[0] sits[0] there[0] hawking[0] up[0] a[0] formula[0] story[0] without[0] any[0] laughs[1] and[0] makes[0] every[0] possible[0] bad[-1] decision[0] when[0] a[0] decision[0] is[0] required[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
whoopi goldberg plays eddie franklin , a new york limo driver and die-hard knicks fan who is suffering through a dismal season for her beloved team . 	whoopi goldberg plays eddie franklin , a new york limo driver and die-hard knicks fan who is suffering through a dismal season for her beloved team .	3	-4	 whoopi[0] goldberg[0] plays[1] eddie[0] franklin[0] a[0] new[0] york[0] limo[0] driver[0] and[0] die[0] hard[0] knicks[0] fan[0] who[0] is[0] suffering[-3] through[0] a[0] dismal[-1] season[0] for[0] her[0] beloved[2] team[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
coach john bailey ( dennis farina ) has lost control of his overpaid prima donnas , and the losses are beginning to mount . 	coach john bailey ( dennis farina ) has lost control of his overpaid prima donnas , and the losses are beginning to mount .	1	-3	 coach[0] john[0] bailey[-1] dennis[0] farina[0] has[0] lost[0] control[0] of[0] his[0] overpaid[0] prima[0] donnas[0] and[0] the[0] losses[-2] are[0] beginning[0] to[0] mount[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
