in china in 1982 i turned the tables on our national guide and asked him if he had any questions about america . 	Translation	Positive	Negative	EmotionRationale
i guess i was expecting some sort of political question . 	i guess i was expecting some sort of political question .	1	-1	 i[0] guess[0] i[0] was[0] expecting[0] some[0] sort[0] of[0] political[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , i was dumfounded by what was most on his mind . 	instead , i was dumfounded by what was most on his mind .	1	-1	 instead[0] i[0] was[0] dumfounded[0] by[0] what[0] was[0] most[0] on[0] his[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " in america , do wives and their mothers-in-law get along well ? " 	 " in america , do wives and their mothers-in-law get along well ?<br> "	1	-1	 in[0] america[0] do[0] wives[0] and[0] their[0] mothers[0] in[0] law[0] get[0] along[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he assured me in china that they did , but i am certain if that were true he would not have asked . 	he assured me in china that they did , but i am certain if that were true he would not have asked .	2	-1	 he[0] assured[0] me[0] in[0] china[0] that[0] they[0] did[0] but[0] i[0] am[0] certain[0] if[0] that[0] were[0] true[1] he[0] would[0] not[0] have[0] asked[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even in china people seem to have problems relating to in- laws . 	even in china people seem to have problems relating to in- laws .	1	-2	 even[0] in[0] china[0] people[0] seem[0] to[0] have[0] problems[-1] relating[0] to[0] in[0] laws[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps some of life's most difficult relationships arise when families are suddenly artificially joined by marriage . 	perhaps some of life's most difficult relationships arise when families are suddenly artificially joined by marriage .	1	-2	 perhaps[0] some[0] of[0] life's[0] most[0] difficult[-1] relationships[0] arise[0] when[0] families[0] are[0] suddenly[0] artificially[0] joined[0] by[0] marriage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a man trying to relate to his new prospective in-laws and vice-versa could be the basis of a very strong comedy . 	a man trying to relate to his new prospective in-laws and vice-versa could be the basis of a very strong comedy .	1	-2	 a[0] man[0] trying[0] to[0] relate[0] to[0] his[0] new[0] prospective[0] in[0] laws[0] and[0] vice[-1] versa[0] could[0] be[0] the[0] basis[0] of[0] a[0] very[0] strong[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meet the parents does not demonstrate that fact , however . 	meet the parents does not demonstrate that fact , however .	1	-1	 meet[0] the[0] parents[0] does[0] not[0] demonstrate[0] that[0] fact[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
greg focker ( played by ben stiller ) has been dating and in love with pam byrnes ( teri polo ) for ten months and is now ready to propose to her . 	greg focker ( played by ben stiller ) has been dating and in love with pam byrnes ( teri polo ) for ten months and is now ready to propose to her .	3	-1	 greg[0] focker[0] played[0] by[0] ben[0] stiller[0] has[0] been[0] dating[0] and[0] in[0] love[2] with[0] pam[0] byrnes[0] teri[0] polo[0] for[0] ten[0] months[0] and[0] is[0] now[0] ready[0] to[0] propose[0] to[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he will do it during a weekend visit to meet debbie's family and to attend her sister's wedding . 	he will do it during a weekend visit to meet debbie's family and to attend her sister's wedding .	1	-1	 he[0] will[0] do[0] it[0] during[0] a[0] weekend[0] visit[0] to[0] meet[0] debbie's[0] family[0] and[0] to[0] attend[0] her[0] sister's[0] wedding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the beginning the relationship is awkward between greg and jack and dina byrnes ( robert deniro and blythe danner ) . 	from the beginning the relationship is awkward between greg and jack and dina byrnes ( robert deniro and blythe danner ) .	1	-2	 from[0] the[0] beginning[0] the[0] relationship[0] is[0] awkward[-1] between[0] greg[0] and[0] jack[0] and[0] dina[0] byrnes[0] robert[0] deniro[0] and[0] blythe[0] danner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
through no fault of his own , the airline has lost greg's luggage . 	through no fault of his own , the airline has lost greg's luggage .	1	-2	 through[0] no[0] fault[-1] of[0] his[0] own[0] the[0] airline[0] has[0] lost[0] greg's[0] luggage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and he has to ask to borrow clothing . 	and he has to ask to borrow clothing .	1	-1	 and[0] he[0] has[0] to[0] ask[0] to[0] borrow[0] clothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the beginning of a game of one-upmanship in which greg is nearly always one-down . 	it is the beginning of a game of one-upmanship in which greg is nearly always one-down .	1	-1	 it[0] is[0] the[0] beginning[0] of[0] a[0] game[0] of[0] one[0] upmanship[0] in[0] which[0] greg[0] is[0] nearly[0] always[0] one[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the games go on greg is more and more uncomfortable and uneasy which only contributes to the mistakes he makes . 	as the games go on greg is more and more uncomfortable and uneasy which only contributes to the mistakes he makes .	1	-3	 as[0] the[0] games[0] go[0] on[0] greg[0] is[0] more[0] and[0] more[0] uncomfortable[-2] and[0] uneasy[-1] which[0] only[0] contributes[0] to[0] the[0] mistakes[-1] he[0] makes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
greg is playing a game he does not understand , in a league he is new to . 	greg is playing a game he does not understand , in a league he is new to .	2	-1	 greg[0] is[0] playing[1] a[0] game[0] he[0] does[0] not[0] understand[0] in[0] a[0] league[0] he[0] is[0] new[0] to[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but perhaps along the way he will discover some unexpected secrets about his father-in-law . 	but perhaps along the way he will discover some unexpected secrets about his father-in-law .	1	-1	 but[0] perhaps[0] along[0] the[0] way[0] he[0] will[0] discover[0] some[0] unexpected[0] secrets[0] about[0] his[0] father[0] in[0] law[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film had potential in its tale of one-upmanship . 	this film had potential in its tale of one-upmanship .	1	-1	 this[0] film[0] had[0] potential[0] in[0] its[0] tale[0] of[0] one[0] upmanship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has hit on a situation that many in the audience may find familiar--one that has not been done overly frequently in films . 	it has hit on a situation that many in the audience may find familiar-one that has not been done overly frequently in films .	1	-1	 it[0] has[0] hit[0] on[0] a[0] situation[0] that[0] many[0] in[0] the[0] audience[0] may[0] find[0] familiar[0] one[0] that[0] has[0] not[0] been[0] done[0] overly[0] frequently[0] in[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the script by jim herzfeld and john hamburg is a little too contrived . 	but the script by jim herzfeld and john hamburg is a little too contrived .	1	-1	 but[0] the[0] script[0] by[0] jim[0] herzfeld[0] and[0] john[0] hamburg[0] is[0] a[0] little[0] too[0] contrived[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too many coincidences in the story work against greg . 	too many coincidences in the story work against greg .	1	-2	 too[0] many[0] coincidences[0] in[0] the[0] story[0] work[0] against[-1] greg[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script could not decide if the main character was incompetent or simply unlucky . 	the script could not decide if the main character was incompetent or simply unlucky .	1	-3	 the[0] script[0] could[0] not[0] decide[0] if[0] the[0] main[0] character[0] was[0] incompetent[-2] or[0] simply[0] unlucky[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
certainly he does not help his situation by doing everything wrong he possibly could , but even when he is trying to do the right things nature conspires against him . 	certainly he does not help his situation by doing everything wrong he possibly could , but even when he is trying to do the right things nature conspires against him .	1	-2	 certainly[0] he[0] does[0] not[0] help[0] his[0] situation[0] by[0] doing[0] everything[0] wrong[-1] he[0] possibly[0] could[0] but[0] even[0] when[0] he[0] is[0] trying[0] to[0] do[0] the[0] right[0] things[0] nature[0] conspires[-1] against[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is an uneven mix of slapstick sequences and human comedy . 	there is an uneven mix of slapstick sequences and human comedy .	1	-2	 there[0] is[0] an[0] uneven[-1] mix[0] of[0] slapstick[-1] sequences[0] and[0] human[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
certainly the last part of the film feels awkwardly written . 	certainly the last part of the film feels awkwardly written .	1	-2	 certainly[0] the[0] last[0] part[0] of[0] the[0] film[0] feels[0] awkwardly[-1] written[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main reason to see meet the parents is to see robert deniro's performance . 	the main reason to see meet the parents is to see robert deniro's performance .	1	-1	 the[0] main[0] reason[0] to[0] see[0] meet[0] the[0] parents[0] is[0] to[0] see[0] robert[0] deniro's[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deniro plays the suspicious and not a little fascistic father as tightly wound and threatening as he can . 	deniro plays the suspicious and not a little fascistic father as tightly wound and threatening as he can .	2	-3	 deniro[0] plays[1] the[0] suspicious[-1] and[0] not[0] a[0] little[0] fascistic[0] father[0] as[0] tightly[0] wound[-1] and[0] threatening[-2] as[0] he[0] can[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the little judgmental expressions on his face are a show in themselves as greg digs himself deeper and deeper into his insecurities . 	the little judgmental expressions on his face are a show in themselves as greg digs himself deeper and deeper into his insecurities .	1	-2	 the[0] little[0] judgmental[0] expressions[0] on[0] his[0] face[0] are[0] a[0] show[0] in[0] themselves[0] as[0] greg[0] digs[0] himself[0] deeper[0] and[0] deeper[0] into[0] his[0] insecurities[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but we do not really see much of that digging . 	but we do not really see much of that digging .	1	-1	 but[0] we[0] do[0] not[0] really[0] see[0] much[0] of[0] that[0] digging[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
