over 40 years ago , a japanese production company called toho introduced the land of the rising sun to gojira , a reptilian creature of immense proportions created by mankind's nuclear testing . 	Translation	Positive	Negative	EmotionRationale
partly flight of fancy , partly commentary on the exploitation of atomic power and weaponry , gojira emerged from the ocean to terrorize tokyo . 	partly flight of fancy , partly commentary on the exploitation of atomic power and weaponry , gojira emerged from the ocean to terrorize tokyo .	1	-3	 partly[0] flight[0] of[0] fancy[0] partly[0] commentary[0] on[0] the[0] exploitation[0] of[0] atomic[0] power[0] and[0] weaponry[-1] gojira[0] emerged[0] from[0] the[0] ocean[0] to[0] terrorize[-2] tokyo[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a year later , gojira was marketed to the united states by adding three things : a new name , a dubbed english track , and raymond burr . 	a year later , gojira was marketed to the united states by adding three things : a new name , a dubbed english track , and raymond bur .	1	-1	 a[0] year[0] later[0] gojira[0] was[0] marketed[0] to[0] the[0] united[0] states[0] by[0] adding[0] three[0] things[0] a[0] new[0] name[0] a[0] dubbed[0] english[0] track[0] and[0] raymond[0] burr/bur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as godzilla , the film took on the rest of the world . 	as godzilla , the film took on the rest of the world .	1	-1	 as[0] godzilla[0] the[0] film[0] took[0] on[0] the[0] rest[0] of[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thirty years later , toho remade the classic film and once again took it to the american market by adding the same three things ( yes , including raymond burr ) and called it godzilla 1985 . 	thirty years later , toho remade the classic film and once again took it to the american market by adding the same three things ( yes , including raymond bur ) and called it godzilla 1985 .	1	-1	 thirty[0] years[0] later[0] toho[0] remade[0] the[0] classic[0] film[0] and[0] once[0] again[0] took[0] it[0] to[0] the[0] american[0] market[0] by[0] adding[0] the[0] same[0] three[0] things[0] yes[0] including[0] raymond[0] burr/bur[0] and[0] called[0] it[0] godzilla[0] 1985[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now it's 14 years after toho's remake , and director roland emmerich has allowed the giant lizard to make an american first run . 	now it's 14 years after toho's remake , and director roland emmerich has allowed the giant lizard to make an american first run .	1	-1	 now[0] it's[0] 14[0] years[0] after[0] toho's[0] remake[0] and[0] director[0] roland[0] emmerich[0] has[0] allowed[0] the[0] giant[0] lizard[0] to[0] make[0] an[0] american[0] first[0] run[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in emmerich's godzilla , matthew broderick plays dr . niko tatopoulos , a biologist who is called in to join other scientists in the south pacific already studying the existence of a radiation-induced super mutant which leaves footprints the size of livingrooms . 	in emmerich's godzilla , matthew broderick plays dr .<br> niko tatopoulos , a biologist who is called in to join other scientists in the south pacific already studying the existence of a radiation-induced super mutant which leaves footprints the size of livingrooms .	3	-1	 in[0] emmerich's[0] godzilla[0] matthew[0] broderick[0] plays[1] dr[0] [[Sentence=-1,2=word max, 1-5]] niko[0] tatopoulos[0] a[0] biologist[0] who[0] is[0] called[0] in[0] to[0] join[0] other[0] scientists[0] in[0] the[0] south[0] pacific[0] already[0] studying[0] the[0] existence[0] of[0] a[0] radiation[0] induced[0] super[2] mutant[0] which[0] leaves[0] footprints[0] the[0] size[0] of[0] livingrooms[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when the mutant reptile suddenly appears out of the hudson river , tatopoulos and the rest of the team relocate themselves back to the states . 	when the mutant reptile suddenly appears out of the hudson river , tatopoulos and the rest of the team relocate themselves back to the states .	1	-1	 when[0] the[0] mutant[0] reptile[0] suddenly[0] appears[0] out[0] of[0] the[0] hudson[0] river[0] tatopoulos[0] and[0] the[0] rest[0] of[0] the[0] team[0] relocate[0] themselves[0] back[0] to[0] the[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , tatopoulos's college girlfriend , audrey timmonds ( maria pitillo ) , works in new york city as an assistant to a big-time news reporter . 	meanwhile , tatopoulos's college girlfriend , audrey timmonds ( maria pitillo ) , works in new york city as an assistant to a big-time news reporter .	1	-3	 meanwhile[0] tatopoulos's[0] college[0] girlfriend[0] audrey[0] timmonds[0] maria[0] pitillo[-2] works[0] in[0] new[0] york[0] city[0] as[0] an[0] assistant[0] to[0] a[0] big[0] time[0] news[0] reporter[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she'd like to be a reporter herself , and when godzilla comes ashore , she figures this is her big break . 	she'd like to be a reporter herself , and when godzilla comes ashore , she figures this is her big break .	2	-1	 she'd[0] like[1] to[0] be[0] a[0] reporter[0] herself[0] and[0] when[0] godzilla[0] comes[0] ashore[0] she[0] figures[0] this[0] is[0] her[0] big[0] break[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , with the big guy running amok in the city , niko and audrey are bound to cross paths , and are joined by victor " animal " palotti ( hank azaria ) , audrey's trusty cameraman friend , and phillipe roche ( jean reno ) , an operative for the french government , whose nuclear testing started the whole problem in the first place . 	of course , with the big guy running amok in the city , niko and audrey are bound to cross paths , and are joined by victor " animal " palotti ( hank azaria ) , audrey's trusty cameraman friend , and phillipe roche ( jean reno ) , an operative for the french government , whose nuclear testing started the whole problem in the first place .	2	-2	 of[0] course[0] with[0] the[0] big[0] guy[0] running[0] amok[0] in[0] the[0] city[0] niko[0] and[0] audrey[0] are[0] bound[0] to[0] cross[-1] paths[0] and[0] are[0] joined[0] by[0] victor[0] animal[0] palotti[0] hank[0] azaria[0] audrey's[0] trusty[1] cameraman[0] friend[1] and[0] phillipe[0] roche[0] jean[0] reno[0] an[0] operative[0] for[0] the[0] french[0] government[0] whose[0] nuclear[0] testing[0] started[0] the[0] whole[0] problem[-1] in[0] the[0] first[0] place[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
