after 1993's " falling down , " i hoped that joel schumacher would mature into a great director . 	Translation	Positive	Negative	EmotionRationale
since then he has offered us two so-so adaptations of john grisham novels ( " the client " and " a time to kill " ) and two batman movies that lowered the standards of that franchise . 	since then he has offered us two so-so adaptations of john grisham novels ( " the client " and " a time to kill " ) and two batman movies that lowered the standards of that franchise .	1	-2	 since[0] then[0] he[0] has[0] offered[0] us[0] two[0] so[0] so[0] adaptations[0] of[0] john[0] grisham[0] novels[0] the[0] client[0] and[0] a[0] time[0] to[0] kill[-1] and[0] two[0] batman[0] movies[0] that[0] lowered[0] the[0] standards[0] of[0] that[0] franchise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although these disappointments dampened my enthusiasm for schumacher's potential , the publicity for his latest release , " 8mm , " raised new hope . 	although these disappointments dampened my enthusiasm for schumacher's potential , the publicity for his latest release , " 8m , " raised new hope .	3	-2	 although[0] these[0] disappointments[-1] dampened[0] my[0] enthusiasm[2] for[0] schumacher's[0] potential[0] the[0] publicity[0] for[0] his[0] latest[0] release[0] 8mm/8m[0] raised[0] new[0] hope[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it promised to be something unusual . 	it promised to be something unusual .	2	-1	 it[0] promised[1] to[0] be[0] something[0] unusual[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it wasn't . 	it wasn't .	1	-1	 it[0] wasn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot goes like this : tom welles ( nicolas cage ) is a private eye who is hired by a wealthy woman , allegorically named mrs . christian ( myra carter ) , to investigate an 8mm movie found among her late husband's belongings . 	the plot goes like this : tom welles ( nicolas cage ) is a private eye who is hired by a wealthy woman , allegorically named mrs .<br> christian ( myra carter ) , to investigate an 8m movie found among her late husband's belongings .	2	-1	 the[0] plot[0] goes[0] like[1] this[0] tom[0] welles[1] nicolas[0] cage[0] is[0] a[0] private[0] eye[0] who[0] is[0] hired[0] by[0] a[0] wealthy[0] woman[0] allegorically[0] named[0] mrs[0] [[Sentence=-1,2=word max, 1-5]] christian[0] myra[0] carter[0] to[0] investigate[0] an[0] 8mm/8m[0] movie[0] found[0] among[0] her[0] late[0] husband's[0] belongings[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the movie appears to be a snuff film in which a teenage girl is raped and murdered by a man in a leather mask ( who reminds me of bane in schumacher's " batman & robin " ) . 	the movie appears to be a snuff film in which a teenage girl is raped and murdered by a man in a leather mask ( who reminds me of bane in schumacher's " batman & robin " ) .	1	-4	 the[0] movie[0] appears[0] to[0] be[0] a[0] snuff[0] film[0] in[0] which[0] a[0] teenage[0] girl[0] is[0] raped[-3] and[0] murdered[-3] by[0] a[0] man[0] in[0] a[0] leather[0] mask[0] who[0] reminds[0] me[0] of[0] bane[-1] in[0] schumacher's[0] batman[0] &[0] robin[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
because murders can be realistically simulated in movies , mrs . christian wants tom to discover if the girl is alive or dead . 	because murders can be realistically simulated in movies , mrs .<br> christian wants tom to discover if the girl is alive or dead .	1	-4	 because[0] murders[-3] can[0] be[0] realistically[0] simulated[0] in[0] movies[0] mrs[0] [[Sentence=-4,1=word max, 1-5]] christian[0] wants[0] tom[0] to[0] discover[0] if[0] the[0] girl[0] is[0] alive[0] or[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-4 max of sentences]]]
by combing through missing persons reports , tom finds the girl's name and tracks her to los angeles . 	by combing through missing persons reports , tom finds the girl's name and tracks her to los angeles .	1	-1	 by[0] combing[0] through[0] missing[0] persons[0] reports[0] tom[0] finds[0] the[0] girl's[0] name[0] and[0] tracks[0] her[0] to[0] los[0] angeles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the aid of max california ( joaquin phoenix ) , a video store clerk ( and another symbolic name ) , tom wanders through the underworld of pornography in search of snuff . 	with the aid of max california ( joaquin phoenix ) , a video store clerk ( and another symbolic name ) , tom wanders through the underworld of pornography in search of snuff .	1	-2	 with[0] the[0] aid[0] of[0] max[0] california[0] joaquin[0] phoenix[0] a[0] video[0] store[0] clerk[0] and[0] another[0] symbolic[0] name[0] tom[0] wanders[0] through[0] the[0] underworld[-1] of[0] pornography[0] in[0] search[0] of[0] snuff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot bears an obvious resemblance to paul schrader's " hardcore , " in which a father goes deeper and deeper into the industries of porn and sex to find his missing daughter . 	the plot bears an obvious resemblance to paul schrader's " hardcore , " in which a father goes deeper and deeper into the industries of porn and sex to find his missing daughter .	1	-1	 the[0] plot[0] bears[0] an[0] obvious[0] resemblance[0] to[0] paul[0] schrader's[0] hardcore[0] in[0] which[0] a[0] father[0] goes[0] deeper[0] and[0] deeper[0] into[0] the[0] industries[0] of[0] porn[0] and[0] sex[0] to[0] find[0] his[0] missing[0] daughter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
