ingredients : possessed plastic dolls in love , plastic dolls having sex 	Translation	Positive	Negative	EmotionRationale
starring : jennifer tilly , voice of brad dourif , katherine heigl , nick stabile , john ritter 	starring : jennifer tilly , voice of brad dourif , katherine heigl , nick stabile , john ritter	1	-2	 starring[0] jennifer[0] tilly[0] voice[0] of[0] brad[0] dourif[0] katherine[0] heigl[0] nick[0] stabile[-1] john[0] ritter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
synopsis : this is the fourth film in the chucky series , which debuted in the late 1980s . 	synopsis : this is the fourth film in the chucky series , which debuted in the late 1980s .	1	-1	 synopsis[0] this[0] is[0] the[0] fourth[0] film[0] in[0] the[0] chucky[0] series[0] which[0] debuted[0] in[0] the[0] late[0] 1980s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
basically , chucky is a plastic doll that can walk and talk because it is possessed by the spirit of a slain murderer . 	basically , chucky is a plastic doll that can walk and talk because it is possessed by the spirit of a slain murderer .	1	-4	 basically[0] chucky[0] is[0] a[0] plastic[0] doll[0] that[0] can[0] walk[0] and[0] talk[0] because[0] it[0] is[0] possessed[0] by[0] the[0] spirit[0] of[0] a[0] slain[0] murderer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in bride of chucky , chucky's longtime girlfriend tiffany ( jennifer tilly ) dies and her spirit inhabits a female plastic doll through voodoo . 	in bride of chucky , chucky's longtime girlfriend tiffany ( jennifer tilly ) dies and her spirit inhabits a female plastic doll through voodoo .	1	-1	 in[0] bride[0] of[0] chucky[0] chucky's[0] longtime[0] girlfriend[0] tiffany[0] jennifer[0] tilly[0] dies[0] and[0] her[0] spirit[0] inhabits[0] a[0] female[0] plastic[0] doll[0] through[0] voodoo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dolls tiffany and chucky get married and embark on a quest to reach a cemetery in new jersey , where a mystical gem might enable them to be humans . 	dolls tiffany and chucky get married and embark on a quest to reach a cemetery in new jersey , where a mystical gem might enable them to be humans .	1	-1	 dolls[0] tiffany[0] and[0] chucky[0] get[0] married[0] and[0] embark[0] on[0] a[0] quest[0] to[0] reach[0] a[0] cemetery[0] in[0] new[0] jersey[0] where[0] a[0] mystical[0] gem[0] might[0] enable[0] them[0] to[0] be[0] humans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dolls stow away in the back of a vehicle driven by a newly eloped couple , so in the side plot , the couple suspects each other of being a murderer . 	the dolls stow away in the back of a vehicle driven by a newly eloped couple , so in the side plot , the couple suspects each other of being a murderer .	1	-4	 the[0] dolls[0] stow[0] away[0] in[0] the[0] back[0] of[0] a[0] vehicle[0] driven[0] by[0] a[0] newly[0] eloped[0] couple[0] so[0] in[0] the[0] side[0] plot[0] the[0] couple[0] suspects[0] each[0] other[0] of[0] being[0] a[0] murderer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
opinion : bride of chucky is an attempt at horror with humor , but doesn't succeed . 	opinion : bride of chucky is an attempt at horror with humor , but doesn't succeed .	3	-4	 opinion[0] bride[0] of[0] chucky[0] is[0] an[0] attempt[0] at[0] horror[-3] with[0] humor[2] but[0] doesn't[0] succeed[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
somehow , chucky moaning about mid life crisis , and how he should have gotten married does not make for a very scary chucky . 	somehow , chucky moaning about mid life crisis , and how he should have gotten married does not make for a very scary chucky .	1	-5	 somehow[0] chucky[0] moaning[0] about[0] mid[0] life[0] crisis[-2] and[0] how[0] he[0] should[0] have[0] gotten[0] married[0] does[0] not[0] make[0] for[0] a[0] very[0] scary[-3][-1 LastWordBoosterStrength] chucky[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
and tiffany harping about mid life crisis , and how she should have gotten married does not make for a very scary tiffany . 	and tiffany harping about mid life crisis , and how she should have gotten married does not make for a very scary tiffany .	1	-5	 and[0] tiffany[0] harping[0] about[0] mid[0] life[0] crisis[-2] and[0] how[0] she[0] should[0] have[0] gotten[0] married[0] does[0] not[0] make[0] for[0] a[0] very[0] scary[-3][-1 LastWordBoosterStrength] tiffany[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the suspenseless bride of chucky relies mostly on jennifer tilly's cleavage to keep attention during the first half , and on occasional puns to keep attention during the second half . 	the suspenseless bride of chucky relies mostly on jennifer tilly's cleavage to keep attention during the first half , and on occasional puns to keep attention during the second half .	1	-1	 the[0] suspenseless[0] bride[0] of[0] chucky[0] relies[0] mostly[0] on[0] jennifer[0] tilly's[0] cleavage[0] to[0] keep[0] attention[0] during[0] the[0] first[0] half[0] and[0] on[0] occasional[0] puns[0] to[0] keep[0] attention[0] during[0] the[0] second[0] half[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best that can be said about bride of chucky is that it is sarcastic . 	the best that can be said about bride of chucky is that it is sarcastic .	2	-3	 the[0] best[1] that[0] can[0] be[0] said[0] about[0] bride[0] of[0] chucky[0] is[0] that[0] it[0] is[0] sarcastic[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
