ready to rumble is not a masterpiece in film ; i have a problem even regarding it as a film . 	Translation	Positive	Negative	EmotionRationale
it's more of a show , a big commercial for ted turner's world championship wrestling ( wcw ) . 	it's more of a show , a big commercial for ted turner's world championship wrestling ( wcw ) .	1	-1	 it's[0] more[0] of[0] a[0] show[0] a[0] big[0] commercial[0] for[0] ted[0] turner's[0] world[0] championship[0] wrestling[0] wcw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is almost entirely about and fully showcases the wrestlers of the wcw like diamond dallas page , goldberg , and sting . 	the movie is almost entirely about and fully showcases the wrestlers of the wcw like diamond dallas page , goldberg , and sting .	2	-2	 the[0] movie[0] is[0] almost[0] entirely[0] about[0] and[0] fully[0] showcases[0] the[0] wrestlers[0] of[0] the[0] wcw[0] like[1] diamond[0] dallas[0] page[0] goldberg[0] and[0] sting[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story is very minimal and basic . 	the story is very minimal and basic .	1	-1	 the[0] story[0] is[0] very[0] minimal[0] and[0] basic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are these two guys , gordy ( david arquette ) and sean ( scott caan ) . 	there are these two guys , gordy ( david arquette ) and sean ( scot can ) .	1	-1	 there[0] are[0] these[0] two[0] guys[0] gordy[0] david[0] arquette[0] and[0] sean[0] scott/scot[0] caan/can[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are two twenty-something wrestling fans from wyoming . 	they are two twenty-something wrestling fans from wyoming .	1	-1	 they[0] are[0] two[0] twenty[0] something[0] wrestling[0] fans[0] from[0] wyoming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when they go to a live event for the big match up , there favorite wrestler jimmy king ( oliver platt ) is defeated and his career is announced to be over by the mean commissioner titus ( joe pantoliano ) . 	when they go to a live event for the big match up , there favorite wrestler jimmy king ( oliver platt ) is defeated and his career is announced to be over by the mean commissioner titus ( joe pantoliano ) .	2	-1	 when[0] they[0] go[0] to[0] a[0] live[0] event[0] for[0] the[0] big[0] match[0] up[0] there[0] favorite[1] wrestler[0] jimmy[0] king[0] oliver[0] platt[0] is[0] defeated[0] and[0] his[0] career[0] is[0] announced[0] to[0] be[0] over[0] by[0] the[0] mean[0] commissioner[0] titus[0] joe[0] pantoliano[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gordy and sean decide to go on a quest to find jimmy and bring him back to the top and defeat the evil titus' plans . 	gordy and sean decide to go on a quest to find jimmy and bring him back to the top and defeat the evil titus' plans .	1	-3	 gordy[0] and[0] sean[0] decide[0] to[0] go[0] on[0] a[0] quest[0] to[0] find[0] jimmy[0] and[0] bring[0] him[0] back[0] to[0] the[0] top[0] and[0] defeat[0] the[0] evil[-2] titus'[0] plans[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the way , they meet some people , have some fun , and clean up some port-o-potties . 	on the way , they meet some people , have some fun , and clean up some port-o-potties .	1	-1	 on[0] the[0] way[0] they[0] meet[0] some[0] people[0] have[0] some[0] fun[1][-1 LastWordBoosterStrength] and[0] clean[0] up[0] some[0] port[0] o[0] potties[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sounds great huh , well it's not . 	sounds great huh , well it's not .	3	-1	 sounds[0] great[2] huh[0] well[0] it's[0] not[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie makes many attempts at humor , only a few of them work . 	the movie makes many attempts at humor , only a few of them work .	3	-1	 the[0] movie[0] makes[0] many[0] attempts[0] at[0] humor[2] only[0] a[0] few[0] of[0] them[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the jokes that make you laugh , however , do not outnumber the film's many duds . 	the jokes that make you laugh , however , do not outnumber the film's many duds .	2	-1	 the[0] jokes[1] that[0] make[0] you[0] laugh[1] however[0] do[0] not[0] outnumber[0] the[0] film's[0] many[0] duds[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is a funny repertoire between arquette and a convenience store cashier played by ahmet zappa . 	there is a funny repertoire between arquette and a convenience store cashier played by ahmet zappa .	2	-1	 there[0] is[0] a[0] funny[1] repertoire[0] between[0] arquette[0] and[0] a[0] convenience[0] store[0] cashier[0] played[0] by[0] ahmet[0] zappa[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cashier is very mean to arquette so arquette dreams of ways to get him back . 	the cashier is very mean to arquette so arquette dreams of ways to get him back .	1	-1	 the[0] cashier[0] is[0] very[0] mean[0] to[0] arquette[0] so[0] arquette[0] dreams[0] of[0] ways[0] to[0] get[0] him[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i especially enjoyed one version in which they have a wrestling match and arquette's tag team partner is 'macho man' randy savage . 	i especially enjoyed one version in which they have a wrestling match and arquette's tag team partner is 'macho man' randy savage .	4	-3	 i[0] especially[0] enjoyed[2][1 LastWordBoosterStrength] one[0] version[0] in[0] which[0] they[0] have[0] a[0] wrestling[0] match[0] and[0] arquette's[0] tag[0] team[0] partner[0] is[0] 'macho[0] man'[0] randy[0] savage[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
they wrestle between the aisles knocking over cans and getting body slammed on the floor . 	they wrestle between the aisles knocking over cans and getting body slammed on the floor .	1	-2	 they[0] wrestle[-1] between[0] the[0] aisles[0] knocking[0] over[0] cans[0] and[0] getting[0] body[0] slammed[-1] on[0] the[0] floor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other good part of the film is the sexual confrontation between arquette and rose mcgowan . 	the other good part of the film is the sexual confrontation between arquette and rose mcgowan .	2	-3	 the[0] other[0] good[1] part[0] of[0] the[0] film[0] is[0] the[0] sexual[0] confrontation[-2] between[0] arquette[0] and[0] rose[0] mcgowan[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mcgowan plays sasha the head nitro girl , the cheerleaders of the wcw . 	mcgowan plays sasha the head nitro girl , the cheerleaders of the wcw .	2	-1	 mcgowan[0] plays[1] sasha[0] the[0] head[0] nitro[0] girl[0] the[0] cheerleaders[0] of[0] the[0] wcw[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she becomes attracted to gordy and they have some nice , funny scenes together especially one scene in which arquette calls mcgowan's breasts foreign objects than punches her directly into the face . 	she becomes attracted to gordy and they have some nice , funny scenes together especially one scene in which arquette calls mcgowan's breasts foreign objects than punches her directly into the face .	2	-2	 she[0] becomes[0] attracted[1] to[0] gordy[0] and[0] they[0] have[0] some[0] nice[1][-1 LastWordBoosterStrength] funny[1] scenes[0] together[0] especially[0] one[0] scene[0] in[0] which[0] arquette[0] calls[0] mcgowan's[0] breasts[0] foreign[-1] objects[0] than[0] punches[-1] her[0] directly[0] into[0] the[0] face[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now what didn't work in this movie ? 	now what didn't work in this movie ?	1	-1	 now[0] what[0] didn't[0] work[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that would be the rest of it . 	that would be the rest of it .	1	-1	 that[0] would[0] be[0] the[0] rest[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the flick was filled with stupid potty humor about farts and toilets . 	the flick was filled with stupid potty humor about farts and toilets .	3	-2	 the[0] flick[0] was[0] filled[0] with[0] stupid[-1] potty[0] humor[2] about[0] farts[0] and[0] toilets[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the two lead characters work for a port-o-potty cleaning company and when they crash the truck , the excrements spill all over the road . 	the two lead characters work for a port-o-potty cleaning company and when they crash the truck , the excrements spill all over the road .	1	-2	 the[0] two[0] lead[0] characters[0] work[0] for[0] a[0] port[0] o[0] potty[0] cleaning[0] company[0] and[0] when[0] they[0] crash[0] the[0] truck[0] the[0] excrements[0] spill[-1] all[0] over[0] the[0] road[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not funny ; it's pathetic and brainless . 	it's not funny ; it's pathetic and brainless .	1	-3	 it's[0] not[0] funny[1][NegatedDueToPreviousWord] it's[0] pathetic[-2] and[0] brainless[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is giving homage to how blindly faithful of their wrestlers but not all wrestling fans are that way . 	the film is giving homage to how blindly faithful of their wrestlers but not all wrestling fans are that way .	2	-2	 the[0] film[0] is[0] giving[0] homage[0] to[0] how[0] blindly[-1] faithful[1] of[0] their[0] wrestlers[0] but[0] not[0] all[0] wrestling[0] fans[0] are[0] that[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i watch it for entertainment and i would think some people would take offense to what is said throughout the movie . 	i watch it for entertainment and i would think some people would take offense to what is said throughout the movie .	1	-3	 i[0] watch[0] it[0] for[0] entertainment[0] and[0] i[0] would[0] think[0] some[0] people[0] would[0] take[0] offense[-2] to[0] what[0] is[0] said[0] throughout[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
