darren ( jason biggs ) , wayne ( steve zahn ) , and j . d . ( jack black ) have been best friends since the fifth grade . 	Translation	Positive	Negative	EmotionRationale
like the three musketeers , they've been together through thick and thin . 	like the three musketeers , they've been together through thick and thin .	2	-1	 like[1] the[0] three[0] musketeers[0] they've[0] been[0] together[0] through[0] thick[0] and[0] thin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , when darren meets an attractive , but cold-blooded and manipulative , psychiatrist , judith ( amanda peet ) , the long time friendship is placed in danger . 	but , when darren meets an attractive , but cold-blooded and manipulative , psychiatrist , judith ( amanda pet ) , the long time friendship is placed in danger .	2	-2	 but[0] when[0] darren[0] meets[0] an[0] attractive[1] but[0] cold[-1] blooded[0] and[0] manipulative[-1] psychiatrist[0] judith[0] amanda[0] peet/pet[0] the[0] long[0] time[0] friendship[1] is[0] placed[0] in[0] danger[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's up to wayne and j . d . to rescue their best friend in " saving silverman . " 	it's up to wayne and j .<br> d .<br> to rescue their best friend in " saving silverman .<br> "	2	-1	 it's[0] up[0] to[0] wayne[0] and[0] j[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] to[0] rescue[0] their[0] best[1] friend[1] in[0] saving[0] silverman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " silverman " has its heart in the right place , but the story , by newcomers hank nelken and greg depaul , is too lightweight to sustain the tale of the battle for darren's soul . 	 " silverman " has its heart in the right place , but the story , by newcomers hank nelken and greg depaul , is too lightweight to sustain the tale of the battle for darren's soul .	1	-2	 silverman[0] has[0] its[0] heart[0] in[0] the[0] right[0] place[0] but[0] the[0] story[0] by[0] newcomers[0] hank[0] nelken[0] and[0] greg[0] depaul[0] is[0] too[0] lightweight[0] to[0] sustain[0] the[0] tale[0] of[0] the[0] battle[-1] for[0] darren's[0] soul[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
based on their experience of a friend making a major marital mistake , the story is centered on the three , life long amigos . 	based on their experience of a friend making a major marital mistake , the story is centered on the three , life long amigos .	2	-2	 based[0] on[0] their[0] experience[0] of[0] a[0] friend[1] making[0] a[0] major[0] marital[0] mistake[-1] the[0] story[0] is[0] centered[0] on[0] the[0] three[0] life[0] long[0] amigos[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when wayne introduces darren to judith , he doesn't realize that he has opened a pandora's box of disaster for himself and j . d . judith was once in a relationship where her boyfriend was the dominant figure until he died in a kick boxing match . 	when wayne introduces darren to judith , he doesn't realize that he has opened a pandora's box of disaster for himself and j .<br> d .<br> judith was once in a relationship where her boyfriend was the dominant figure until he died in a kick boxing match .	1	-2	 when[0] wayne[0] introduces[0] darren[0] to[0] judith[0] he[0] doesn't[0] realize[0] that[0] he[0] has[0] opened[0] a[0] pandora's[0] box[0] of[0] disaster[-1] for[0] himself[0] and[0] j[0] [[Sentence=-2,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] judith[0] was[0] once[0] in[0] a[0] relationship[0] where[0] her[0] boyfriend[0] was[0] the[0] dominant[0] figure[0] until[0] he[0] died[0] in[0] a[0] kick[-1] boxing[0] match[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since then , she has sought a new mate - someone she can boss around and mold into her own vision . 	since then , she has sought a new mate - someone she can boss around and mold into her own vision .	2	-1	 since[0] then[0] she[0] has[0] sought[0] a[0] new[0] mate[1] someone[0] she[0] can[0] boss[0] around[0] and[0] mold[0] into[0] her[0] own[0] vision[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
enter darren silverman . 	enter darren silverman .	1	-1	 enter[0] darren[0] silverman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once they realize the magnitude of their error in judgement , wayne and j . d . try everything they can , including threats and bribery , to get judith to free darren . 	once they realize the magnitude of their error in judgement , wayne and j .<br> d .<br> try everything they can , including threats and bribery , to get judith to free darren .	1	-3	 once[0] they[0] realize[0] the[0] magnitude[0] of[0] their[0] error[-1] in[0] judgement[0] wayne[0] and[0] j[0] [[Sentence=-2,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] try[0] everything[0] they[0] can[0] including[0] threats[-2] and[0] bribery[-1] to[0] get[0] judith[0] to[0] free[0] darren[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nothing works until the duo come up with a plan - kidnap judith and get darren back together with the girl he called his one and only , pretty sandy perkus ( amanda detmer ) . 	nothing works until the duo come up with a plan - kidnap judith and get darren back together with the girl he called his one and only , pretty sandy perkus ( amanda detmer ) .	3	-2	 nothing[0] works[0] until[0] the[0] duo[0] come[0] up[0] with[0] a[0] plan[0] kidnap[-1] judith[0] and[0] get[0] darren[0] back[0] together[0] with[0] the[0] girl[0] he[0] called[0] his[0] one[0] and[0] only[0] pretty[2] sandy[0] perkus[0] amanda[0] detmer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
