tim robbins and martin lawernce team up in this road movie comedy . 	Translation	Positive	Negative	EmotionRationale
robbins plays an exec who discovers his wife having sex with his boss . 	robins plays an exec who discovers his wife having sex with his boss .	2	-1	 robbins/robins[0] plays[1] an[0] exec[0] who[0] discovers[0] his[0] wife[0] having[0] sex[0] with[0] his[0] boss[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he goes into depression , and drives around his neighbourhood until he arrives inside the usual 'ghetto' side of every american city . 	he goes into depression , and drives around his neighbourhood until he arrives inside the usual 'ghetto' side of every american city .	1	-4	 he[0] goes[0] into[0] depression[-3] and[0] drives[0] around[0] his[0] neighbourhood[0] until[0] he[0] arrives[0] inside[0] the[0] usual[0] 'ghetto'[0] side[0] of[0] every[0] american[0] city[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there , lawernce attempts to steal his car , but to no avail , and is dragged along with robbin's on a trip to arizona . 	there , lawernce attempts to steal his car , but to no avail , and is dragged along with robbin's on a trip to arizona .	1	-3	 there[0] lawernce[0] attempts[0] to[0] steal[-2] his[0] car[0] but[0] to[0] no[0] avail[0] and[0] is[0] dragged[0] along[0] with[0] robbin's[0] on[0] a[0] trip[0] to[0] arizona[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there , they hold up a store , are mistaken for two other robbers ( just like in my cousin vinny ) and are chased by the police , and the other robbers . 	there , they hold up a store , are mistaken for two other robbers ( just like in my cousin vinny ) and are chased by the police , and the other robbers .	1	-2	 there[0] they[0] hold[0] up[0] a[0] store[0] are[0] mistaken[-1] for[0] two[0] other[0] robbers[-1] just[0] like[1][-1 LastWordBoosterStrength] in[0] my[0] cousin[0] vinny[0] and[0] are[0] chased[-1] by[0] the[0] police[0] and[0] the[0] other[0] robbers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , there's gags along the way , usually from lawernce . 	of course , there's gags along the way , usually from lawernce .	1	-1	 of[0] course[0] there's[0] gags[0] along[0] the[0] way[0] usually[0] from[0] lawernce[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the film is midly funny , and quite watchable , there's something so horribly familiar about it all . 	although the film is midly funny , and quite watchable , there's something so horribly familiar about it all .	2	-4	 although[0] the[0] film[0] is[0] midly[0] funny[1] and[0] quite[0] watchable[0] there's[0] something[0] so[0] horribly[-3] familiar[0] about[0] it[0] all[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this film should really be called beverly hills midnight run there's lawernce with his wisecracking and heavy profanity , just like eddie murphy in beverly hills cop , and pratically the same idea as midnight run . 	this film should really be called beverly hills midnight run there's lawernce with his wisecracking and heavy profanity , just like eddie murphy in beverly hills cop , and pratically the same idea as midnight run .	1	-1	 this[0] film[0] should[0] really[0] be[0] called[0] beverly[0] hills[0] midnight[0] run[0] there's[0] lawernce[0] with[0] his[0] wisecracking[0] and[0] heavy[0] profanity[0] just[0] like[1][-1 LastWordBoosterStrength] eddie[0] murphy[0] in[0] beverly[0] hills[0] cop[0] and[0] pratically[0] the[0] same[0] idea[0] as[0] midnight[0] run[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's full of all the road movie cliches , and even has a 'comedy' car chase , which just seemed so eighties . 	it's full of all the road movie cliches , and even has a 'comedy' car chase , which just seemed so eighties .	1	-2	 it's[0] full[0] of[0] all[0] the[0] road[0] movie[0] cliches[0] and[0] even[0] has[0] a[0] 'comedy'[0] car[0] chase[-1] which[0] just[0] seemed[0] so[0] eighties[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even the credit sequence seemed to be out of a steve martin , or chevy chase , eighties comedy . 	even the credit sequence seemed to be out of a steve martin , or chevy chase , eighties comedy .	1	-2	 even[0] the[0] credit[0] sequence[0] seemed[0] to[0] be[0] out[0] of[0] a[0] steve[0] martin[0] or[0] chevy[0] chase[-1] eighties[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there also isn't much chemistry between robbins and lawernce . 	there also isn't much chemistry between robins and lawernce .	1	-1	 there[0] also[0] isn't[0] much[0] chemistry[0] between[0] robbins/robins[0] and[0] lawernce[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in planes , trains and automobiles , there was real chemistry between steve martin and john candy . 	in planes , trains and automobiles , there was real chemistry between steve martin and john candy .	1	-1	 in[0] planes[0] trains[0] and[0] automobiles[0] there[0] was[0] real[0] chemistry[0] between[0] steve[0] martin[0] and[0] john[0] candy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in nothing to lose , there is hardly chemistry at all . 	in nothing to lose , there is hardly chemistry at all .	1	-2	 in[0] nothing[0] to[0] lose[-1] there[0] is[0] hardly[0] chemistry[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
towards the end the chemistry seems to work , but for the bulk of the film , there is hardly any , 	towards the end the chemistry seems to work , but for the bulk of the film , there is hardly any ,	1	-1	 towards[0] the[0] end[0] the[0] chemistry[0] seems[0] to[0] work[0] but[0] for[0] the[0] bulk[0] of[0] the[0] film[0] there[0] is[0] hardly[0] any[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director directs the film in a workman like fashion , but gets the jokes across . 	the director directs the film in a workman like fashion , but gets the jokes across .	2	-1	 the[0] director[0] directs[0] the[0] film[0] in[0] a[0] workman[0] like[1] fashion[0] but[0] gets[0] the[0] jokes[1] across[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and although there is no chemistry between the two leads , they give good performances on their own . 	and although there is no chemistry between the two leads , they give good performances on their own .	2	-1	 and[0] although[0] there[0] is[0] no[0] chemistry[0] between[0] the[0] two[0] leads[0] they[0] give[0] good[1] performances[0] on[0] their[0] own[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lawerence gives a good eddie murphy performance , and robbin's is alright aswell . 	lawerence gives a good eddie murphy performance , and robbin's is alright aswell .	2	-1	 lawerence[0] gives[0] a[0] good[1] eddie[0] murphy[0] performance[0] and[0] robbin's[0] is[0] alright[0] aswell[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , robbin's performance is nowhere near as good as the characters he played in jacob's ladder , and the player . 	however , robbin's performance is nowhere near as good as the characters he played in jacob's ladder , and the player .	2	-1	 however[0] robbin's[0] performance[0] is[0] nowhere[0] near[0] as[0] good[1] as[0] the[0] characters[0] he[0] played[0] in[0] jacob's[0] ladder[0] and[0] the[0] player[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
