sometimes , when i decide to write a short story or a poem , i think of a title first , and then think of a subject to go with it . 	Translation	Positive	Negative	EmotionRationale
it seems that the makers of disturbing behavior had a similar train of thought when it came to the title sequence . 	it seems that the makers of disturbing behavior had a similar train of thought when it came to the title sequence .	1	-2	 it[0] seems[0] that[0] the[0] makers[0] of[0] disturbing[-1] behavior[0] had[0] a[0] similar[0] train[0] of[0] thought[0] when[0] it[0] came[0] to[0] the[0] title[0] sequence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i wouldn't be surprised if a couple of guys got together and created the opening credits , and then someone saw it and made up a story to go along with it . 	i wouldn't be surprised if a couple of guys got together and created the opening credits , and then someone saw it and made up a story to go along with it .	1	-1	 i[0] wouldn't[0] be[0] surprised[0] if[0] a[0] couple[0] of[0] guys[0] got[0] together[0] and[0] created[0] the[0] opening[0] credits[0] and[0] then[0] someone[0] saw[0] it[0] and[0] made[0] up[0] a[0] story[0] to[0] go[0] along[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the title sequence is so good , so ominous and original , that it had me engrossed before the picture even began . 	the title sequence is so good , so ominous and original , that it had me engrossed before the picture even began .	2	-3	 the[0] title[0] sequence[0] is[0] so[0] good[1] so[0] ominous[-2] and[0] original[0] that[0] it[0] had[0] me[0] engrossed[0] before[0] the[0] picture[0] even[0] began[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course , my attention dwindled shortly into the film . 	of course , my attention dwindled shortly into the film .	1	-2	 of[0] course[0] my[0] attention[0] dwindled[-1] shortly[0] into[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
disturbing behavior , like so many thrillers , starts off interesting and ends up laughably ridiculous . 	disturbing behavior , like so many thrillers , starts off interesting and ends up laughably ridiculous .	2	-3	 disturbing[-1] behavior[0] like[1] so[0] many[0] thrillers[1] starts[0] off[0] interesting[1] and[0] ends[0] up[0] laughably[1] ridiculous[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's a teen horror film with no interesting violence or sex . 	it's a teen horror film with no interesting violence or sex .	2	-4	 it's[0] a[0] teen[0] horror[-3] film[0] with[0] no[0] interesting[1] violence[-3] or[0] sex[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's a suspense film with no suspense . 	it's a suspense film with no suspense .	1	-1	 it's[0] a[0] suspense[0] film[0] with[0] no[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's an evil small town story with no story to speak of . 	it's an evil small town story with no story to speak of .	1	-3	 it's[0] an[0] evil[-2] small[0] town[0] story[0] with[0] no[0] story[0] to[0] speak[0] of[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a disaster , a listless and uninspired disaster , that just barely misses one-stardom because of a few good sequences , a mercifully short running time , and one terrific set of opening credits . 	it's a disaster , a listless and uninspired disaster , that just barely misses one-stardom because of a few good sequences , a mercifully short running time , and one terrific set of opening credits .	4	-3	 it's[0] a[0] disaster[-1] a[0] listless[0] and[0] uninspired[0] disaster[-1] that[0] just[0] barely[0] misses[-2] one[0] stardom[0] because[0] of[0] a[0] few[0] good[1] sequences[0] a[0] mercifully[0] short[0] running[0] time[0] and[0] one[0] terrific[3] set[0] of[0] opening[0] credits[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
our main man is a fellow named steve clark , blandly played by jimmy marsden . 	our main man is a fellow named steve clark , blandly played by jimmy marsden .	1	-1	 our[0] main[0] man[0] is[0] a[0] fellow[0] named[0] steve[0] clark[0] blandly[0] played[0] by[0] jimmy[0] marsden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
