 " flubber " is the second best example of how to take all the life out of a film remake an adaptation , and hysterically enough both were distributed by disney . 	Translation	Positive	Negative	EmotionRationale
it's the kind of film that may be slightly entertaining to tiny kids , but anyone else will feel left out as it's boring , slow , and incredibly lifeless . 	it's the kind of film that may be slightly entertaining to tiny kids , but anyone else will feel left out as it's boring , slow , and incredibly lifeless .	2	-4	 it's[0] the[0] kind[1] of[0] film[0] that[0] may[0] be[0] slightly[0] entertaining[0] to[0] tiny[0] kids[0] but[0] anyone[0] else[0] will[0] feel[0] left[0] out[0] as[0] it's[0] boring[-1] slow[0] and[0] incredibly[0] lifeless[-1][-2 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
what could be a film with cinematic magic is instead dead in the water , and it's a shame because it could have been a great film . 	what could be a film with cinematic magic is instead dead in the water , and it's a shame because it could have been a great film .	3	-3	 what[0] could[0] be[0] a[0] film[0] with[0] cinematic[0] magic[0] is[0] instead[0] dead[-2] in[0] the[0] water[0] and[0] it's[0] a[0] shame[-2] because[0] it[0] could[0] have[0] been[0] a[0] great[2] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
hypothetically , i mean . 	hypothetically , i mean .	1	-1	 hypothetically[0] i[0] mean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " flubber , " as you probably know , is a remake of the disney classic i never saw , " the absent minded professor , " where a , well , absent minded professor played by fred mcmurray created an erratic substance known as " flubber , " you know , flying rubber ? 	 " flubber , " as you probably know , is a remake of the disney classic i never saw , " the absent minded professor , " where a , well , absent minded professor played by fred mcmurray created an erratic substance known as " flubber , " you know , flying rubber ?	1	-2	 flubber[0] as[0] you[0] probably[0] know[0] is[0] a[0] remake[0] of[0] the[0] disney[0] classic[0] i[0] never[0] saw[0] the[0] absent[-1] minded[0] professor[0] where[0] a[0] well[0] absent[-1] minded[0] professor[0] played[0] by[0] fred[0] mcmurray[0] created[0] an[0] erratic[0] substance[0] known[0] as[0] flubber[0] you[0] know[0] flying[0] rubber[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the new one keeps the basic plot , but appears to have added a lot else , like more absent-mindedness on the part of the proffessor , some more villains , and several " show-stopping " moments , like a big rumba with the flubber , and some more elaborate setups , none which really make it any better , but instead make it worse . 	the new one keeps the basic plot , but appears to have added a lot else , like more absent-mindedness on the part of the professor , some more villains , and several " show-stopping " moments , like a big rumba with the flubber , and some more elaborate setups , none which really make it any better , but instead make it worse .	2	-3	 the[0] new[0] one[0] keeps[0] the[0] basic[0] plot[0] but[0] appears[0] to[0] have[0] added[0] a[0] lot[0] else[0] like[1] more[0] absent[-1] mindedness[0] on[0] the[0] part[0] of[0] the[0] proffessor/professor[0] some[0] more[0] villains[-2] and[0] several[0] show[0] stopping[0] moments[0] like[1] a[0] big[0] rumba[0] with[0] the[0] flubber[0] and[0] some[0] more[0] elaborate[0] setups[0] none[0] which[0] really[0] make[0] it[0] any[0] better[0] but[0] instead[0] make[0] it[0] worse[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the basic plot revolves around a college professor , philip brainerd ( robin williams ) , who creates lots and lots of inventions , but is sadly absent minded . 	the basic plot revolves around a college professor , philip brainerd ( robin williams ) , who creates lots and lots of inventions , but is sadly absent minded .	1	-2	 the[0] basic[0] plot[0] revolves[0] around[0] a[0] college[0] professor[0] philip[0] brainerd[0] robin[0] williams[0] who[0] creates[0] lots[0] and[0] lots[0] of[0] inventions[0] but[0] is[0] sadly[-1] absent[-1] minded[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , he's forgotten his wedding to the college's president , sara jean reynolds ( indie actress marcia gay harden ) , two times before he forgets it again at the beginning . 	in fact , he's forgotten his wedding to the college's president , sara jean reynolds ( indie actress marcia gay harden ) , two times before he forgets it again at the beginning .	1	-2	 in[0] fact[0] he's[0] forgotten[0] his[0] wedding[0] to[0] the[0] college's[0] president[0] sara[0] jean[0] reynolds[0] indie[0] actress[0] marcia[0] gay[-1] harden[0] two[0] times[0] before[0] he[0] forgets[0] it[0] again[0] at[0] the[0] beginning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
doesn't this warrant some kind of mental treatment ? 	doesn't this warrant some kind of mental treatment ?	1	-1	 doesn't[0] this[0] warrant[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] mental[0] treatment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , on his wedding day ( the third one ) , he invents the flubber , which not only bounces off of everything like a super ball on speed , but can also change shape like the aliens in water form in " the abyss . " 	anyway , on his wedding day ( the third one ) , he invents the flubber , which not only bounces off of everything like a super ball on speed , but can also change shape like the aliens in water form in " the abyss .<br> "	3	-2	 anyway[0] on[0] his[0] wedding[0] day[0] the[0] third[0] one[0] he[0] invents[0] the[0] flubber[0] which[0] not[0] only[0] bounces[0] off[0] of[0] everything[0] like[1] a[0] super[2] ball[0] on[0] speed[0] but[0] can[0] also[0] change[0] shape[0] like[1] the[0] aliens[0] in[0] water[0] form[0] in[0] the[0] abyss[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
philip believes that this invention , once fully realized , will save his college , which is in threat of being shut down by a millionaire tycoon/villain , chester hoenicker ( raymond j . barry ) , which is ironically enough the same college his brat son ( will wheaton - thought he was dead ) goes to . 	philip believes that this invention , once fully realized , will save his college , which is in threat of being shut down by a millionaire tycoon/villain , chester hoenicker ( raymond j .<br> barry ) , which is ironically enough the same college his brat son ( will wheaton - thought he was dead ) goes to .	2	-3	 philip[0] believes[0] that[0] this[0] invention[0] once[0] fully[0] realized[0] will[0] save[1] his[0] college[0] which[0] is[0] in[0] threat[-2] of[0] being[0] shut[0] down[0] by[0] a[0] millionaire[0] tycoon/villain[0] chester[0] hoenicker[0] raymond[0] j[0] [[Sentence=-3,2=word max, 1-5]] barry[0] which[0] is[0] ironically[-1] enough[0] the[0] same[0] college[0] his[0] brat[-1] son[0] will[0] wheaton[0] thought[0] he[0] was[0] dead[-2] goes[0] to[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
through a plot twist , hoenicker's goons , named smith and wesson ( ha ha - what a great sense of humor this film has ) who are played by clancy brown and ted levine ( both who needed the pay check ) , discover it the hard way , and try to steal for hoenicker , who wants it just 'cause he's evil enough . 	through a plot twist , hoenicker's goons , named smith and wesson ( ha ha - what a great sense of humor this film has ) who are played by clancy brown and ted levine ( both who needed the pay check ) , discover it the hard way , and try to steal for hoenicker , who wants it just 'cause he's evil enough .	3	-3	 through[0] a[0] plot[0] twist[0] hoenicker's[0] goons[0] named[0] smith[0] and[0] wesson[0] ha[1] ha[1] what[0] a[0] great[2] sense[0] of[0] humor[2] this[0] film[0] has[0] who[0] are[0] played[0] by[0] clancy[0] brown[0] and[0] ted[0] levine[0] both[0] who[0] needed[0] the[0] pay[0] check[0] discover[0] it[0] the[0] hard[0] way[0] and[0] try[0] to[0] steal[-2] for[0] hoenicker[0] who[0] wants[0] it[0] just[0] 'cause[0] he's[0] evil[-2] enough[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a sub-plot involves philip's attempts to win back sara , who's angry at him ( and with good reason ) , but who is being seduced by who is basically philip's belloq , wilson croft ( christopher mcdonald , playing the hysterically suave-yet-unsuave asswhole once again ) . 	a sub-plot involves philip's attempts to win back sara , who's angry at him ( and with good reason ) , but who is being seduced by who is basically philip's belloq , wilson croft ( christopher mcdonald , playing the hysterically suave-yet-unsuave asswhole once again ) .	2	-4	 a[0] sub[0] plot[0] involves[0] philip's[0] attempts[0] to[0] win[0] back[0] sara[0] who's[0] angry[-3] at[0] him[0] and[0] with[0] good[1] reason[0] but[0] who[0] is[0] being[0] seduced[0] by[0] who[0] is[0] basically[0] philip's[0] belloq[0] wilson[0] croft[0] christopher[0] mcdonald[0] playing[1] the[0] hysterically[0] suave[0] yet[0] unsuave[0] asswhole[0] once[0] again[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and in another subplot , philip's day-timer robot , weebo ( voiced by the one-and-only jodi benson ) , falls in love with him . 	and in another subplot , philip's day-timer robot , weebo ( voiced by the one-and-only jodi benson ) , falls in love with him .	3	-1	 and[0] in[0] another[0] subplot[0] philip's[0] day[0] timer[0] robot[0] weebo[0] voiced[0] by[0] the[0] one[0] and[0] only[0] jodi[0] benson[0] falls[0] in[0] love[2] with[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yuckity-yuck . 	yuckity-yuck .	1	-1	 yuckity[0] yuck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's most pathetic about this film is how dull it is . 	what's most pathetic about this film is how dull it is .	1	-3	 what's[0] most[0] pathetic[-2] about[0] this[0] film[0] is[0] how[0] dull[-1] it[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
