tv's buffy finds herself on the other side of the supernatural spectrum in " simply irresistible . " 	Translation	Positive	Negative	EmotionRationale
sarah michelle gellar , that never-ceasing crusader against never-ending evil every tuesday night on the wb network , here plays a down-on-her-luck chef suspected of dabbling in witchcraft after her flailing restaurant receives help in the form of magically scrumptious meals . 	sarah michelle gellar , that never-ceasing crusader against never-ending evil every tuesday night on the welcome back� network , here plays a down-on-her-luck chef suspected of dabbling in witchcraft after her flailing restaurant receives help in the form of magically scrumptious meals .	4	-2	 sarah[0] michelle[0] gellar[0] that[0] never[0] ceasing[0] crusader[0] against[-1] never[0] ending[0] evil[-2][NegatedDueToPreviousWord] every[0] tuesday[0] night[0] on[0] the[0] wb[0] network[0] here[0] plays[1] a[0] down[0] on[0] her[0] luck[2] chef[0] suspected[0] of[0] dabbling[0] in[0] witchcraft[-1] after[0] her[0] flailing[0] restaurant[0] receives[0] help[0] in[0] the[0] form[0] of[0] magically[0] scrumptious[3] meals[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
taste test results : some vampire slaying , though out of place , would have really livened this excruciating movie up . 	taste test results : some vampire slaying , though out of place , would have really livened this excruciating movie up .	1	-5	 taste[0] test[0] results[0] some[0] vampire[0] slaying[0] though[0] out[0] of[0] place[0] would[0] have[0] really[0] livened[0] this[0] excruciating[-4] movie[0] up[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
 " simply irresistible " is actually quite easy to deny , a disaster of culinary and other proportions pretty much from the opening on . 	 " simply irresistible " is actually quite easy to deny , a disaster of culinary and other proportions pretty much from the opening on .	3	-2	 simply[0] irresistible[0] is[0] actually[0] quite[0] easy[0] to[0] deny[-1] a[0] disaster[-1] of[0] culinary[0] and[0] other[0] proportions[0] pretty[2] much[0] from[0] the[0] opening[0] on[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
gellar's amanda finds herself falling for harried henri bendel exec tom ( sean patrick flannery of powder ) around the same time she discovers an uncanny ability to mystically manifest emotions in her cooking , a secret ingredient that arouses both his interest in her and the public's in her tiny tribeca eatery . 	gellar's amanda finds herself falling for harried henri bendel exec tom ( sean patrick flannery of powder ) around the same time she discovers an uncanny ability to mystically manifest emotions in her cooking , a secret ingredient that arouses both his interest in her and the public's in her tiny tribeca eatery .	2	-1	 gellar's[0] amanda[0] finds[0] herself[0] falling[0] for[0] harried[0] henri[0] bendel[0] exec[0] tom[0] sean[0] patrick[0] flannery[0] of[0] powder[0] around[0] the[0] same[0] time[0] she[0] discovers[0] an[0] uncanny[0] ability[0] to[0] mystically[0] manifest[0] emotions[0] in[0] her[0] cooking[0] a[0] secret[0] ingredient[0] that[0] arouses[0] both[0] his[0] interest[1] in[0] her[0] and[0] the[0] public's[0] in[0] her[0] tiny[0] tribeca[0] eatery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all this love and sorcery have a lot to do with the telekinetic crab that also figures into the story , a tale that at times plays like an american spin on 1993's mexican classic " like water for chocolate . " 	all this love and sorcery have a lot to do with the telekinetic crab that also figures into the story , a tale that at times plays like an american spin on 1993's mexican classic " like water for chocolate .<br> "	3	-1	 all[0] this[0] love[2] and[0] sorcery[0] have[0] a[0] lot[0] to[0] do[0] with[0] the[0] telekinetic[0] crab[0] that[0] also[0] figures[0] into[0] the[0] story[0] a[0] tale[0] that[0] at[0] times[0] plays[1] like[1] an[0] american[0] spin[0] on[0] 1993's[0] mexican[0] classic[0] like[1] water[0] for[0] chocolate[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
several differences : one , " like water " didn't have a telekinetic crab , and two , " like water " was a good film . 	several differences : one , " like water " didn't have a telekinetic crab , and two , " like water " was a good film .	2	-1	 several[0] differences[0] one[0] like[1] water[0] didn't[0] have[0] a[0] telekinetic[0] crab[0] and[0] two[0] like[1] water[0] was[0] a[0] good[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " simply irresistible , " on the other hand , is about as challenging as an easy-bake oven . 	 " simply irresistible , " on the other hand , is about as challenging as an easy-bake oven .	1	-1	 simply[0] irresistible[0] on[0] the[0] other[0] hand[0] is[0] about[0] as[0] challenging[0] as[0] an[0] easy[0] bake[0] oven[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amateurishly staged scenes cancel each other out in their badness , from an embarrassing seduction in a literal vanilla fog to an impromptu dance sequence where tom and amanda do their best fred and ginger - though fred and ginger never took part in anything this garish . 	amateurishly staged scenes cancel each other out in their badness , from an embarrassing seduction in a literal vanilla fog to an impromptu dance sequence where tom and amanda do their best fred and ginger - though fred and ginger never took part in anything this garish .	2	-3	 amateurishly[0] staged[0] scenes[0] cancel[-1] each[0] other[0] out[0] in[0] their[0] badness[-2] from[0] an[0] embarrassing[-2] seduction[0] in[0] a[0] literal[0] vanilla[0] fog[0] to[0] an[0] impromptu[0] dance[0] sequence[0] where[0] tom[0] and[0] amanda[0] do[0] their[0] best[1] fred[0] and[0] ginger[0] though[0] fred[0] and[0] ginger[0] never[0] took[0] part[0] in[0] anything[0] this[0] garish[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the intrusive musical score distracts from the flat dialogue at regular intervals , but it's not like you're were going to miss much . 	the intrusive musical score distracts from the flat dialogue at regular intervals , but it's not like you're were going to miss much .	2	-2	 the[0] intrusive[0] musical[0] score[0] distracts[-1] from[0] the[0] flat[0] dialogue[0] at[0] regular[0] intervals[0] but[0] it's[0] not[0] like[1][NegatedDueToPreviousWord] you're[0] were[0] going[0] to[0] miss[-1] much[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
in fact , take away the few instances of salty language and this has made-for-disney channel written all over it . 	in fact , take away the few instances of salty language and this has made-for-disney channel written all over it .	1	-1	 in[0] fact[0] take[0] away[0] the[0] few[0] instances[0] of[0] salty[0] language[0] and[0] this[0] has[0] made[0] for[0] disney[0] channel[0] written[0] all[0] over[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but a majority of " simply irresistible " 's resistibility factor has less to do with the afore-mentioned overkill than the bland leads - tom and amanda are so thin and ambiguously defined that there's just no fun rooting for their inevitable " happily ever after . " 	but a majority of " simply irresistible " 's resistibility factor has less to do with the afore-mentioned overkill than the bland leads - tom and amanda are so thin and ambiguously defined that there's just no fun rooting for their inevitable " happily ever after .<br> "	3	-2	 but[0] a[0] majority[0] of[0] simply[0] irresistible[0] 's[0] resistibility[0] factor[0] has[0] less[0] to[0] do[0] with[0] the[0] afore[0] mentioned[0] overkill[0] than[0] the[0] bland[-1] leads[0] tom[0] and[0] amanda[0] are[0] so[0] thin[0] and[0] ambiguously[-1] defined[0] that[0] there's[0] just[0] no[0] fun[1] rooting[0] for[0] their[0] inevitable[0] happily[2] ever[0] after[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
nor do the otherworldly powers that serve to bring them together make sense , so we're left with a ho-hum relationship based on enchanted eclairs ; it's not going to last long , people . 	nor do the otherworldly powers that serve to bring them together make sense , so we're left with a ho-hum relationship based on enchanted eclairs ; it's not going to last long , people .	1	-1	 nor[0] do[0] the[0] otherworldly[0] powers[0] that[0] serve[0] to[0] bring[0] them[0] together[0] make[0] sense[0] so[0] we're[0] left[0] with[0] a[0] ho[0] hum[0] relationship[0] based[0] on[0] enchanted[0] eclairs[0] it's[0] not[0] going[0] to[0] last[0] long[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps sensing this , the filmmakers have piled on weird supporting characters for acting vets like betty buckley , dylan baker and patricia clarkson , but they don't go anywhere either . 	perhaps sensing this , the filmmakers have piled on weird supporting characters for acting vets like betty buckley , dylan baker and patricia clarkson , but they don't go anywhere either .	2	-2	 perhaps[0] sensing[0] this[0] the[0] filmmakers[0] have[0] piled[0] on[0] weird[-1] supporting[1] characters[0] for[0] acting[0] vets[0] like[1] betty[0] buckley[0] dylan[0] baker[0] and[0] patricia[0] clarkson[0] but[0] they[0] don't[0] go[0] anywhere[0] either[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , nothing in " simply irresistible " goes anywhere save for gellar , and she doesn't go somewhere so much as you wish she'd go _somewhere_ - like to a better movie . 	in fact , nothing in " simply irresistible " goes anywhere save for gellar , and she doesn't go somewhere so much as you wish she'd go _somewhere_ - like to a better movie .	2	-1	 in[0] fact[0] nothing[0] in[0] simply[0] irresistible[0] goes[0] anywhere[0] save[1] for[0] gellar[0] and[0] she[0] doesn't[0] go[0] somewhere[0] so[0] much[0] as[0] you[0] wish[0] she'd[0] go[0] _somewhere_[0] like[1] to[0] a[0] better[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
already proving major talent with relatively few big- and small-screen roles , she's the sole reason this overcooked souffle isn't completely fit for the garbage disposal , looking smashing in her todd oldham-designed duds and investing much more in her perfunctory part than she ever gets in return . 	already proving major talent with relatively few big- and small-screen roles , she's the sole reason this overcooked souffle isn't completely fit for the garbage disposal , looking smashing in her todd oldham-designed duds and investing much more in her perfunctory part than she ever gets in return .	2	-3	 already[0] proving[0] major[0] talent[1] with[0] relatively[0] few[0] big[0] and[0] small[0] screen[0] roles[0] she's[0] the[0] sole[0] reason[0] this[0] overcooked[0] souffle[0] isn't[0] completely[0] fit[0] for[0] the[0] garbage[-2] disposal[-1] looking[0] smashing[0] in[0] her[0] todd[0] oldham[0] designed[0] duds[0] and[0] investing[0] much[0] more[0] in[0] her[0] perfunctory[0] part[0] than[0] she[0] ever[0] gets[0] in[0] return[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's certainly a dish best not served in it's current condition , but one can only guess that , without gellar , " simply irresistible " would be strictly unwatchable . 	it's certainly a dish best not served in it's current condition , but one can only guess that , without gellar , " simply irresistible " would be strictly unwatchable .	2	-2	 it's[0] certainly[0] a[0] dish[0] best[1] not[0] served[0] in[0] it's[0] current[0] condition[0] but[0] one[0] can[0] only[0] guess[0] that[0] without[0] gellar[0] simply[0] irresistible[0] would[0] be[0] strictly[-1] unwatchable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
