capsule : not as bad a sequel as crow 2 or batman & robin , but still horribly putrid , cheesy and ill-conceived . 	Translation	Positive	Negative	EmotionRationale
this one belongs in saturday morning cartoons . . . 	this one belongs in saturday morning cartoons .<br> .<br> .	1	-1	 this[0] one[0] belongs[0] in[0] saturday[0] morning[0] cartoons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
extended review : you know , about halfway through this movie , i realized that if you hacked out everything except the fight scenes , you'd have a damn fine 35 minutes or so of flashy , hong kong style martial arts . 	extended review : you know , about halfway through this movie , i realized that if you hacked out everything except the fight scenes , you'd have a damn fine 35 minutes or so of flashy , hong kong style martial arts .	3	-3	 extended[0] review[0] you[0] know[0] about[0] halfway[0] through[0] this[0] movie[0] i[0] realized[0] that[0] if[0] you[0] hacked[0] out[0] everything[0] except[0] the[0] fight[-2] scenes[0] you'd[0] have[0] a[0] damn[-1] fine[2] 35[0] minutes[0] or[0] so[0] of[0] flashy[0] hong[0] kong[0] style[0] martial[0] arts[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
beautifully choreographed by robin shou , who also plays liu kang , the fight scenes are both mind-blowing and graceful , acrobatic enough to make olympic gymnasts weep . 	beautifully choreographed by robin shou , who also plays liu kang , the fight scenes are both mind-blowing and graceful , acrobatic enough to make olympic gymnasts weep .	3	-3	 beautifully[2] choreographed[-2] by[0] robin[0] shou[0] who[0] also[0] plays[1] liu[0] kang[0] the[0] fight[-2] scenes[0] are[0] both[0] mind[0] blowing[0] and[0] graceful[2] acrobatic[0] enough[0] to[0] make[0] olympic[0] gymnasts[0] weep[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this is what made the original so fun , but unfortunately for the sequel , we are without the frenetic directorial style of paul anderson . 	this is what made the original so fun , but unfortunately for the sequel , we are without the frenetic directorial style of paul anderson .	2	-2	 this[0] is[0] what[0] made[0] the[0] original[0] so[0] fun[1] but[0] unfortunately[-1] for[0] the[0] sequel[0] we[0] are[0] without[0] the[0] frenetic[0] directorial[0] style[0] of[0] paul[0] anderson[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead , they got john r . leonetti , the cinematographer for the original mortal kombat . 	instead , they got john are .<br> leonetti , the cinematographer for the original mortal kombat .	1	-1	 instead[0] they[0] got[0] john[0] r[0] [[Sentence=-1,1=word max, 1-5]] leonetti[0] the[0] cinematographer[0] for[0] the[0] original[0] mortal[0] kombat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not a good choice . 	not a good choice .	1	-2	 not[0] a[0] good[1][NegatedDueToPreviousWord] choice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while the fight scenes are brutal and eye-popping , the rest of the movie looks like standard made for tv fare . 	while the fight scenes are brutal and eye-popping , the rest of the movie looks like standard made for tv fare .	2	-3	 while[0] the[0] fight[-2] scenes[0] are[0] brutal[-2] and[0] eye[0] popping[0] the[0] rest[0] of[0] the[0] movie[0] looks[0] like[1] standard[0] made[0] for[0] tv[0] fare[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the acting is sub-par , which i could endure if it were not for a . ) the director's style , b . ) the special effects , & c . ) the treatment of the story and characters . 	the acting is sub-par , which i could endure if it were not for a .<br> ) the director's style , b .<br> ) the special effects , & c .<br> ) the treatment of the story and characters .	2	-1	 the[0] acting[0] is[0] sub[0] par[0] which[0] i[0] could[0] endure[0] if[0] it[0] were[0] not[0] for[0] a[0] [[Sentence=-1,1=word max, 1-5]] the[0] director's[0] style[0] b[0] [[Sentence=-1,1=word max, 1-5]] the[0] special[1] effects[0] &[0] c[0] [[Sentence=-1,2=word max, 1-5]] the[0] treatment[0] of[0] the[0] story[0] and[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
a . ) mr . leonetti should go back to lighting , in my opinion . 	a .<br> ) mr .<br> leonetti should go back to lighting , in my opinion .	1	-1	 a[0] [[Sentence=-1,1=word max, 1-5]] mr[0] [[Sentence=-1,1=word max, 1-5]] leonetti[0] should[0] go[0] back[0] to[0] lighting[0] in[0] my[0] opinion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i could say dozens of bad things about him : he way overuses slow-motion , he has no eye for action , he can't get even mediocre performances out of actors , and so on . 	i could say dozens of bad things about him : he way overuses slow-motion , he has no eye for action , he can't get even mediocre performances out of actors , and so on .	1	-2	 i[0] could[0] say[0] dozens[0] of[0] bad[-1] things[0] about[0] him[0] he[0] way[0] overuses[0] slow[0] motion[0] he[0] has[0] no[0] eye[0] for[0] action[0] he[0] can't[0] get[0] even[0] mediocre[-1] performances[0] out[0] of[0] actors[0] and[0] so[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
