the high school comedy seems to be a hot genre of the moment . 	Translation	Positive	Negative	EmotionRationale
with she's all that and varsity blues behind us , and several more set for release later in the year , the teen comedy seems to be experiencing its own renaissance . 	with she's all that and varsity blues behind us , and several more set for release later in the year , the teen comedy seems to be experiencing its own renaissance .	1	-1	 with[0] she's[0] all[0] that[0] and[0] varsity[0] blues[0] behind[0] us[0] and[0] several[0] more[0] set[0] for[0] release[0] later[0] in[0] the[0] year[0] the[0] teen[0] comedy[0] seems[0] to[0] be[0] experiencing[0] its[0] own[0] renaissance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , you wouldn't know it from the quality of the latest entry : jawbreaker . 	however , you wouldn't know it from the quality of the latest entry : jawbreaker .	1	-1	 however[0] you[0] wouldn't[0] know[0] it[0] from[0] the[0] quality[0] of[0] the[0] latest[0] entry[0] jawbreaker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this shockingly bitter candy definitely has a sour center . 	this shockingly bitter candy definitely has a sour center .	1	-3	 this[0] shockingly[-2] bitter[-1] candy[0] definitely[0] has[0] a[0] sour[-1] center[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the most popular , and most feared , clique at reagan high school have an unexpected dilemma . 	the most popular , and most feared , clique at reagan high school have an unexpected dilemma .	1	-3	 the[0] most[0] popular[0] and[0] most[0] feared[-2] clique[-1] at[0] reagan[0] high[0] school[0] have[0] an[0] unexpected[0] dilemma[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they have accidentally killed one of their own , the " teen dream " , liz purr ( charlotte roldan ) , choked on a giant jawbreaker during a kidnapping prank for her 17th birthday . 	they have accidentally killed one of their own , the " teen dream " , liz pur ( charlotte roldan ) , choked on a giant jawbreaker during a kidnapping prank for her 17th birthday .	1	-4	 they[0] have[0] accidentally[-1] killed[-3] one[0] of[0] their[0] own[0] the[0] teen[0] dream[0] liz[0] purr/pur[0] charlotte[0] roldan[0] choked[-3] on[0] a[0] giant[0] jawbreaker[0] during[0] a[0] kidnapping[0] prank[0] for[0] her[0] 17th[0] birthday[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now the three surviving girls must decide what to do . 	now the three surviving girls must decide what to do .	1	-1	 now[0] the[0] three[0] surviving[0] girls[0] must[0] decide[0] what[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it takes little time at all for the group's leader , courtney ( rose mcgowan ) , to decide to cover it up . 	it takes little time at all for the group's leader , courtney ( rose mcgowan ) , to decide to cover it up .	1	-1	 it[0] takes[0] little[0] time[0] at[0] all[0] for[0] the[0] group's[0] leader[0] courtney[0] rose[0] mcgowan[0] to[0] decide[0] to[0] cover[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ditzy marcie ( julie benz ) is game to go along , but the clique's final member , julie ( rebecca gayheart ) , has a guilty conscience . 	the ditzy marcie ( julie benz ) is game to go along , but the clique's final member , julie ( rebecca gayheart ) , has a guilty conscience .	1	-4	 the[0] ditzy[0] marcie[0] julie[0] benz[0] is[0] game[0] to[0] go[0] along[0] but[0] the[0] clique's[0] final[0] member[0] julie[0] rebecca[0] gayheart[0] has[0] a[0] guilty[-3] conscience[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to make things worse , another student , the hopelessly geeky fern mayo ( judy evans greer ) accidentally discovers the truth . 	to make things worse , another student , the hopelessly geeky fern mayo ( judy evans greer ) accidentally discovers the truth .	2	-4	 to[0] make[0] things[0] worse[-2] another[0] student[0] the[0] hopelessly[-3] geeky[0] fern[0] mayo[0] judy[0] evans[0] greer[0] accidentally[-1] discovers[0] the[0] truth[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the girls' cover is surely blown . . . 	the girls' cover is surely blown .<br> .<br> .	1	-1	 the[0] girls'[0] cover[0] is[0] surely[0] blown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not so fast . 	not so fast .	1	-1	 not[0] so[0] fast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
