capsule : a ham-handed and over/underwritten morality play masquerading as entertainment , so muddled it doesn't even know what it's really advocating , if anything . 	Translation	Positive	Negative	EmotionRationale
a time to kill has been hailed as the best of the grisham adaptations , and it's easy to see why : it presents a strong , almost rancorously so , story ; it is full of good actors ( samuel l . jackson , matthew mcconaughey , sandra bullock , kevin spacey , charles dutton ) ; and it's ostensibly about some important social issue that we're all tangling with . 	a time to kill has been hailed as the best of the grisham adaptations , and it's easy to see why : it presents a strong , almost rancorously so , story ; it is full of good actors ( samuel l .<br> jackson , matthew mcconaughey , sandra bullock , kevin spacey , charles dutton ) ; and it's ostensibly about some important social issue that we're all tangling with .	2	-2	 a[0] time[0] to[0] kill[-1] has[0] been[0] hailed[0] as[0] the[0] best[1] of[0] the[0] grisham[0] adaptations[0] and[0] it's[0] easy[0] to[0] see[0] why[0] it[0] presents[0] a[0] strong[0] almost[0] rancorously[0] so[0] story[0] it[0] is[0] full[0] of[0] good[1] actors[0] samuel[0] l[0] [[Sentence=-2,2=word max, 1-5]] jackson[0] matthew[0] mcconaughey[0] sandra[0] bullock[0] kevin[0] spacey[0] charles[0] dutton[0] and[0] it's[0] ostensibly[0] about[0] some[0] important[0] social[0] issue[0] that[0] we're[0] all[0] tangling[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
it is not , however , a good movie , and all of the reasons i've listed above have something to do with why . 	it is not , however , a good movie , and all of the reasons i've listed above have something to do with why .	2	-1	 it[0] is[0] not[0] however[0] a[0] good[1] movie[0] and[0] all[0] of[0] the[0] reasons[0] i've[0] listed[0] above[0] have[0] something[0] to[0] do[0] with[0] why[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
right from the beginning , the movie is dead-set on stacking its deck as thoroughly and unrepentantly as possible . 	right from the beginning , the movie is dead-set on stacking its deck as thoroughly and unrepentantly as possible .	1	-3	 right[0] from[0] the[0] beginning[0] the[0] movie[0] is[0] dead[-2] set[0] on[0] stacking[0] its[0] deck[0] as[0] thoroughly[0] and[0] unrepentantly[0] as[0] possible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a pair of redneck whites , boozed and drugged out of their minds , kidnap a young black girl , abuse and rape her horribly , and leave her for dead . 	a pair of redneck whites , boozed and drugged out of their minds , kidnap a young black girl , abuse and rape her horribly , and leave her for dead .	1	-4	 a[0] pair[0] of[0] redneck[0] whites[0] boozed[0] and[0] drugged[0] out[0] of[0] their[0] minds[0] kidnap[-1] a[0] young[0] black[0] girl[0] abuse[-3] and[0] rape[-3] her[0] horribly[-3] and[0] leave[0] her[0] for[0] dead[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after their arrest , their father ( jackson ) takes an assault rifle and guns them down on the way to trial . 	after their arrest , their father ( jackson ) takes an assault rifle and guns them down on the way to trial .	1	-3	 after[0] their[0] arrest[0] their[0] father[0] jackson[0] takes[0] an[0] assault[-2] rifle[0] and[0] guns[-1] them[0] down[0] on[0] the[0] way[0] to[0] trial[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mcconaughey is then drafted in as his lawyer , and the rest is somehow strangely predictable courtoom movie dramatics . 	mcconaughey is then drafted in as his lawyer , and the rest is somehow strangely predictable courtoom movie dramatics .	1	-1	 mcconaughey[0] is[0] then[0] drafted[0] in[0] as[0] his[0] lawyer[0] and[0] the[0] rest[0] is[0] somehow[0] strangely[0] predictable[0] courtoom[0] movie[0] dramatics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is not quite what it should be , given the cast we have . 	the acting is not quite what it should be , given the cast we have .	1	-1	 the[0] acting[0] is[0] not[0] quite[0] what[0] it[0] should[0] be[0] given[0] the[0] cast[0] we[0] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sandra bullock ( who is a good actress but not a serious one ) looks clueless ; spacey's accent switches itself on and off at random ( and he's given a totally thankless role to play as well , a role without an iota of depth ) ; and mcconaughey's role is stamped from the cardboard back of a cereal box . 	sandra bullock ( who is a good actress but not a serious one ) looks clueless ; spacey's accent switches itself on and off at random ( and he's given a totally thankless role to play as well , a role without an iota of depth ) ; and mcconaughey's role is stamped from the cardboard back of a cereal box .	2	-1	 sandra[0] bullock[0] who[0] is[0] a[0] good[1] actress[0] but[0] not[0] a[0] serious[-1][NegatedDueToPreviousWord] one[0] looks[0] clueless[0] spacey's[0] accent[0] switches[0] itself[0] on[0] and[0] off[0] at[0] random[0] and[0] he's[0] given[0] a[0] totally[0] thankless[0] role[0] to[0] play[0] as[0] well[0] a[0] role[0] without[0] an[0] iota[0] of[0] depth[0] and[0] mcconaughey's[0] role[0] is[0] stamped[0] from[0] the[0] cardboard[0] back[0] of[0] a[0] cereal[0] box[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the most memorable role is donald sutherland's , and his is a bit part . 	the most memorable role is donald sutherland's , and his is a bit part .	1	-1	 the[0] most[0] memorable[0] role[0] is[0] donald[0] sutherland's[0] and[0] his[0] is[0] a[0] bit[0] part[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i always consider it an index of a movie's desperation when it is able to present shocking and outlandish events , and somehow not have them generate an ounce of impact . 	i always consider it an index of a movie's desperation when it is able to present shocking and outlandish events , and somehow not have them generate an ounce of impact .	1	-3	 i[0] always[0] consider[0] it[0] an[0] index[0] of[0] a[0] movie's[0] desperation[-2] when[0] it[0] is[0] able[0] to[0] present[0] shocking[-2] and[0] outlandish[0] events[0] and[0] somehow[0] not[0] have[0] them[0] generate[0] an[0] ounce[0] of[0] impact[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
