some talented actresses are blessed with a demonstrated wide acting range while others , almost as gifted , have more limited types of parts for which they are suitable . 	Translation	Positive	Negative	EmotionRationale
as was amply evident after basic instinct , sharon stone can play sensual roles with great abandon . 	as was amply evident after basic instinct , sharon stone can play sensual roles with great abandon .	3	-2	 as[0] was[0] amply[0] evident[0] after[0] basic[0] instinct[0] sharon[0] stone[0] can[0] play[0] sensual[0] roles[0] with[0] great[2] abandon[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
rejecting her natural abilities , she has spent the rest of her entire career trying with little success to play against type . 	rejecting her natural abilities , she has spent the rest of her entire career trying with little success to play against type .	3	-2	 rejecting[-1] her[0] natural[0] abilities[0] she[0] has[0] spent[0] the[0] rest[0] of[0] her[0] entire[0] career[0] trying[0] with[0] little[0] success[2] to[0] play[0] against[-1] type[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
gloria is her latest disaster . 	gloria is her latest disaster .	2	-2	 gloria[1] is[0] her[0] latest[0] disaster[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
babe ruth didn't quit baseball after one season to play football in a quixotic quest to prove his athletic dexterity , and neither should stone reject what she does best . 	babe ruth didn't quit baseball after one season to play football in a quixotic quest to prove his athletic dexterity , and neither should stone reject what she does best .	2	-2	 babe[0] ruth[0] didn't[0] quit[-1] baseball[0] after[0] one[0] season[0] to[0] play[0] football[0] in[0] a[0] quixotic[0] quest[0] to[0] prove[0] his[0] athletic[0] dexterity[0] and[0] neither[0] should[0] stone[0] reject[-1] what[0] she[0] does[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
janeane garofalo , for example , is no less wonderful an actress because she could have never pulled off stone's part in basic instinct ; neither is stone any less talented because she couldn't do garofalo's comedic roles . 	janeane garofalo , for example , is no less wonderful an actress because she could have never pulled off stone's part in basic instinct ; neither is stone any less talented because she couldn't do garofalo's comedic roles .	3	-1	 janeane[0] garofalo[0] for[0] example[0] is[0] no[0] less[0] wonderful[2] an[0] actress[0] because[0] she[0] could[0] have[0] never[0] pulled[0] off[0] stone's[0] part[0] in[0] basic[0] instinct[0] neither[0] is[0] stone[0] any[0] less[0] talented[1] because[0] she[0] couldn't[0] do[0] garofalo's[0] comedic[0] roles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gloria , directed by respected director sidney lumet and adapted by steve antin from the 1980 screenplay by john cassavetes , was not screened in advance for critics , almost always a sign that the studio isn't behind the picture . 	gloria , directed by respected director sidney lumet and adapted by steve antin from the 1980 screenplay by john cassavetes , was not screened in advance for critics , almost always a sign that the studio isn't behind the picture .	3	-1	 gloria[1] directed[0] by[0] respected[2] director[0] sidney[0] lumet[0] and[0] adapted[0] by[0] steve[0] antin[0] from[0] the[0] 1980[0] screenplay[0] by[0] john[0] cassavetes[0] was[0] not[0] screened[0] in[0] advance[0] for[0] critics[0] almost[0] always[0] a[0] sign[0] that[0] the[0] studio[0] isn't[0] behind[0] the[0] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after seeing it in a nearly empty audience after it opened , it is clear why they held it from the press . 	after seeing it in a nearly empty audience after it opened , it is clear why they held it from the press .	1	-1	 after[0] seeing[0] it[0] in[0] a[0] nearly[0] empty[0] audience[0] after[0] it[0] opened[0] it[0] is[0] clear[0] why[0] they[0] held[0] it[0] from[0] the[0] press[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a film more to be endured than enjoyed . 	it is a film more to be endured than enjoyed .	3	-1	 it[0] is[0] a[0] film[0] more[0] to[0] be[0] endured[0] than[0] enjoyed[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as the story opens , an angry gloria ( stone ) is being released from prison after 3 years confinement . 	as the story opens , an angry gloria ( stone ) is being released from prison after 3 years confinement .	2	-4	 as[0] the[0] story[0] opens[0] an[0] angry[-3] gloria[1] stone[0] is[0] being[0] released[0] from[0] prison[-1] after[0] 3[0] years[0] confinement[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she's got a bad attitude and a big mouth . 	she's got a bad attitude and a big mouth .	1	-2	 she's[0] got[0] a[0] bad[-1] attitude[0] and[0] a[0] big[0] mouth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
