 " nothing more than a high budget masturbation fantasy " 	Translation	Positive	Negative	EmotionRationale
showgirls ( nc-17 ) - contains graphic nudity , profanity , sexual situations and violence . 	showgirls ( nc-17 ) - contains graphic nudity , profanity , sexual situations and violence .	1	-4	 showgirls[0] nc[0] -17[0] contains[0] graphic[0] nudity[0] profanity[0] sexual[0] situations[0] and[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some people , however , keep their clothes on . 	some people , however , keep their clothes on .	1	-1	 some[0] people[0] however[0] keep[0] their[0] clothes[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you do not watch porn films for their intellectual values , nor do you write reviews on them . 	you do not watch porn films for their intellectual values , nor do you write reviews on them .	2	-1	 you[0] do[0] not[0] watch[0] porn[0] films[0] for[0] their[0] intellectual[0] values[1] nor[0] do[0] you[0] write[0] reviews[0] on[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's why this review will be short . 	that's why this review will be short .	1	-1	 that's[0] why[0] this[0] review[0] will[0] be[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems that this film will end up in the porn section when it hits the video stores . 	it seems that this film will end up in the porn section when it hits the video stores .	1	-1	 it[0] seems[0] that[0] this[0] film[0] will[0] end[0] up[0] in[0] the[0] porn[0] section[0] when[0] it[0] hits[0] the[0] video[0] stores[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no story , script , point or acting . 	there is no story , script , point or acting .	1	-1	 there[0] is[0] no[0] story[0] script[0] point[0] or[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only naked bodies , which is exactly the point . 	only naked bodies , which is exactly the point .	1	-1	 only[0] naked[0] bodies[0] which[0] is[0] exactly[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here is the so called plot : nomi , the 23-year-old with a dark past as a hooker , has hitchhiked from somewhere back east to perform in a show where a dancer doesn't wear much more than a light coating of powder and a big , fake smile . 	here is the so called plot : nomi , the 23-year-old with a dark past as a hooker , has hitchiked from somewhere back east to perform in a show where a dancer doesn't wear much more than a light coating of powder and a big , fake smile .	3	-2	 here[0] is[0] the[0] so[0] called[0] plot[0] nomi[0] the[0] 23[0] year[0] old[0] with[0] a[0] dark[0] past[0] as[0] a[0] hooker[0] has[0] hitchhiked/hitchiked[0] from[0] somewhere[0] back[0] east[0] to[0] perform[0] in[0] a[0] show[0] where[0] a[0] dancer[0] doesn't[0] wear[0] much[0] more[0] than[0] a[0] light[0] coating[0] of[0] powder[0] and[0] a[0] big[0] fake[-1] smile[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
no one is twisting nomi's arm . 	no one is twisting nomi's arm .	1	-1	 no[0] one[0] is[0] twisting[0] nomi's[0] arm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no one is holding her grandmother hostage . 	no one is holding her grandmother hostage .	1	-1	 no[0] one[0] is[0] holding[0] her[0] grandmother[0] hostage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she wants to do this . 	she wants to do this .	1	-1	 she[0] wants[0] to[0] do[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that is what she is doing till the end credits . 	and that is what she is doing till the end credits .	1	-1	 and[0] that[0] is[0] what[0] she[0] is[0] doing[0] till[0] the[0] end[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so what's the problem then ? 	so what's the problem then ?	1	-2	 so[0] what's[0] the[0] problem[-1] then[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what's the point ? 	what's the point ?	1	-1	 what's[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's the film about ? 	what's the film about ?	1	-1	 what's[0] the[0] film[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is there anyone whose aspirations could inspire less sympathy ? 	is there anyone whose aspirations could inspire less sympathy ?	2	-1	 is[0] there[0] anyone[0] whose[0] aspirations[0] could[0] inspire[2][-1 LastWordBoosterStrength] less[0] sympathy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
