starring ben stiller , elizabeth hurley , maria bello , janeane garofalo screenplay by david veloz , based on the novel by jerry stahl directed by david veloz 	Translation	Positive	Negative	EmotionRationale
permanent midnight is a pretty bad movie , though it took me a few days to conclude this . 	permanent midnight is a pretty bad movie , though it took me a few days to conclude this .	3	-2	 permanent[0] midnight[0] is[0] a[0] pretty[2] bad[-1] movie[0] though[0] it[0] took[0] me[0] a[0] few[0] days[0] to[0] conclude[0] this[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film is more masturbatory than bleak , with its main character intent on confounding us with his stupidity . 	the film is more masturbatory than bleak , with its main character intent on confounding us with his stupidity .	1	-2	 the[0] film[0] is[0] more[0] masturbatory[0] than[0] bleak[-1] with[0] its[0] main[0] character[0] intent[0] on[0] confounding[-1] us[0] with[0] his[0] stupidity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( he has a  6000 a week drug habit . ) 	 ( he has a  600 a week drug habit .<br> )	1	-1	 he[0] has[0] a[0] 6000/600[0] a[0] week[0] drug[0] habit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ultimately , as adapted by veloz , jerry stahl comes off as one of those playground braggarts who chainsmokes at the age of twelve ; you are less mystified by his self-destructive nature than bored into a stupor yourself . 	ultimately , as adapted by veloz , jerry stahl comes off as one of those playground braggarts who chainsmokes at the age of twelve ; you are less mystified by his self-destructive nature than bored into a stupor yourself .	1	-2	 ultimately[0] as[0] adapted[0] by[0] veloz[0] jerry[0] stahl[0] comes[0] off[0] as[0] one[0] of[0] those[0] playground[0] braggarts[-1] who[0] chainsmokes[0] at[0] the[0] age[0] of[0] twelve[0] you[0] are[0] less[0] mystified[0] by[0] his[0] self[0] destructive[0] nature[0] than[0] bored[-1] into[0] a[0] stupor[-1] yourself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ben stiller plays stahl , a young author who arrives in l . a . with ambition and a nasty drug habit . 	ben stiller plays stahl , a young author who arrives in l .<br> a .<br> with ambition and a nasty drug habit .	2	-3	 ben[0] stiller[0] plays[1] stahl[0] a[0] young[0] author[0] who[0] arrives[0] in[0] l[0] [[Sentence=-1,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] with[0] ambition[0] and[0] a[0] nasty[-2] drug[0] habit[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
he eventually gets a gig for  5000/week writing for a sitcom called mr . chompers ( a thinly veiled stand-in for " alf " : chompers looks just like alf except he's blue ) , marries a producer ( hurley ) so she can get a green card , and hooks up with a spanish mother ( liz torres ) , who shoots heroin with him in the afternoons . 	he eventually gets a gig for  500/week writing for a sitcom called mr .<br> chompers ( a thinly veiled stand-in for " alf " : chompers looks just like alf except he's blue ) , marries a producer ( hurley ) so she can get a green card , and hooks up with a spanish mother ( liz torres ) , who shoots heroin with him in the afternoons .	3	-2	 he[0] eventually[0] gets[0] a[0] gig[0] for[0] 5000/week/500/week[0] writing[0] for[0] a[0] sitcom[0] called[0] mr[0] [[Sentence=-1,1=word max, 1-5]] chompers[0] a[0] thinly[0] veiled[0] stand[0] in[0] for[0] alf[0] chompers[0] looks[0] just[0] like[1][-1 LastWordBoosterStrength] alf[0] except[0] he's[0] blue[0] marries[0] a[0] producer[0] hurley[0] so[0] she[0] can[0] get[0] a[0] green[0] card[0] and[0] hooks[0] up[0] with[0] a[0] spanish[0] mother[0] liz[0] torres[0] who[0] shoots[-1] heroin[2] with[0] him[0] in[0] the[0] afternoons[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
insert proverbial downward spiral here . 	insert proverbial downward spiral here .	1	-1	 insert[0] proverbial[0] downward[0] spiral[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
permanent midnight is structured mostly as a flashback , with recovering addict bello meeting stiller ( at a fastfood restaurant , where stiller works the drive-thru as part of rehab ) , taking him back to a hotel , and between bouts of serious screwing , listening to his life story . 	permanent midnight is structured mostly as a flashback , with recovering addict bello meeting stiller ( at a fastfood restaurant , where stiller works the drive-thru as part of rehab ) , taking him back to a hotel , and between bouts of serious screwing , listening to his life story .	1	-2	 permanent[0] midnight[0] is[0] structured[0] mostly[0] as[0] a[0] flashback[0] with[0] recovering[0] addict[-1] bello[0] meeting[0] stiller[0] at[0] a[0] fastfood[0] restaurant[0] where[0] stiller[0] works[0] the[0] drive[0] thru[0] as[0] part[0] of[0] rehab[0] taking[0] him[0] back[0] to[0] a[0] hotel[0] and[0] between[0] bouts[0] of[0] serious[-1] screwing[0] listening[0] to[0] his[0] life[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've spent the last week trying to figure out why stiller never seemed to find the frighteningly gorgeous hurley attractive-worse , i've been trying to figure out why hurley did find stiller attractive . 	i've spent the last week trying to figure out why stiller never seemed to find the frighteningly gorgeous hurley attractive-worse , i've been trying to figure out why hurley did find stiller attractive .	3	-4	 i've[0] spent[0] the[0] last[0] week[0] trying[0] to[0] figure[0] out[0] why[0] stiller[0] never[0] seemed[0] to[0] find[0] the[0] frighteningly[-3] gorgeous[2] hurley[0] attractive[1] worse[-2] i've[0] been[0] trying[0] to[0] figure[0] out[0] why[0] hurley[0] did[0] find[0] stiller[0] attractive[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as stahl , stiller displays none of the charm or wit one would expect ( post-there's something about mary ) of either the actor or a comedy writer . 	as stahl , stiller displays none of the charm or wit one would expect ( post-there's something about mary ) of either the actor or a comedy writer .	2	-1	 as[0] stahl[0] stiller[0] displays[0] none[0] of[0] the[0] charm[1] or[0] wit[0] one[0] would[0] expect[0] post[0] there's[0] something[0] about[0] mary[0] of[0] either[0] the[0] actor[0] or[0] a[0] comedy[0] writer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
