the second serial-killer thriller of the month is just awful . 	Translation	Positive	Negative	EmotionRationale
oh , it starts deceptively okay , with a handful of intriguing characters and some solid location work . 	oh , it starts deceptively okay , with a handful of intriguing characters and some solid location work .	1	-2	 oh[0] it[0] starts[0] deceptively[-1] okay[0] with[0] a[0] handful[0] of[0] intriguing[0] characters[0] and[0] some[0] solid[0] location[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after a baby-sitter gets gutted in the suit- ably spooky someone's-in-the-house prologue , parallel stories unfold , the first involving a texas sheriff ( r . lee emery ) , a gruesome double murder , and the arrival of a morose fbi agent ( dennis quaid ) on the eve of voting for the local lawman's reelection . 	after a baby-sitter gets gutted in the suit- ably spooky someone's-in-the-house prologue , parallel stories unfold , the first involving a texas sheriff ( are .<br> lee emery ) , a gruesome double murder , and the arrival of a morose fbi agent ( dennis quaid ) on the eve of voting for the local lawman's reelection .	2	-4	 after[0] a[0] baby[1] sitter[0] gets[0] gutted[0] in[0] the[0] suit[0] ably[0] spooky[0] someone's[0] in[0] the[0] house[0] prologue[0] parallel[0] stories[0] unfold[0] the[0] first[0] involving[0] a[0] texas[0] sheriff[0] r[0] [[Sentence=-1,2=word max, 1-5]] lee[0] emery[0] a[0] gruesome[0] double[0] murder[-3] and[0] the[0] arrival[0] of[0] a[0] morose[0] fbi[0] agent[0] dennis[0] quaid[0] on[0] the[0] eve[0] of[0] voting[0] for[0] the[0] local[0] lawman's[0] reelection[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
the second pairs a hitch- hiker ( jared leto ) with a friendly former railroad worker ( danny glover ) . 	the second pairs a hitch- hiker ( jared leto ) with a friendly former railroad worker ( danny glover ) .	2	-1	 the[0] second[0] pairs[0] a[0] hitch[0] hiker[0] jared[0] leto[0] with[0] a[0] friendly[1] former[0] railroad[0] worker[0] danny[0] glover[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they're headed west , toward the rockies and away from the murder scene . 	they're headed west , toward the rockies and away from the murder scene .	1	-4	 they're[0] headed[0] west[0] toward[0] the[0] rockies[0] and[0] away[0] from[0] the[0] murder[-3] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
which one is the killer ? 	which one is the killer ?	1	-2	 which[0] one[0] is[0] the[0] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , it doesn't really matter , 'cause when writer/first-time director jeb stuart ( die hard ) finally spills the beans , you won't take his choice seriously anyway . 	well , it doesn't really matter , 'cause when writer/first-time director jeb stuart ( die hard ) finally spills the beans , you won't take his choice seriously anyway .	1	-2	 well[0] it[0] doesn't[0] really[0] matter[0] 'cause[0] when[0] writer/first[0] time[0] director[0] jeb[0] stuart[0] die[0] hard[0] finally[0] spills[-1] the[0] beans[0] you[0] won't[0] take[0] his[0] choice[0] seriously[0] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the whole thing goes south about an hour in , with the tale taking hairpin turns that i certainly couldn't follow . 	the whole thing goes south about an hour in , with the tale taking hairpin turns that i certainly couldn't follow .	1	-1	 the[0] whole[0] thing[0] goes[0] south[0] about[0] an[0] hour[0] in[0] with[0] the[0] tale[0] taking[0] hairpin[0] turns[0] that[0] i[0] certainly[0] couldn't[0] follow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and through the whole thing there's quaid , playing with the most intense monotony this side of steven sea- gal . 	and through the whole thing there's quaid , playing with the most intense monotony this side of steven sea- get a life� .	2	-2	 and[0] through[0] the[0] whole[0] thing[0] there's[0] quaid[0] playing[1] with[0] the[0] most[0] intense[0] monotony[-1] this[0] side[0] of[0] steven[0] sea[0] gal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i guess i'm glad that i didn't walk out-- there's some nice train stuff at the end and a fun nod to dr . 	i guess i'm glad that i didn't walk out- there's some nice train stuff at the end and a fun nod to dr .	2	-1	 i[0] guess[0] i'm[0] glad[1] that[0] i[0] didn't[0] walk[0] out[0] there's[0] some[0] nice[1][-1 LastWordBoosterStrength] train[0] stuff[0] at[0] the[0] end[0] and[0] a[0] fun[1] nod[0] to[0] dr[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
strangelove . 	strangelove .	1	-1	 strangelove[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
