in a typical cinematic high school , the football jocks have sex with the girls and then dump them , but not before the boys' scores are dutifully recorded in their little black books . 	Translation	Positive	Negative	EmotionRationale
as the sexual acts take place , the other guys hang out nearby , guzzling beer and grunting like pigs . 	as the sexual acts take place , the other guys hang out nearby , guzling beer and grunting like pigs .	2	-2	 as[0] the[0] sexual[0] acts[0] take[0] place[0] the[0] other[0] guys[0] hang[-1] out[0] nearby[0] guzzling/guzling[0] beer[0] and[0] grunting[0] like[1] pigs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the rage : carrie 2 , robert mandel's terminally bland sequel to carrie , there isn't a single original moment . 	in the rage : carrie 2 , robert mandel's terminally bland sequel to carrie , there isn't a single original moment .	1	-4	 in[0] the[0] rage[-3] carrie[0] 2[0] robert[0] mandel's[0] terminally[0] bland[-1] sequel[0] to[0] carrie[0] there[0] isn't[0] a[0] single[0] original[0] moment[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
only amy irving returns from carrie , and the talent of the rest of the sequel's cast is impossible to determine given the stupefying mediocrity of rafael moreu's script . 	only amy irving returns from carrie , and the talent of the rest of the sequel's cast is impossible to determine given the stupefying mediocrity of rafael moreu's script .	2	-2	 only[0] amy[0] irving[0] returns[0] from[0] carrie[0] and[0] the[0] talent[1] of[0] the[0] rest[0] of[0] the[0] sequel's[0] cast[0] is[0] impossible[0] to[0] determine[0] given[0] the[0] stupefying[0] mediocrity[-1] of[0] rafael[0] moreu's[0] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as rachel , the horror story's lead , emily bergl gives one of the least scary performances in recent memory , but it isn't exactly her fault . 	as rachel , the horror story's lead , emily bergl gives one of the least scary performances in recent memory , but it isn't exactly her fault .	1	-4	 as[0] rachel[0] the[0] horror[-3] story's[0] lead[0] emily[0] bergl[0] gives[0] one[0] of[0] the[0] least[0] scary[-3] performances[0] in[0] recent[0] memory[0] but[0] it[0] isn't[0] exactly[0] her[0] fault[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the director asks for little from his actors , which is precisely what he gets . 	the director asks for little from his actors , which is precisely what he gets .	1	-1	 the[0] director[0] asks[0] for[0] little[0] from[0] his[0] actors[0] which[0] is[0] precisely[0] what[0] he[0] gets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sporadically in this lame and lifeless movie , rachel will cause school lockers and windows to fly open , but generally she just mopes around looking like a victim . 	sporadically in this lame and lifeless movie , rachel will cause school lockers and windows to fly open , but generally she just mopes around looking like a victim .	2	-3	 sporadically[0] in[0] this[0] lame[-2] and[0] lifeless[-1] movie[0] rachel[0] will[0] cause[0] school[0] lockers[0] and[0] windows[0] to[0] fly[0] open[0] but[0] generally[0] she[0] just[0] mopes[0] around[0] looking[0] like[1] a[0] victim[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
her fellow students delight in tormenting her . 	her fellow students delight in tormenting her .	3	-1	 her[0] fellow[0] students[0] delight[2] in[0] tormenting[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , she will get her revenge in the obligatory ending bloodbath in which she will decapitate and castrate the boys and crush the girls with burning timbers . 	of course , she will get her revenge in the obligatory ending bloodbath in which she will decapitate and castrate the boys and crush the girls with burning timbers .	1	-2	 of[0] course[0] she[0] will[0] get[0] her[0] revenge[-1] in[0] the[0] obligatory[0] ending[0] bloodbath[0] in[0] which[0] she[0] will[0] decapitate[0] and[0] castrate[0] the[0] boys[0] and[0] crush[-1] the[0] girls[0] with[0] burning[-1] timbers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the movie marks time until its big finale , it throws in some repugnant scenes , hoping to turn audience's stomachs . 	as the movie marks time until its big finale , it throws in some repugnant scenes , hoping to turn audience's stomachs .	2	-2	 as[0] the[0] movie[0] marks[0] time[0] until[0] its[0] big[0] finale[0] it[0] throws[0] in[0] some[0] repugnant[-2][--1 LastWordBoosterStrength] scenes[0] hoping[1] to[0] turn[0] audience's[0] stomachs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rachel's girlfriend commits a horrible and realistic suicide after the boy who made " love " to her the night before spurns her . 	rachel's girlfriend commits a horrible and realistic suicide after the boy who made " love " to her the night before spurns her .	3	-4	 rachel's[0] girlfriend[0] commits[0] a[0] horrible[-3] and[0] realistic[0] suicide[-3] after[0] the[0] boy[0] who[0] made[0] love[2] to[0] her[0] the[0] night[0] before[0] spurns[0] her[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 ( he gets major points in his black book for this , but his buddies say he would have gotten more if he had had sex with her after her death . ) 	 ( he gets major points in his black book for this , but his buddies say he would have gotten more if he had had sex with her after her death .<br> )	1	-3	 he[0] gets[0] major[0] points[0] in[0] his[0] black[0] book[0] for[0] this[0] but[0] his[0] buddies[0] say[0] he[0] would[0] have[0] gotten[0] more[0] if[0] he[0] had[0] had[0] sex[0] with[0] her[0] after[0] her[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even a helpless puppy is run over , and we see his poor , little body flipping over and over under a truck . 	even a helpless puppy is run over , and we see his poor , little body flipping over and over under a truck .	1	-2	 even[0] a[0] helpless[-1] puppy[0] is[0] run[0] over[0] and[0] we[0] see[0] his[0] poor[-1] little[0] body[0] flipping[0] over[0] and[0] over[0] under[0] a[0] truck[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the teenagers in the movie are completely blas ? about it all . 	the teenagers in the movie are completely blas ?<br> about it all .	1	-1	 the[0] teenagers[0] in[0] the[0] movie[0] are[0] completely[0] blas[0] [[Sentence=-1,1=word max, 1-5]] about[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
