phil ( radmar jao ) has a hairy problem . 	Translation	Positive	Negative	EmotionRationale
his beard is growing so rapidly that he has to shave every hour . 	his beard is growing so rapidly that he has to shave every hour .	1	-1	 his[0] beard[0] is[0] growing[0] so[0] rapidly[0] that[0] he[0] has[0] to[0] shave[0] every[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he recently met the author of a non-fiction book on lycanthropy , also referred to in the movie as werewolfism , and phil now believes that his problem is that he has become a werewolf . 	he recently met the author of a non-fiction book on lycanthropy , also referred to in the movie as werewolfism , and phil now believes that his problem is that he has become a werewolf .	1	-2	 he[0] recently[0] met[0] the[0] author[0] of[0] a[0] non[0] fiction[0] book[0] on[0] lycanthropy[0] also[0] referred[0] to[0] in[0] the[0] movie[0] as[0] werewolfism[0] and[0] phil[0] now[0] believes[0] that[0] his[0] problem[-1] is[0] that[0] he[0] has[0] become[0] a[0] werewolf[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
using enough chains and handcuffs to be a hit at a sadomasochists convention , he ties himself in at night lest his urges overcome him . 	using enough chains and handcuffs to be a hit at a sadomasochists convention , he ties himself in at night lest his urges overcome him .	1	-1	 using[0] enough[0] chains[0] and[0] handcuffs[0] to[0] be[0] a[0] hit[0] at[0] a[0] sadomasochists[0] convention[0] he[0] ties[0] himself[0] in[0] at[0] night[0] lest[0] his[0] urges[0] overcome[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and phil is just one of the many quirky characters that inhabit shopping for fangs . 	and phil is just one of the many quirky characters that inhabit shopping for fangs .	1	-1	 and[0] phil[0] is[0] just[0] one[0] of[0] the[0] many[0] quirky[0] characters[0] that[0] inhabit[0] shopping[0] for[0] fangs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
made on a pittance , the film features an almost exclusively asian-american cast . 	made on a pittance , the film features an almost exclusively asian-american cast .	1	-1	 made[0] on[0] a[0] pittance[0] the[0] film[0] features[0] an[0] almost[0] exclusively[0] asian[0] american[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as directed by quentin lee and justin lin , the movie is so amateurishly bad that it could almost be a parody of indie films . 	as directed by quentin lee and justin lin , the movie is so amateurishly bad that it could almost be a parody of indie films .	1	-2	 as[0] directed[0] by[0] quentin[0] lee[0] and[0] justin[0] lin[0] the[0] movie[0] is[0] so[0] amateurishly[0] bad[-1] that[0] it[0] could[0] almost[0] be[0] a[0] parody[0] of[0] indie[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jeanne chin plays katherine , a meek and soft-spoken wife , who worries that her husband is unhappy with her because she is not giving him enough sex . 	jeanne chin plays katherine , a meek and soft-spoken wife , who worries that her husband is unhappy with her because she is not giving him enough sex .	2	-4	 jeanne[0] chin[0] plays[1] katherine[0] a[0] meek[-1] and[0] soft[0] spoken[0] wife[0] who[0] worries[-3] that[0] her[0] husband[0] is[0] unhappy[-2] with[0] her[0] because[0] she[0] is[0] not[0] giving[0] him[0] enough[0] sex[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
we know this through the endless scenes of her confessing her sins , real and imagined , to her therapist . 	we know this through the endless scenes of her confessing her sins , real and imagined , to her therapist .	1	-3	 we[0] know[0] this[0] through[0] the[0] endless[0] scenes[0] of[0] her[0] confessing[-1] her[0] sins[-2] real[0] and[0] imagined[0] to[0] her[0] therapist[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as her husband , jim , clint jung plays a muscle man with a macho crudeness . 	as her husband , jim , clint jung plays a muscle man with a macho crudeness .	2	-2	 as[0] her[0] husband[0] jim[0] clint[0] jung[0] plays[1] a[0] muscle[0] man[0] with[0] a[0] macho[0] crudeness[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the picture is filled with stereotypes . 	the picture is filled with stereotypes .	1	-1	 the[0] picture[0] is[0] filled[0] with[0] stereotypes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a mysterious , loud-mouthed waitress with a big , platinum blonde wig who brags to everyone she meets that she's a lesbian . 	there's a mysterious , loud-mouthed waitress with a big , platinum blonde wig who brags to everyone she meets that she's a lesbian .	1	-2	 there's[0] a[0] mysterious[0] loud[0] mouthed[0] waitress[0] with[0] a[0] big[0] platinum[0] blonde[0] wig[0] who[0] brags[-1] to[0] everyone[0] she[0] meets[0] that[0] she's[0] a[0] lesbian[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
