seen at : amc old pasadena 8 , pasadena , ca ( in sdds ) 	Translation	Positive	Negative	EmotionRationale
paul verhoeven's last movie , showgirls , had a bad script , bad acting , and a " plot " ( i use the word in its loosest possible sense ) that served only to allow lots of sex and nudity . 	paul verhoeven's last movie , showgirls , had a bad script , bad acting , and a " plot " ( i use the word in its loosest possible sense ) that served only to allow lots of sex and nudity .	1	-2	 paul[0] verhoeven's[0] last[0] movie[0] showgirls[0] had[0] a[0] bad[-1] script[0] bad[-1] acting[0] and[0] a[0] plot[0] i[0] use[0] the[0] word[0] in[0] its[0] loosest[0] possible[0] sense[0] that[0] served[0] only[0] to[0] allow[0] lots[0] of[0] sex[0] and[0] nudity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it stank . 	it stank .	1	-3	 it[0] stank[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
starship troopers has a bad script , bad acting , and a " plot " that serves only to allow lots of violence and gore . 	starship troopers has a bad script , bad acting , and a " plot " that serves only to allow lots of violence and gore .	1	-4	 starship[0] troopers[0] has[0] a[0] bad[-1] script[0] bad[-1] acting[0] and[0] a[0] plot[0] that[0] serves[0] only[0] to[0] allow[0] lots[0] of[0] violence[-3] and[0] gore[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it stinks . 	it stinks .	1	-3	 it[0] stinks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nobody will watch this movie for the plot , but here's a brief synopsis anyway . 	nobody will watch this movie for the plot , but here's a brief synopsis anyway .	1	-1	 nobody[0] will[0] watch[0] this[0] movie[0] for[0] the[0] plot[0] but[0] here's[0] a[0] brief[0] synopsis[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some friends straight out of high school sign up for the federal reserve ( armed forces ) at a time when evil bugs from the planet klendathu are sending meteors towards earth from the other side of the galaxy . 	some friends straight out of high school sign up for the federal reserve ( armed forces ) at a time when evil bugs from the planet klendathu are sending meteors towards earth from the other side of the galaxy .	1	-3	 some[0] friends[1][-1 LastWordBoosterStrength] straight[0] out[0] of[0] high[0] school[0] sign[0] up[0] for[0] the[0] federal[0] reserve[0] armed[0] forces[0] at[0] a[0] time[0] when[0] evil[-2] bugs[0] from[0] the[0] planet[0] klendathu[0] are[0] sending[0] meteors[0] towards[0] earth[0] from[0] the[0] other[0] side[0] of[0] the[0] galaxy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after one slips through the defences and destroys buenos aires ( the home city of the main characters ) , war is declared . 	after one slips through the defences and destroys buenos aires ( the home city of the main characters ) , war is declared .	1	-3	 after[0] one[0] slips[0] through[0] the[0] defences[0] and[0] destroys[-2] buenos[0] aires[0] the[0] home[0] city[0] of[0] the[0] main[0] characters[0] war[-2] is[0] declared[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this involves sending the grunts , who include johnny rico ( van dien ) and dizzy ( meyer ) , down to the surface of the bugs' planet . 	this involves sending the grunts , who include johnny rico ( van dien ) and dizy ( meyer ) , down to the surface of the bugs' planet .	1	-1	 this[0] involves[0] sending[0] the[0] grunts[0] who[0] include[0] johnny[0] rico[0] van[0] dien[0] and[0] dizzy/dizy[0] meyer[0] down[0] to[0] the[0] surface[0] of[0] the[0] bugs'[0] planet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much carnage ensues . 	much carnage ensues .	1	-1	 much[0] carnage[0] ensues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the troops are withdrawn and sent to another planet to answer a distress call . 	the troops are withdrawn and sent to another planet to answer a distress call .	1	-3	 the[0] troops[0] are[0] withdrawn[0] and[0] sent[0] to[0] another[0] planet[0] to[0] answer[0] a[0] distress[-2] call[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
